,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight,RB_staticGird_StructuredLight,RG_staticGird_StructuredLight,B_staticGird_StructuredLight_100,G_staticGird_StructuredLight_100,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
Date,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014
Time,15:18pm,15:12pm,15:16pm,15:18pm,15:12pm,15:16pm,15:18pm,14:47pm,14:53pm,14:59pm,15:08pm,15:11pm,15:12pm,15:16pm,15:18pm
T_int [ms],6913,6515,24,6913,6515,24,6913,10293,16749,11365,8916,6340,6515,24,6913
,,,,,,,,,,,,,,,
LED Values,,,,,,,,,,,,,,,
Peak WL [nm],372.0,371.0,371.0,372.0,371.0,371.0,372.0,369.0,369.0,447.0,371.0,445.0,371.0,371.0,372.0
Peak FWHM [nm],11.6,11.2,11.6,11.6,11.2,11.6,11.6,11.0,11.1,21.2,11.4,23.1,11.2,11.6,11.6
Centroid WL [nm],510.2,497.1,465.0,510.2,497.1,465.0,510.2,498.0,379.4,532.4,372.9,530.2,497.1,465.0,510.2
,,,,,,,,,,,,,,,
RGB Values,,,,,,,,,,,,,,,
RGB Space,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual
R,1.5,1.3,213.6,1.5,1.3,213.6,1.5,0.8,0.1,0.7,0.0,1.4,1.3,213.6,1.5
G,1.8,1.7,261.5,1.8,1.7,261.5,1.8,1.1,0.1,0.9,0.0,1.8,1.7,261.5,1.8
B,2.0,2.0,401.3,2.0,2.0,401.3,2.0,1.2,0.1,1.0,0.0,2.1,2.0,401.3,2.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
300 nm,,,,,,,,,,,,,,,
301 nm,,,,,,,,,,,,,,,
302 nm,,,,,,,,,,,,,,,
303 nm,,,,,,,,,,,,,,,
304 nm,,,,,,,,,,,,,,,
305 nm,,,,,,,,,,,,,,,
306 nm,,,,,,,,,,,,,,,
307 nm,,,,,,,,,,,,,,,
308 nm,,,,,,,,,,,,,,,
309 nm,,,,,,,,,,,,,,,
310 nm,,,,,,,,,,,,,,,
311 nm,,,,,,,,,,,,,,,
312 nm,,,,,,,,,,,,,,,
313 nm,,,,,,,,,,,,,,,
314 nm,,,,,,,,,,,,,,,
315 nm,,,,,,,,,,,,,,,
316 nm,,,,,,,,,,,,,,,
317 nm,,,,,,,,,,,,,,,
318 nm,,,,,,,,,,,,,,,
319 nm,,,,,,,,,,,,,,,
320 nm,,,,,,,,,,,,,,,
321 nm,,,,,,,,,,,,,,,
322 nm,,,,,,,,,,,,,,,
323 nm,,,,,,,,,,,,,,,
324 nm,,,,,,,,,,,,,,,
325 nm,,,,,,,,,,,,,,,
326 nm,,,,,,,,,,,,,,,
327 nm,,,,,,,,,,,,,,,
328 nm,,,,,,,,,,,,,,,
329 nm,,,,,,,,,,,,,,,
330 nm,,,,,,,,,,,,,,,
331 nm,,,,,,,,,,,,,,,
332 nm,,,,,,,,,,,,,,,
333 nm,,,,,,,,,,,,,,,
334 nm,,,,,,,,,,,,,,,
335 nm,,,,,,,,,,,,,,,
336 nm,,,,,,,,,,,,,,,
337 nm,,,,,,,,,,,,,,,
338 nm,,,,,,,,,,,,,,,
339 nm,,,,,,,,,,,,,,,
340 nm,,,,,,,,,,,,,,,
341 nm,,,,,,,,,,,,,,,
342 nm,,,,,,,,,,,,,,,
343 nm,,,,,,,,,,,,,,,
344 nm,,,,,,,,,,,,,,,
345 nm,,,,,,,,,,,,,,,
346 nm,,,,,,,,,,,,,,,
347 nm,,,,,,,,,,,,,,,
348 nm,,,,,,,,,,,,,,,
349 nm,,,,,,,,,,,,,,,
350 nm,1.63711E-06,3.18173E-06,2.32722E-03,1.63711E-06,3.18173E-06,2.32722E-03,1.63711E-06,6.12715E-06,3.39708E-06,0.00000E+00,6.95420E-06,1.05369E-06,3.18173E-06,2.32722E-03,1.63711E-06
351 nm,4.27946E-06,3.40214E-06,1.88788E-03,4.27946E-06,3.40214E-06,1.88788E-03,4.27946E-06,1.41529E-06,3.19024E-07,5.11742E-07,3.62021E-07,0.00000E+00,3.40214E-06,1.88788E-03,4.27946E-06
