,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint
Date,10/30/2014,11/03/2014,11/03/2014,11/03/2014,10/30/2014,11/03/2014,11/03/2014,11/03/2014
Time,10:58am,08:49am,08:55am,09:02am,10:58am,08:49am,08:55am,09:02am
362 nm,7.15788E-06,2.85069E-08,2.85385E-05,2.68387E-05,7.15788E-06,2.85069E-08,2.85385E-05,2.68387E-05
363 nm,8.73307E-06,3.09561E-08,4.00406E-05,3.81078E-05,8.73307E-06,3.09561E-08,4.00406E-05,3.81078E-05
364 nm,1.21724E-05,1.17605E-06,5.50902E-05,5.14622E-05,1.21724E-05,1.17605E-06,5.50902E-05,5.14622E-05
365 nm,1.46708E-05,1.50555E-07,7.38744E-05,6.96045E-05,1.46708E-05,1.50555E-07,7.38744E-05,6.96045E-05
366 nm,1.93803E-05,0.00000E+00,9.45963E-05,8.90200E-05,1.93803E-05,0.00000E+00,9.45963E-05,8.90200E-05
367 nm,2.19182E-05,3.18946E-07,1.15361E-04,1.07441E-04,2.19182E-05,3.18946E-07,1.15361E-04,1.07441E-04
368 nm,2.44289E-05,5.43779E-07,1.34919E-04,1.29917E-04,2.44289E-05,5.43779E-07,1.34919E-04,1.29917E-04
369 nm,2.66174E-05,4.81846E-07,1.56264E-04,1.49585E-04,2.66174E-05,4.81846E-07,1.56264E-04,1.49585E-04
370 nm,2.51940E-05,1.69176E-07,1.60610E-04,1.55399E-04,2.51940E-05,1.69176E-07,1.60610E-04,1.55399E-04
371 nm,2.47491E-05,8.29915E-07,1.64795E-04,1.58073E-04,2.47491E-05,8.29915E-07,1.64795E-04,1.58073E-04
372 nm,2.24777E-05,2.86655E-07,1.59879E-04,1.53697E-04,2.24777E-05,2.86655E-07,1.59879E-04,1.53697E-04
373 nm,1.88148E-05,1.67665E-08,1.48159E-04,1.44326E-04,1.88148E-05,1.67665E-08,1.48159E-04,1.44326E-04
374 nm,1.57664E-05,8.37049E-09,1.28460E-04,1.24602E-04,1.57664E-05,8.37049E-09,1.28460E-04,1.24602E-04
375 nm,1.41752E-05,4.30124E-07,1.15377E-04,1.12291E-04,1.41752E-05,4.30124E-07,1.15377E-04,1.12291E-04
376 nm,1.16367E-05,1.52517E-07,9.51170E-05,9.41098E-05,1.16367E-05,1.52517E-07,9.51170E-05,9.41098E-05
377 nm,9.41866E-06,3.51435E-07,7.93679E-05,7.68954E-05,9.41866E-06,3.51435E-07,7.93679E-05,7.68954E-05
378 nm,7.57611E-06,0.00000E+00,6.64007E-05,6.49189E-05,7.57611E-06,0.00000E+00,6.64007E-05,6.49189E-05
379 nm,7.33533E-06,5.39346E-10,5.79006E-05,5.48512E-05,7.33533E-06,5.39346E-10,5.79006E-05,5.48512E-05
