,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint
Date,10/30/2014,11/03/2014,11/03/2014,11/03/2014,10/30/2014,11/03/2014,11/03/2014,11/03/2014
Time,10:58am,08:49am,08:55am,09:02am,10:58am,08:49am,08:55am,09:02am
493 nm,2.93753E-06,9.30012E-06,3.45377E-07,9.69393E-06,2.93753E-06,9.30012E-06,3.45377E-07,9.69393E-06
494 nm,2.90564E-06,9.99064E-06,0.00000E+00,9.84952E-06,2.90564E-06,9.99064E-06,0.00000E+00,9.84952E-06
495 nm,2.89943E-06,1.05044E-05,3.67081E-08,1.06340E-05,2.89943E-06,1.05044E-05,3.67081E-08,1.06340E-05
496 nm,3.07683E-06,1.09090E-05,8.99685E-08,1.09022E-05,3.07683E-06,1.09090E-05,8.99685E-08,1.09022E-05
497 nm,3.61241E-06,1.13599E-05,2.90028E-07,1.18691E-05,3.61241E-06,1.13599E-05,2.90028E-07,1.18691E-05
498 nm,3.34341E-06,1.21822E-05,9.05747E-08,1.21675E-05,3.34341E-06,1.21822E-05,9.05747E-08,1.21675E-05
499 nm,3.85183E-06,1.24978E-05,3.78965E-08,1.27488E-05,3.85183E-06,1.24978E-05,3.78965E-08,1.27488E-05
500 nm,3.94008E-06,1.38120E-05,0.00000E+00,1.40566E-05,3.94008E-06,1.38120E-05,0.00000E+00,1.40566E-05
501 nm,4.06312E-06,1.40203E-05,2.83771E-08,1.45297E-05,4.06312E-06,1.40203E-05,2.83771E-08,1.45297E-05
502 nm,4.38745E-06,1.52529E-05,8.63077E-08,1.53204E-05,4.38745E-06,1.52529E-05,8.63077E-08,1.53204E-05
503 nm,4.33263E-06,1.61999E-05,1.69240E-07,1.61241E-05,4.33263E-06,1.61999E-05,1.69240E-07,1.61241E-05
504 nm,4.90419E-06,1.72527E-05,0.00000E+00,1.68150E-05,4.90419E-06,1.72527E-05,0.00000E+00,1.68150E-05
505 nm,5.04199E-06,1.78651E-05,3.50249E-08,1.78171E-05,5.04199E-06,1.78651E-05,3.50249E-08,1.78171E-05
506 nm,5.50396E-06,1.84088E-05,2.66286E-07,1.83921E-05,5.50396E-06,1.84088E-05,2.66286E-07,1.83921E-05
507 nm,5.73126E-06,1.90150E-05,2.33284E-07,1.87335E-05,5.73126E-06,1.90150E-05,2.33284E-07,1.87335E-05
508 nm,5.97260E-06,2.00836E-05,8.05398E-08,2.07655E-05,5.97260E-06,2.00836E-05,8.05398E-08,2.07655E-05
509 nm,6.36916E-06,2.07635E-05,3.86665E-07,2.05945E-05,6.36916E-06,2.07635E-05,3.86665E-07,2.05945E-05
510 nm,6.69953E-06,2.16854E-05,2.23920E-07,2.16915E-05,6.69953E-06,2.16854E-05,2.23920E-07,2.16915E-05
511 nm,6.95463E-06,2.27079E-05,0.00000E+00,2.29888E-05,6.95463E-06,2.27079E-05,0.00000E+00,2.29888E-05
512 nm,6.99613E-06,2.35880E-05,6.86045E-09,2.37862E-05,6.99613E-06,2.35880E-05,6.86045E-09,2.37862E-05
513 nm,7.13723E-06,2.41101E-05,0.00000E+00,2.44106E-05,7.13723E-06,2.41101E-05,0.00000E+00,2.44106E-05
514 nm,7.35520E-06,2.44561E-05,3.07416E-07,2.48540E-05,7.35520E-06,2.44561E-05,3.07416E-07,2.48540E-05
515 nm,7.86076E-06,2.53055E-05,5.50814E-08,2.57054E-05,7.86076E-06,2.53055E-05,5.50814E-08,2.57054E-05
516 nm,7.90225E-06,2.56205E-05,4.82670E-08,2.62928E-05,7.90225E-06,2.56205E-05,4.82670E-08,2.62928E-05
517 nm,8.10370E-06,2.71556E-05,2.45305E-07,2.71065E-05,8.10370E-06,2.71556E-05,2.45305E-07,2.71065E-05
518 nm,8.39862E-06,2.72421E-05,2.81516E-07,2.71983E-05,8.39862E-06,2.72421E-05,2.81516E-07,2.71983E-05
519 nm,8.18516E-06,2.78704E-05,2.69341E-07,2.76629E-05,8.18516E-06,2.78704E-05,2.69341E-07,2.76629E-05
520 nm,8.50299E-06,2.83466E-05,8.85495E-09,2.85077E-05,8.50299E-06,2.83466E-05,8.85495E-09,2.85077E-05
521 nm,8.63015E-06,2.92429E-05,1.07807E-07,2.92997E-05,8.63015E-06,2.92429E-05,1.07807E-07,2.92997E-05
522 nm,8.81185E-06,2.94820E-05,2.25376E-08,2.94798E-05,8.81185E-06,2.94820E-05,2.25376E-08,2.94798E-05
523 nm,9.06883E-06,2.98710E-05,5.62472E-08,3.03771E-05,9.06883E-06,2.98710E-05,5.62472E-08,3.03771E-05
524 nm,9.03725E-06,3.04992E-05,3.74114E-09,3.03393E-05,9.03725E-06,3.04992E-05,3.74114E-09,3.03393E-05
525 nm,9.16188E-06,3.03751E-05,6.92609E-10,3.10500E-05,9.16188E-06,3.03751E-05,6.92609E-10,3.10500E-05
526 nm,9.48273E-06,3.04838E-05,0.00000E+00,3.09721E-05,9.48273E-06,3.04838E-05,0.00000E+00,3.09721E-05
527 nm,9.39370E-06,3.10125E-05,2.97380E-08,3.15584E-05,9.39370E-06,3.10125E-05,2.97380E-08,3.15584E-05
528 nm,9.33753E-06,3.11166E-05,2.89967E-09,3.18047E-05,9.33753E-06,3.11166E-05,2.89967E-09,3.18047E-05
529 nm,9.42395E-06,3.17750E-05,1.55589E-07,3.20761E-05,9.42395E-06,3.17750E-05,1.55589E-07,3.20761E-05
530 nm,9.75779E-06,3.16290E-05,1.17249E-07,3.18773E-05,9.75779E-06,3.16290E-05,1.17249E-07,3.18773E-05
531 nm,9.55987E-06,3.22976E-05,3.60850E-07,3.20877E-05,9.55987E-06,3.22976E-05,3.60850E-07,3.20877E-05
532 nm,9.69162E-06,3.24261E-05,0.00000E+00,3.19943E-05,9.69162E-06,3.24261E-05,0.00000E+00,3.19943E-05
533 nm,9.81303E-06,3.21046E-05,2.49280E-07,3.25051E-05,9.81303E-06,3.21046E-05,2.49280E-07,3.25051E-05
534 nm,9.59345E-06,3.26804E-05,3.23568E-08,3.28664E-05,9.59345E-06,3.26804E-05,3.23568E-08,3.28664E-05
535 nm,9.62667E-06,3.26145E-05,4.38667E-08,3.25285E-05,9.62667E-06,3.26145E-05,4.38667E-08,3.25285E-05
536 nm,9.64630E-06,3.26437E-05,2.32097E-07,3.24676E-05,9.64630E-06,3.26437E-05,2.32097E-07,3.24676E-05
537 nm,9.61864E-06,3.26352E-05,1.66796E-07,3.26400E-05,9.61864E-06,3.26352E-05,1.66796E-07,3.26400E-05
538 nm,9.87236E-06,3.24499E-05,3.11004E-08,3.31135E-05,9.87236E-06,3.24499E-05,3.11004E-08,3.31135E-05
539 nm,9.69267E-06,3.28488E-05,5.73097E-08,3.25639E-05,9.69267E-06,3.28488E-05,5.73097E-08,3.25639E-05
540 nm,9.92896E-06,3.30942E-05,3.30997E-07,3.32311E-05,9.92896E-06,3.30942E-05,3.30997E-07,3.32311E-05
541 nm,9.96902E-06,3.27864E-05,4.74763E-07,3.32896E-05,9.96902E-06,3.27864E-05,4.74763E-07,3.32896E-05
542 nm,1.00140E-05,3.26158E-05,1.94513E-07,3.34888E-05,1.00140E-05,3.26158E-05,1.94513E-07,3.34888E-05
543 nm,9.84853E-06,3.28380E-05,4.55810E-07,3.35332E-05,9.84853E-06,3.28380E-05,4.55810E-07,3.35332E-05
544 nm,1.02524E-05,3.27268E-05,3.74731E-07,3.30297E-05,1.02524E-05,3.27268E-05,3.74731E-07,3.30297E-05
545 nm,9.90983E-06,3.28577E-05,1.88364E-07,3.30557E-05,9.90983E-06,3.28577E-05,1.88364E-07,3.30557E-05
546 nm,1.01148E-05,3.27677E-05,3.17416E-07,3.30376E-05,1.01148E-05,3.27677E-05,3.17416E-07,3.30376E-05
547 nm,1.00830E-05,3.28676E-05,4.91992E-07,3.31566E-05,1.00830E-05,3.28676E-05,4.91992E-07,3.31566E-05
548 nm,9.61499E-06,3.27567E-05,3.50375E-07,3.34363E-05,9.61499E-06,3.27567E-05,3.50375E-07,3.34363E-05
549 nm,9.77390E-06,3.28600E-05,4.18538E-08,3.25518E-05,9.77390E-06,3.28600E-05,4.18538E-08,3.25518E-05
550 nm,9.75838E-06,3.26796E-05,3.13327E-07,3.26187E-05,9.75838E-06,3.26796E-05,3.13327E-07,3.26187E-05
551 nm,9.84113E-06,3.22662E-05,6.39405E-07,3.27041E-05,9.84113E-06,3.22662E-05,6.39405E-07,3.27041E-05
552 nm,9.61119E-06,3.23254E-05,1.88669E-08,3.21126E-05,9.61119E-06,3.23254E-05,1.88669E-08,3.21126E-05
553 nm,9.50781E-06,3.19390E-05,2.88542E-07,3.27081E-05,9.50781E-06,3.19390E-05,2.88542E-07,3.27081E-05
554 nm,9.78036E-06,3.17736E-05,1.83867E-08,3.27002E-05,9.78036E-06,3.17736E-05,1.83867E-08,3.27002E-05
555 nm,9.50370E-06,3.28795E-05,2.27335E-07,3.22568E-05,9.50370E-06,3.28795E-05,2.27335E-07,3.22568E-05
556 nm,9.64266E-06,3.19889E-05,1.00191E-07,3.24766E-05,9.64266E-06,3.19889E-05,1.00191E-07,3.24766E-05
557 nm,9.64074E-06,3.20209E-05,1.56942E-07,3.22010E-05,9.64074E-06,3.20209E-05,1.56942E-07,3.22010E-05
558 nm,9.38040E-06,3.21141E-05,6.36849E-10,3.24831E-05,9.38040E-06,3.21141E-05,6.36849E-10,3.24831E-05
559 nm,9.28789E-06,3.17228E-05,2.53102E-07,3.19408E-05,9.28789E-06,3.17228E-05,2.53102E-07,3.19408E-05
560 nm,9.51597E-06,3.22150E-05,3.12816E-07,3.20529E-05,9.51597E-06,3.22150E-05,3.12816E-07,3.20529E-05
561 nm,9.45430E-06,3.13667E-05,6.13524E-08,3.19558E-05,9.45430E-06,3.13667E-05,6.13524E-08,3.19558E-05
562 nm,9.54168E-06,3.15426E-05,0.00000E+00,3.20498E-05,9.54168E-06,3.15426E-05,0.00000E+00,3.20498E-05
563 nm,9.35504E-06,3.11544E-05,2.63638E-09,3.15829E-05,9.35504E-06,3.11544E-05,2.63638E-09,3.15829E-05
564 nm,9.39556E-06,3.12886E-05,3.36129E-08,3.17367E-05,9.39556E-06,3.12886E-05,3.36129E-08,3.17367E-05
565 nm,9.29621E-06,3.11546E-05,0.00000E+00,3.11819E-05,9.29621E-06,3.11546E-05,0.00000E+00,3.11819E-05
566 nm,9.04367E-06,3.08797E-05,1.22343E-09,3.13072E-05,9.04367E-06,3.08797E-05,1.22343E-09,3.13072E-05
567 nm,9.28690E-06,3.11021E-05,0.00000E+00,3.12826E-05,9.28690E-06,3.11021E-05,0.00000E+00,3.12826E-05
568 nm,9.03497E-06,3.14624E-05,0.00000E+00,3.15513E-05,9.03497E-06,3.14624E-05,0.00000E+00,3.15513E-05
569 nm,9.26157E-06,3.12058E-05,3.58756E-08,3.08762E-05,9.26157E-06,3.12058E-05,3.58756E-08,3.08762E-05
570 nm,9.13022E-06,3.03632E-05,5.37893E-09,3.06547E-05,9.13022E-06,3.03632E-05,5.37893E-09,3.06547E-05
571 nm,8.82365E-06,3.05583E-05,1.79232E-07,3.06845E-05,8.82365E-06,3.05583E-05,1.79232E-07,3.06845E-05
572 nm,9.06720E-06,3.06712E-05,0.00000E+00,3.04109E-05,9.06720E-06,3.06712E-05,0.00000E+00,3.04109E-05
573 nm,9.19084E-06,3.01094E-05,1.63996E-08,3.07568E-05,9.19084E-06,3.01094E-05,1.63996E-08,3.07568E-05
574 nm,8.88791E-06,3.03881E-05,3.47133E-08,3.03982E-05,8.88791E-06,3.03881E-05,3.47133E-08,3.03982E-05
575 nm,8.95235E-06,2.99572E-05,1.76412E-08,3.02087E-05,8.95235E-06,2.99572E-05,1.76412E-08,3.02087E-05
576 nm,8.84494E-06,2.98427E-05,3.06948E-08,3.06090E-05,8.84494E-06,2.98427E-05,3.06948E-08,3.06090E-05
577 nm,8.92089E-06,3.00182E-05,2.02185E-07,2.97869E-05,8.92089E-06,3.00182E-05,2.02185E-07,2.97869E-05
578 nm,8.95182E-06,2.96760E-05,3.53525E-07,2.99861E-05,8.95182E-06,2.96760E-05,3.53525E-07,2.99861E-05
579 nm,8.79164E-06,2.95335E-05,1.07110E-07,2.96135E-05,8.79164E-06,2.95335E-05,1.07110E-07,2.96135E-05
580 nm,8.69331E-06,2.92564E-05,2.80155E-08,2.93108E-05,8.69331E-06,2.92564E-05,2.80155E-08,2.93108E-05
581 nm,8.80460E-06,2.87601E-05,0.00000E+00,2.89156E-05,8.80460E-06,2.87601E-05,0.00000E+00,2.89156E-05
582 nm,8.35584E-06,2.87766E-05,1.33198E-07,2.94729E-05,8.35584E-06,2.87766E-05,1.33198E-07,2.94729E-05
583 nm,8.74487E-06,2.91642E-05,8.67403E-08,2.89884E-05,8.74487E-06,2.91642E-05,8.67403E-08,2.89884E-05
584 nm,8.37127E-06,2.83817E-05,1.73946E-07,2.87076E-05,8.37127E-06,2.83817E-05,1.73946E-07,2.87076E-05
585 nm,8.47575E-06,2.83739E-05,1.29802E-08,2.83128E-05,8.47575E-06,2.83739E-05,1.29802E-08,2.83128E-05
586 nm,8.49260E-06,2.82923E-05,2.59424E-09,2.81525E-05,8.49260E-06,2.82923E-05,2.59424E-09,2.81525E-05
587 nm,8.36926E-06,2.79510E-05,0.00000E+00,2.82506E-05,8.36926E-06,2.79510E-05,0.00000E+00,2.82506E-05
588 nm,8.05986E-06,2.77907E-05,1.20239E-07,2.78725E-05,8.05986E-06,2.77907E-05,1.20239E-07,2.78725E-05
589 nm,8.29897E-06,2.76934E-05,5.07638E-07,2.73548E-05,8.29897E-06,2.76934E-05,5.07638E-07,2.73548E-05
590 nm,7.95971E-06,2.66350E-05,1.32822E-08,2.67303E-05,7.95971E-06,2.66350E-05,1.32822E-08,2.67303E-05
591 nm,7.92130E-06,2.69426E-05,1.00778E-07,2.72447E-05,7.92130E-06,2.69426E-05,1.00778E-07,2.72447E-05
592 nm,7.67196E-06,2.65327E-05,1.19815E-07,2.64747E-05,7.67196E-06,2.65327E-05,1.19815E-07,2.64747E-05
593 nm,7.79641E-06,2.60492E-05,4.08851E-07,2.66085E-05,7.79641E-06,2.60492E-05,4.08851E-07,2.66085E-05
594 nm,7.68267E-06,2.61192E-05,4.19144E-07,2.62045E-05,7.68267E-06,2.61192E-05,4.19144E-07,2.62045E-05
595 nm,7.68189E-06,2.56522E-05,3.62274E-09,2.56202E-05,7.68189E-06,2.56522E-05,3.62274E-09,2.56202E-05
596 nm,7.55126E-06,2.54921E-05,3.15927E-07,2.53724E-05,7.55126E-06,2.54921E-05,3.15927E-07,2.53724E-05
597 nm,7.63239E-06,2.53496E-05,1.22524E-07,2.51280E-05,7.63239E-06,2.53496E-05,1.22524E-07,2.51280E-05
598 nm,7.37530E-06,2.49081E-05,5.53793E-08,2.50173E-05,7.37530E-06,2.49081E-05,5.53793E-08,2.50173E-05
599 nm,7.08310E-06,2.46062E-05,1.80083E-07,2.44133E-05,7.08310E-06,2.46062E-05,1.80083E-07,2.44133E-05
600 nm,7.40526E-06,2.40417E-05,1.04866E-08,2.39218E-05,7.40526E-06,2.40417E-05,1.04866E-08,2.39218E-05
601 nm,7.06576E-06,2.33683E-05,2.34671E-07,2.38728E-05,7.06576E-06,2.33683E-05,2.34671E-07,2.38728E-05
602 nm,6.88896E-06,2.36708E-05,2.56827E-07,2.37547E-05,6.88896E-06,2.36708E-05,2.56827E-07,2.37547E-05
603 nm,6.72705E-06,2.33906E-05,2.16025E-08,2.27730E-05,6.72705E-06,2.33906E-05,2.16025E-08,2.27730E-05
604 nm,6.73421E-06,2.22684E-05,1.22423E-07,2.31048E-05,6.73421E-06,2.22684E-05,1.22423E-07,2.31048E-05
605 nm,6.88983E-06,2.20617E-05,8.98342E-08,2.25650E-05,6.88983E-06,2.20617E-05,8.98342E-08,2.25650E-05
606 nm,6.46786E-06,2.21243E-05,1.88708E-07,2.25269E-05,6.46786E-06,2.21243E-05,1.88708E-07,2.25269E-05
607 nm,6.62121E-06,2.18871E-05,1.47738E-07,2.17889E-05,6.62121E-06,2.18871E-05,1.47738E-07,2.17889E-05
608 nm,6.45346E-06,2.13465E-05,3.18437E-07,2.16327E-05,6.45346E-06,2.13465E-05,3.18437E-07,2.16327E-05
609 nm,6.35121E-06,2.10046E-05,4.66479E-07,2.17714E-05,6.35121E-06,2.10046E-05,4.66479E-07,2.17714E-05
610 nm,6.56695E-06,2.07752E-05,4.61601E-07,2.08567E-05,6.56695E-06,2.07752E-05,4.61601E-07,2.08567E-05
611 nm,6.43160E-06,2.05067E-05,2.63647E-07,2.12214E-05,6.43160E-06,2.05067E-05,2.63647E-07,2.12214E-05
612 nm,6.45767E-06,2.00806E-05,2.99520E-07,2.05655E-05,6.45767E-06,2.00806E-05,2.99520E-07,2.05655E-05
613 nm,6.16934E-06,1.98648E-05,5.73949E-07,2.03470E-05,6.16934E-06,1.98648E-05,5.73949E-07,2.03470E-05
614 nm,5.93309E-06,1.96144E-05,7.04528E-07,1.95651E-05,5.93309E-06,1.96144E-05,7.04528E-07,1.95651E-05
615 nm,5.73931E-06,1.94523E-05,4.81508E-07,1.93495E-05,5.73931E-06,1.94523E-05,4.81508E-07,1.93495E-05
616 nm,5.51749E-06,1.91188E-05,7.32225E-08,1.89823E-05,5.51749E-06,1.91188E-05,7.32225E-08,1.89823E-05
617 nm,5.56222E-06,1.79903E-05,5.18821E-08,1.82055E-05,5.56222E-06,1.79903E-05,5.18821E-08,1.82055E-05
618 nm,5.21392E-06,1.76711E-05,6.39727E-08,1.81700E-05,5.21392E-06,1.76711E-05,6.39727E-08,1.81700E-05
619 nm,5.25566E-06,1.73958E-05,2.12212E-07,1.76662E-05,5.25566E-06,1.73958E-05,2.12212E-07,1.76662E-05
620 nm,5.19354E-06,1.69082E-05,1.12748E-07,1.77282E-05,5.19354E-06,1.69082E-05,1.12748E-07,1.77282E-05
621 nm,5.13231E-06,1.67383E-05,5.73090E-08,1.74137E-05,5.13231E-06,1.67383E-05,5.73090E-08,1.74137E-05
622 nm,4.99895E-06,1.64385E-05,1.76006E-08,1.65409E-05,4.99895E-06,1.64385E-05,1.76006E-08,1.65409E-05
623 nm,4.94781E-06,1.62669E-05,1.13438E-07,1.62036E-05,4.94781E-06,1.62669E-05,1.13438E-07,1.62036E-05
624 nm,4.56280E-06,1.61866E-05,1.70436E-08,1.56065E-05,4.56280E-06,1.61866E-05,1.70436E-08,1.56065E-05
625 nm,4.69905E-06,1.56699E-05,9.76620E-09,1.59734E-05,4.69905E-06,1.56699E-05,9.76620E-09,1.59734E-05
626 nm,4.64844E-06,1.48033E-05,8.04581E-08,1.52059E-05,4.64844E-06,1.48033E-05,8.04581E-08,1.52059E-05
627 nm,4.41539E-06,1.51977E-05,0.00000E+00,1.52091E-05,4.41539E-06,1.51977E-05,0.00000E+00,1.52091E-05
628 nm,4.44098E-06,1.42741E-05,0.00000E+00,1.45528E-05,4.44098E-06,1.42741E-05,0.00000E+00,1.45528E-05
629 nm,4.27603E-06,1.40504E-05,7.06122E-08,1.40905E-05,4.27603E-06,1.40504E-05,7.06122E-08,1.40905E-05
630 nm,4.07619E-06,1.40253E-05,0.00000E+00,1.41967E-05,4.07619E-06,1.40253E-05,0.00000E+00,1.41967E-05
631 nm,4.07588E-06,1.36938E-05,2.91606E-07,1.31730E-05,4.07588E-06,1.36938E-05,2.91606E-07,1.31730E-05
632 nm,4.04664E-06,1.32360E-05,2.50397E-08,1.34504E-05,4.04664E-06,1.32360E-05,2.50397E-08,1.34504E-05
633 nm,3.84518E-06,1.26861E-05,2.21087E-07,1.28723E-05,3.84518E-06,1.26861E-05,2.21087E-07,1.28723E-05
634 nm,3.65004E-06,1.25028E-05,1.33446E-08,1.27958E-05,3.65004E-06,1.25028E-05,1.33446E-08,1.27958E-05
635 nm,3.46647E-06,1.23477E-05,7.66081E-10,1.25420E-05,3.46647E-06,1.23477E-05,7.66081E-10,1.25420E-05
636 nm,3.49335E-06,1.18915E-05,1.74043E-08,1.24345E-05,3.49335E-06,1.18915E-05,1.74043E-08,1.24345E-05
637 nm,3.62790E-06,1.16668E-05,6.60617E-08,1.16835E-05,3.62790E-06,1.16668E-05,6.60617E-08,1.16835E-05
638 nm,3.51450E-06,1.13267E-05,2.10193E-08,1.14989E-05,3.51450E-06,1.13267E-05,2.10193E-08,1.14989E-05
639 nm,3.36074E-06,1.13106E-05,0.00000E+00,1.12337E-05,3.36074E-06,1.13106E-05,0.00000E+00,1.12337E-05
640 nm,3.38376E-06,1.10696E-05,3.46834E-07,1.11281E-05,3.38376E-06,1.10696E-05,3.46834E-07,1.11281E-05
641 nm,3.06487E-06,1.04957E-05,9.85895E-08,1.07475E-05,3.06487E-06,1.04957E-05,9.85895E-08,1.07475E-05
642 nm,3.16446E-06,1.03477E-05,5.49551E-08,1.04003E-05,3.16446E-06,1.03477E-05,5.49551E-08,1.04003E-05
643 nm,2.96360E-06,1.00144E-05,0.00000E+00,9.80992E-06,2.96360E-06,1.00144E-05,0.00000E+00,9.80992E-06
644 nm,2.79781E-06,9.99008E-06,1.70163E-07,9.92171E-06,2.79781E-06,9.99008E-06,1.70163E-07,9.92171E-06
645 nm,3.01084E-06,9.59852E-06,1.47003E-07,9.84658E-06,3.01084E-06,9.59852E-06,1.47003E-07,9.84658E-06
646 nm,2.65757E-06,9.28544E-06,1.43815E-07,9.35400E-06,2.65757E-06,9.28544E-06,1.43815E-07,9.35400E-06
647 nm,2.69331E-06,9.01050E-06,2.25311E-07,8.91038E-06,2.69331E-06,9.01050E-06,2.25311E-07,8.91038E-06
648 nm,2.58074E-06,8.83612E-06,3.79902E-08,8.75040E-06,2.58074E-06,8.83612E-06,3.79902E-08,8.75040E-06
649 nm,2.56200E-06,8.47929E-06,3.88225E-09,8.71114E-06,2.56200E-06,8.47929E-06,3.88225E-09,8.71114E-06
650 nm,2.74738E-06,8.37316E-06,3.56098E-08,8.51648E-06,2.74738E-06,8.37316E-06,3.56098E-08,8.51648E-06
651 nm,2.60312E-06,8.20206E-06,4.71503E-08,8.06585E-06,2.60312E-06,8.20206E-06,4.71503E-08,8.06585E-06
652 nm,2.39397E-06,8.12072E-06,3.26272E-08,7.98409E-06,2.39397E-06,8.12072E-06,3.26272E-08,7.98409E-06
653 nm,1.99196E-06,7.58789E-06,0.00000E+00,7.83752E-06,1.99196E-06,7.58789E-06,0.00000E+00,7.83752E-06
654 nm,2.40537E-06,7.27981E-06,0.00000E+00,8.01291E-06,2.40537E-06,7.27981E-06,0.00000E+00,8.01291E-06
655 nm,2.21577E-06,7.20829E-06,1.79317E-07,7.49553E-06,2.21577E-06,7.20829E-06,1.79317E-07,7.49553E-06
656 nm,2.14052E-06,7.33074E-06,2.83788E-07,7.20144E-06,2.14052E-06,7.33074E-06,2.83788E-07,7.20144E-06
657 nm,2.20273E-06,7.06166E-06,1.05022E-08,6.99638E-06,2.20273E-06,7.06166E-06,1.05022E-08,6.99638E-06
658 nm,2.20053E-06,6.45512E-06,2.04345E-07,6.96563E-06,2.20053E-06,6.45512E-06,2.04345E-07,6.96563E-06
659 nm,2.04440E-06,6.87656E-06,1.05868E-07,6.69176E-06,2.04440E-06,6.87656E-06,1.05868E-07,6.69176E-06
660 nm,1.82616E-06,6.61801E-06,1.76966E-07,6.58680E-06,1.82616E-06,6.61801E-06,1.76966E-07,6.58680E-06
661 nm,1.92498E-06,6.21867E-06,3.77955E-07,6.20890E-06,1.92498E-06,6.21867E-06,3.77955E-07,6.20890E-06
662 nm,1.69418E-06,6.25117E-06,0.00000E+00,6.20162E-06,1.69418E-06,6.25117E-06,0.00000E+00,6.20162E-06
663 nm,1.56997E-06,5.90079E-06,0.00000E+00,5.93143E-06,1.56997E-06,5.90079E-06,0.00000E+00,5.93143E-06
664 nm,1.63784E-06,5.88434E-06,1.22418E-07,5.64769E-06,1.63784E-06,5.88434E-06,1.22418E-07,5.64769E-06
665 nm,1.61583E-06,5.63578E-06,3.00749E-07,6.19289E-06,1.61583E-06,5.63578E-06,3.00749E-07,6.19289E-06
666 nm,1.62167E-06,5.21310E-06,1.07224E-07,5.83131E-06,1.62167E-06,5.21310E-06,1.07224E-07,5.83131E-06
667 nm,1.52450E-06,5.51846E-06,5.27702E-08,5.26562E-06,1.52450E-06,5.51846E-06,5.27702E-08,5.26562E-06
668 nm,1.54645E-06,5.11834E-06,1.49966E-07,5.30189E-06,1.54645E-06,5.11834E-06,1.49966E-07,5.30189E-06
669 nm,1.71211E-06,5.03655E-06,1.38732E-07,5.11238E-06,1.71211E-06,5.03655E-06,1.38732E-07,5.11238E-06
670 nm,1.29853E-06,5.12629E-06,6.21460E-09,5.39161E-06,1.29853E-06,5.12629E-06,6.21460E-09,5.39161E-06
671 nm,1.46458E-06,4.48580E-06,2.05826E-07,5.14168E-06,1.46458E-06,4.48580E-06,2.05826E-07,5.14168E-06
672 nm,1.54044E-06,4.51284E-06,0.00000E+00,4.79602E-06,1.54044E-06,4.51284E-06,0.00000E+00,4.79602E-06
673 nm,1.36388E-06,4.58394E-06,2.92339E-08,4.58027E-06,1.36388E-06,4.58394E-06,2.92339E-08,4.58027E-06
674 nm,1.61399E-06,4.70245E-06,6.23617E-08,4.54676E-06,1.61399E-06,4.70245E-06,6.23617E-08,4.54676E-06
675 nm,1.34156E-06,4.30862E-06,2.14510E-07,4.43738E-06,1.34156E-06,4.30862E-06,2.14510E-07,4.43738E-06
676 nm,1.39382E-06,4.02938E-06,1.25780E-07,4.24484E-06,1.39382E-06,4.02938E-06,1.25780E-07,4.24484E-06
677 nm,1.33508E-06,4.25700E-06,3.66243E-08,4.20423E-06,1.33508E-06,4.25700E-06,3.66243E-08,4.20423E-06
678 nm,1.07479E-06,3.89119E-06,1.38929E-07,3.38280E-06,1.07479E-06,3.89119E-06,1.38929E-07,3.38280E-06
679 nm,1.20903E-06,3.99983E-06,3.38206E-07,3.78370E-06,1.20903E-06,3.99983E-06,3.38206E-07,3.78370E-06
680 nm,1.06206E-06,3.85818E-06,4.64728E-08,3.65673E-06,1.06206E-06,3.85818E-06,4.64728E-08,3.65673E-06
681 nm,9.87039E-07,3.66718E-06,3.86121E-08,3.62611E-06,9.87039E-07,3.66718E-06,3.86121E-08,3.62611E-06
682 nm,1.08948E-06,3.54358E-06,2.20683E-08,3.47941E-06,1.08948E-06,3.54358E-06,2.20683E-08,3.47941E-06
683 nm,8.80208E-07,3.42960E-06,6.62226E-08,3.74333E-06,8.80208E-07,3.42960E-06,6.62226E-08,3.74333E-06
684 nm,8.75151E-07,3.21425E-06,6.69006E-08,3.25231E-06,8.75151E-07,3.21425E-06,6.69006E-08,3.25231E-06
685 nm,8.10797E-07,3.14418E-06,0.00000E+00,3.18204E-06,8.10797E-07,3.14418E-06,0.00000E+00,3.18204E-06
686 nm,1.10416E-06,2.86452E-06,1.97383E-08,3.27164E-06,1.10416E-06,2.86452E-06,1.97383E-08,3.27164E-06
687 nm,1.12353E-06,2.94537E-06,1.75594E-07,2.86591E-06,1.12353E-06,2.94537E-06,1.75594E-07,2.86591E-06
688 nm,8.66802E-07,2.64342E-06,1.94106E-09,3.28970E-06,8.66802E-07,2.64342E-06,1.94106E-09,3.28970E-06
689 nm,7.34042E-07,2.64817E-06,4.12127E-07,2.88983E-06,7.34042E-07,2.64817E-06,4.12127E-07,2.88983E-06
690 nm,7.53194E-07,3.07040E-06,4.28025E-07,2.71907E-06,7.53194E-07,3.07040E-06,4.28025E-07,2.71907E-06
691 nm,7.51335E-07,2.92018E-06,2.84616E-08,2.50065E-06,7.51335E-07,2.92018E-06,2.84616E-08,2.50065E-06
