,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Name,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33
Date,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015
Time,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm
T_int [ms],5060,5932,3613,7193,4712,14365,5060,5932,3613,7193,4712,14365
439 nm,6.07504E-05,1.64625E-07,8.68592E-05,3.63104E-05,2.72222E-07,4.27909E-07,6.07504E-05,1.64625E-07,8.68592E-05,3.63104E-05,2.72222E-07,4.27909E-07
440 nm,6.40763E-05,5.13692E-07,9.22225E-05,3.96586E-05,3.98615E-07,1.20028E-07,6.40763E-05,5.13692E-07,9.22225E-05,3.96586E-05,3.98615E-07,1.20028E-07
441 nm,6.82803E-05,9.94277E-07,9.59190E-05,4.17224E-05,3.54338E-07,5.22485E-07,6.82803E-05,9.94277E-07,9.59190E-05,4.17224E-05,3.54338E-07,5.22485E-07
442 nm,7.10784E-05,2.33665E-07,9.99836E-05,4.54564E-05,2.32732E-07,4.12947E-08,7.10784E-05,2.33665E-07,9.99836E-05,4.54564E-05,2.32732E-07,4.12947E-08
443 nm,7.24022E-05,0.00000E+00,1.04044E-04,4.64696E-05,8.27873E-07,1.14789E-07,7.24022E-05,0.00000E+00,1.04044E-04,4.64696E-05,8.27873E-07,1.14789E-07
444 nm,7.44821E-05,3.74763E-08,1.05153E-04,4.89006E-05,0.00000E+00,5.54687E-07,7.44821E-05,3.74763E-08,1.05153E-04,4.89006E-05,0.00000E+00,5.54687E-07
445 nm,7.45884E-05,6.64319E-07,1.06619E-04,5.00137E-05,2.32560E-07,0.00000E+00,7.45884E-05,6.64319E-07,1.06619E-04,5.00137E-05,2.32560E-07,0.00000E+00
446 nm,7.34662E-05,3.85274E-07,1.05729E-04,5.06997E-05,2.62674E-07,5.84138E-07,7.34662E-05,3.85274E-07,1.05729E-04,5.06997E-05,2.62674E-07,5.84138E-07
447 nm,7.26083E-05,9.53809E-07,1.04451E-04,5.11815E-05,7.07823E-07,3.17847E-08,7.26083E-05,9.53809E-07,1.04451E-04,5.11815E-05,7.07823E-07,3.17847E-08
448 nm,6.96636E-05,2.57502E-07,1.00106E-04,4.91514E-05,1.80237E-07,7.61571E-08,6.96636E-05,2.57502E-07,1.00106E-04,4.91514E-05,1.80237E-07,7.61571E-08
449 nm,6.63871E-05,1.36344E-07,9.64355E-05,4.74405E-05,7.19958E-07,3.99402E-07,6.63871E-05,1.36344E-07,9.64355E-05,4.74405E-05,7.19958E-07,3.99402E-07
450 nm,6.21332E-05,5.65576E-07,9.17875E-05,4.56220E-05,7.03305E-07,4.16420E-07,6.21332E-05,5.65576E-07,9.17875E-05,4.56220E-05,7.03305E-07,4.16420E-07
451 nm,5.70325E-05,1.15672E-06,8.51787E-05,4.22856E-05,4.93375E-07,5.39666E-07,5.70325E-05,1.15672E-06,8.51787E-05,4.22856E-05,4.93375E-07,5.39666E-07
452 nm,5.40748E-05,4.46810E-07,8.01865E-05,3.88372E-05,5.34287E-07,5.37513E-07,5.40748E-05,4.46810E-07,8.01865E-05,3.88372E-05,5.34287E-07,5.37513E-07
453 nm,4.90603E-05,6.18815E-07,7.24999E-05,3.58484E-05,3.80889E-08,2.69449E-07,4.90603E-05,6.18815E-07,7.24999E-05,3.58484E-05,3.80889E-08,2.69449E-07
454 nm,4.45409E-05,3.10307E-07,6.61453E-05,3.33535E-05,9.74391E-07,3.88691E-07,4.45409E-05,3.10307E-07,6.61453E-05,3.33535E-05,9.74391E-07,3.88691E-07
455 nm,4.08610E-05,5.94213E-07,6.07754E-05,3.03286E-05,7.14290E-07,3.76489E-07,4.08610E-05,5.94213E-07,6.07754E-05,3.03286E-05,7.14290E-07,3.76489E-07
456 nm,3.72717E-05,5.75745E-07,5.58610E-05,2.77391E-05,1.90361E-08,4.27420E-07,3.72717E-05,5.75745E-07,5.58610E-05,2.77391E-05,1.90361E-08,4.27420E-07
457 nm,3.37158E-05,3.42082E-07,5.15493E-05,2.51185E-05,6.68697E-07,3.11449E-07,3.37158E-05,3.42082E-07,5.15493E-05,2.51185E-05,6.68697E-07,3.11449E-07
458 nm,3.14195E-05,6.15705E-07,4.69549E-05,2.27386E-05,2.24090E-07,2.97248E-07,3.14195E-05,6.15705E-07,4.69549E-05,2.27386E-05,2.24090E-07,2.97248E-07
459 nm,2.87015E-05,7.78601E-07,4.31844E-05,2.09770E-05,9.86143E-07,5.14897E-07,2.87015E-05,7.78601E-07,4.31844E-05,2.09770E-05,9.86143E-07,5.14897E-07
460 nm,2.57561E-05,7.46163E-07,3.91427E-05,1.93270E-05,8.69268E-07,9.46284E-07,2.57561E-05,7.46163E-07,3.91427E-05,1.93270E-05,8.69268E-07,9.46284E-07
461 nm,2.38525E-05,5.81024E-07,3.55899E-05,1.75024E-05,1.01475E-07,8.49559E-07,2.38525E-05,5.81024E-07,3.55899E-05,1.75024E-05,1.01475E-07,8.49559E-07
462 nm,2.25626E-05,3.44123E-07,3.40092E-05,1.67830E-05,1.54070E-06,9.47476E-07,2.25626E-05,3.44123E-07,3.40092E-05,1.67830E-05,1.54070E-06,9.47476E-07
463 nm,2.11747E-05,8.55589E-07,3.22826E-05,1.56224E-05,5.19345E-07,6.96254E-07,2.11747E-05,8.55589E-07,3.22826E-05,1.56224E-05,5.19345E-07,6.96254E-07
464 nm,1.92848E-05,5.66515E-07,2.97528E-05,1.45594E-05,8.57326E-07,8.58809E-07,1.92848E-05,5.66515E-07,2.97528E-05,1.45594E-05,8.57326E-07,8.58809E-07
465 nm,1.79745E-05,3.76047E-07,2.77875E-05,1.34865E-05,8.38347E-07,9.62388E-07,1.79745E-05,3.76047E-07,2.77875E-05,1.34865E-05,8.38347E-07,9.62388E-07
466 nm,1.73293E-05,9.29167E-07,2.45244E-05,1.25206E-05,8.62800E-07,7.71794E-07,1.73293E-05,9.29167E-07,2.45244E-05,1.25206E-05,8.62800E-07,7.71794E-07
467 nm,1.55234E-05,7.73079E-07,2.44579E-05,1.18729E-05,7.05425E-07,6.95465E-07,1.55234E-05,7.73079E-07,2.44579E-05,1.18729E-05,7.05425E-07,6.95465E-07
468 nm,1.41990E-05,7.20605E-07,2.18498E-05,1.08253E-05,1.16698E-06,1.02307E-06,1.41990E-05,7.20605E-07,2.18498E-05,1.08253E-05,1.16698E-06,1.02307E-06
469 nm,1.41408E-05,1.71642E-07,2.00806E-05,1.00831E-05,4.88451E-09,8.22112E-07,1.41408E-05,1.71642E-07,2.00806E-05,1.00831E-05,4.88451E-09,8.22112E-07
470 nm,1.25264E-05,6.95424E-07,1.95584E-05,9.64503E-06,6.94236E-07,8.63320E-07,1.25264E-05,6.95424E-07,1.95584E-05,9.64503E-06,6.94236E-07,8.63320E-07
471 nm,1.17712E-05,7.86999E-07,1.76787E-05,8.91044E-06,1.07106E-06,7.59791E-07,1.17712E-05,7.86999E-07,1.76787E-05,8.91044E-06,1.07106E-06,7.59791E-07
472 nm,1.12396E-05,1.13027E-06,1.67621E-05,7.92745E-06,7.50518E-07,7.59526E-07,1.12396E-05,1.13027E-06,1.67621E-05,7.92745E-06,7.50518E-07,7.59526E-07
473 nm,1.02779E-05,8.67274E-07,1.58166E-05,7.44134E-06,7.25517E-07,2.70538E-07,1.02779E-05,8.67274E-07,1.58166E-05,7.44134E-06,7.25517E-07,2.70538E-07
474 nm,1.04457E-05,3.40103E-07,1.49643E-05,7.71191E-06,1.10205E-06,7.57891E-07,1.04457E-05,3.40103E-07,1.49643E-05,7.71191E-06,1.10205E-06,7.57891E-07
475 nm,9.46688E-06,7.22107E-07,1.42816E-05,7.08482E-06,1.24777E-06,6.02409E-07,9.46688E-06,7.22107E-07,1.42816E-05,7.08482E-06,1.24777E-06,6.02409E-07
476 nm,8.93496E-06,9.88816E-07,1.30218E-05,6.95336E-06,7.61522E-07,3.18860E-07,8.93496E-06,9.88816E-07,1.30218E-05,6.95336E-06,7.61522E-07,3.18860E-07
477 nm,8.92221E-06,2.21872E-07,1.32288E-05,6.37402E-06,1.04964E-07,5.57168E-07,8.92221E-06,2.21872E-07,1.32288E-05,6.37402E-06,1.04964E-07,5.57168E-07
478 nm,8.47218E-06,8.73161E-07,1.20228E-05,6.28438E-06,8.10222E-07,2.53045E-07,8.47218E-06,8.73161E-07,1.20228E-05,6.28438E-06,8.10222E-07,2.53045E-07
479 nm,8.06682E-06,1.46964E-07,1.21260E-05,5.81771E-06,2.76536E-07,6.26001E-07,8.06682E-06,1.46964E-07,1.21260E-05,5.81771E-06,2.76536E-07,6.26001E-07
480 nm,8.18069E-06,6.10010E-07,1.19825E-05,5.32217E-06,5.99445E-07,4.75250E-07,8.18069E-06,6.10010E-07,1.19825E-05,5.32217E-06,5.99445E-07,4.75250E-07
481 nm,7.94543E-06,5.21345E-07,1.19050E-05,5.60774E-06,5.78984E-07,4.91036E-07,7.94543E-06,5.21345E-07,1.19050E-05,5.60774E-06,5.78984E-07,4.91036E-07
482 nm,7.82723E-06,7.58575E-08,1.12616E-05,5.64827E-06,4.04490E-07,4.29912E-07,7.82723E-06,7.58575E-08,1.12616E-05,5.64827E-06,4.04490E-07,4.29912E-07
483 nm,7.48385E-06,2.65036E-07,1.10207E-05,5.64017E-06,3.29062E-08,6.49447E-07,7.48385E-06,2.65036E-07,1.10207E-05,5.64017E-06,3.29062E-08,6.49447E-07
484 nm,7.08591E-06,4.34445E-07,1.11047E-05,5.90178E-06,2.83189E-07,4.69605E-07,7.08591E-06,4.34445E-07,1.11047E-05,5.90178E-06,2.83189E-07,4.69605E-07
485 nm,7.09300E-06,8.43688E-07,1.05784E-05,5.50001E-06,8.08274E-07,7.66866E-07,7.09300E-06,8.43688E-07,1.05784E-05,5.50001E-06,8.08274E-07,7.66866E-07
486 nm,7.82412E-06,7.96690E-07,1.11215E-05,5.45828E-06,7.63554E-07,7.52774E-07,7.82412E-06,7.96690E-07,1.11215E-05,5.45828E-06,7.63554E-07,7.52774E-07
487 nm,7.58592E-06,7.52844E-07,1.22782E-05,5.72100E-06,5.60086E-07,7.75419E-07,7.58592E-06,7.52844E-07,1.22782E-05,5.72100E-06,5.60086E-07,7.75419E-07
488 nm,7.82146E-06,8.84224E-07,1.20402E-05,5.58313E-06,8.44997E-07,3.80684E-07,7.82146E-06,8.84224E-07,1.20402E-05,5.58313E-06,8.44997E-07,3.80684E-07
489 nm,7.83420E-06,4.73103E-07,1.18248E-05,6.02001E-06,6.98418E-07,7.00386E-07,7.83420E-06,4.73103E-07,1.18248E-05,6.02001E-06,6.98418E-07,7.00386E-07
490 nm,7.93728E-06,4.40885E-07,1.23267E-05,5.73638E-06,6.52854E-07,5.16521E-07,7.93728E-06,4.40885E-07,1.23267E-05,5.73638E-06,6.52854E-07,5.16521E-07
491 nm,8.63131E-06,4.07402E-07,1.35332E-05,6.42749E-06,4.10176E-07,6.02586E-07,8.63131E-06,4.07402E-07,1.35332E-05,6.42749E-06,4.10176E-07,6.02586E-07
492 nm,8.62408E-06,6.07336E-07,1.31128E-05,6.20346E-06,2.09217E-07,3.21926E-07,8.62408E-06,6.07336E-07,1.31128E-05,6.20346E-06,2.09217E-07,3.21926E-07
493 nm,9.44124E-06,4.64728E-07,1.37181E-05,6.45263E-06,9.07133E-07,6.92065E-07,9.44124E-06,4.64728E-07,1.37181E-05,6.45263E-06,9.07133E-07,6.92065E-07
494 nm,9.66737E-06,7.97015E-07,1.48772E-05,6.89298E-06,4.49301E-07,2.85839E-07,9.66737E-06,7.97015E-07,1.48772E-05,6.89298E-06,4.49301E-07,2.85839E-07
495 nm,1.03815E-05,4.89350E-07,1.51612E-05,7.16697E-06,2.43950E-07,3.32863E-07,1.03815E-05,4.89350E-07,1.51612E-05,7.16697E-06,2.43950E-07,3.32863E-07
496 nm,1.11570E-05,1.25057E-07,1.51329E-05,7.65818E-06,3.29841E-07,2.63150E-07,1.11570E-05,1.25057E-07,1.51329E-05,7.65818E-06,3.29841E-07,2.63150E-07
497 nm,1.12958E-05,3.23385E-07,1.65681E-05,8.05941E-06,3.47223E-07,2.11134E-07,1.12958E-05,3.23385E-07,1.65681E-05,8.05941E-06,3.47223E-07,2.11134E-07
498 nm,1.18989E-05,4.77282E-07,1.73420E-05,8.40799E-06,8.16209E-08,1.43379E-07,1.18989E-05,4.77282E-07,1.73420E-05,8.40799E-06,8.16209E-08,1.43379E-07
499 nm,1.20245E-05,2.73598E-08,1.83556E-05,9.19938E-06,2.01591E-07,2.85223E-07,1.20245E-05,2.73598E-08,1.83556E-05,9.19938E-06,2.01591E-07,2.85223E-07
500 nm,1.34009E-05,4.05734E-07,1.86527E-05,9.30725E-06,4.84506E-07,2.20073E-07,1.34009E-05,4.05734E-07,1.86527E-05,9.30725E-06,4.84506E-07,2.20073E-07
501 nm,1.36145E-05,3.10983E-07,2.03589E-05,1.00681E-05,1.11084E-06,1.39775E-07,1.36145E-05,3.10983E-07,2.03589E-05,1.00681E-05,1.11084E-06,1.39775E-07
502 nm,1.42747E-05,1.21968E-07,2.11811E-05,1.00748E-05,6.42926E-10,9.01249E-08,1.42747E-05,1.21968E-07,2.11811E-05,1.00748E-05,6.42926E-10,9.01249E-08
503 nm,1.54184E-05,7.89389E-08,2.22754E-05,1.10807E-05,3.73456E-07,1.80827E-07,1.54184E-05,7.89389E-08,2.22754E-05,1.10807E-05,3.73456E-07,1.80827E-07
504 nm,1.59635E-05,3.95924E-08,2.33843E-05,1.13031E-05,2.77279E-07,1.67790E-07,1.59635E-05,3.95924E-08,2.33843E-05,1.13031E-05,2.77279E-07,1.67790E-07
505 nm,1.63994E-05,2.68528E-07,2.41068E-05,1.24509E-05,4.44748E-07,4.51875E-09,1.63994E-05,2.68528E-07,2.41068E-05,1.24509E-05,4.44748E-07,4.51875E-09
506 nm,1.77548E-05,1.55927E-09,2.56081E-05,1.21907E-05,2.04707E-07,3.03686E-08,1.77548E-05,1.55927E-09,2.56081E-05,1.21907E-05,2.04707E-07,3.03686E-08
507 nm,1.89191E-05,2.60804E-07,2.63314E-05,1.27065E-05,4.74182E-07,4.54575E-08,1.89191E-05,2.60804E-07,2.63314E-05,1.27065E-05,4.74182E-07,4.54575E-08
508 nm,1.90184E-05,0.00000E+00,2.87618E-05,1.39965E-05,0.00000E+00,2.96979E-07,1.90184E-05,0.00000E+00,2.87618E-05,1.39965E-05,0.00000E+00,2.96979E-07
509 nm,2.03157E-05,1.62221E-07,2.92411E-05,1.40508E-05,0.00000E+00,4.33496E-08,2.03157E-05,1.62221E-07,2.92411E-05,1.40508E-05,0.00000E+00,4.33496E-08
510 nm,2.06239E-05,2.37745E-07,3.03155E-05,1.44169E-05,3.95848E-07,7.75129E-08,2.06239E-05,2.37745E-07,3.03155E-05,1.44169E-05,3.95848E-07,7.75129E-08
511 nm,2.15574E-05,2.77371E-07,3.13144E-05,1.51166E-05,0.00000E+00,4.32341E-08,2.15574E-05,2.77371E-07,3.13144E-05,1.51166E-05,0.00000E+00,4.32341E-08
512 nm,2.16942E-05,4.97277E-09,3.19411E-05,1.56970E-05,1.26970E-07,1.28639E-08,2.16942E-05,4.97277E-09,3.19411E-05,1.56970E-05,1.26970E-07,1.28639E-08
513 nm,2.25238E-05,2.25513E-07,3.38736E-05,1.58056E-05,4.28410E-07,1.41213E-07,2.25238E-05,2.25513E-07,3.38736E-05,1.58056E-05,4.28410E-07,1.41213E-07
514 nm,2.38475E-05,2.99939E-07,3.38810E-05,1.61775E-05,1.79787E-07,1.20495E-07,2.38475E-05,2.99939E-07,3.38810E-05,1.61775E-05,1.79787E-07,1.20495E-07
515 nm,2.43746E-05,2.92393E-08,3.45572E-05,1.68374E-05,0.00000E+00,1.20164E-07,2.43746E-05,2.92393E-08,3.45572E-05,1.68374E-05,0.00000E+00,1.20164E-07
516 nm,2.52496E-05,0.00000E+00,3.60948E-05,1.76285E-05,3.94649E-07,9.26735E-08,2.52496E-05,0.00000E+00,3.60948E-05,1.76285E-05,3.94649E-07,9.26735E-08
517 nm,2.53885E-05,9.20370E-08,3.72077E-05,1.79292E-05,0.00000E+00,3.23590E-08,2.53885E-05,9.20370E-08,3.72077E-05,1.79292E-05,0.00000E+00,3.23590E-08
518 nm,2.60926E-05,1.14511E-07,3.76990E-05,1.81310E-05,2.25956E-07,2.13812E-07,2.60926E-05,1.14511E-07,3.76990E-05,1.81310E-05,2.25956E-07,2.13812E-07
519 nm,2.58529E-05,3.47271E-07,3.90289E-05,1.86394E-05,2.68798E-07,2.27316E-07,2.58529E-05,3.47271E-07,3.90289E-05,1.86394E-05,2.68798E-07,2.27316E-07
520 nm,2.73526E-05,1.01362E-07,3.94765E-05,1.85984E-05,1.88795E-07,1.56465E-07,2.73526E-05,1.01362E-07,3.94765E-05,1.85984E-05,1.88795E-07,1.56465E-07
521 nm,2.74830E-05,1.97167E-07,4.02387E-05,1.95305E-05,2.79887E-07,1.95071E-07,2.74830E-05,1.97167E-07,4.02387E-05,1.95305E-05,2.79887E-07,1.95071E-07
522 nm,2.77762E-05,6.20576E-08,4.01422E-05,1.91501E-05,2.21911E-07,8.64927E-08,2.77762E-05,6.20576E-08,4.01422E-05,1.91501E-05,2.21911E-07,8.64927E-08
523 nm,2.81966E-05,3.72175E-07,3.97683E-05,1.95670E-05,2.13962E-07,1.81051E-07,2.81966E-05,3.72175E-07,3.97683E-05,1.95670E-05,2.13962E-07,1.81051E-07
524 nm,2.86728E-05,5.02675E-07,4.15240E-05,2.00211E-05,0.00000E+00,1.27254E-07,2.86728E-05,5.02675E-07,4.15240E-05,2.00211E-05,0.00000E+00,1.27254E-07
525 nm,2.83270E-05,8.76096E-08,4.15601E-05,2.01555E-05,2.43885E-07,4.41730E-09,2.83270E-05,8.76096E-08,4.15601E-05,2.01555E-05,2.43885E-07,4.41730E-09
526 nm,2.93375E-05,1.28492E-07,4.25901E-05,2.02648E-05,0.00000E+00,7.36737E-08,2.93375E-05,1.28492E-07,4.25901E-05,2.02648E-05,0.00000E+00,7.36737E-08
527 nm,2.94883E-05,1.47699E-08,4.31692E-05,2.04359E-05,0.00000E+00,1.32983E-07,2.94883E-05,1.47699E-08,4.31692E-05,2.04359E-05,0.00000E+00,1.32983E-07
528 nm,2.96607E-05,6.18025E-08,4.34369E-05,2.09813E-05,8.29289E-08,0.00000E+00,2.96607E-05,6.18025E-08,4.34369E-05,2.09813E-05,8.29289E-08,0.00000E+00
529 nm,2.97312E-05,1.22377E-08,4.35240E-05,2.06995E-05,5.84037E-08,2.41543E-07,2.97312E-05,1.22377E-08,4.35240E-05,2.06995E-05,5.84037E-08,2.41543E-07
530 nm,2.98444E-05,5.80855E-07,4.38181E-05,2.10489E-05,4.57214E-07,1.08519E-07,2.98444E-05,5.80855E-07,4.38181E-05,2.10489E-05,4.57214E-07,1.08519E-07
531 nm,3.05014E-05,7.64288E-08,4.35819E-05,2.14134E-05,3.59924E-07,0.00000E+00,3.05014E-05,7.64288E-08,4.35819E-05,2.14134E-05,3.59924E-07,0.00000E+00
532 nm,3.06433E-05,3.53322E-07,4.44785E-05,2.12232E-05,2.72945E-07,0.00000E+00,3.06433E-05,3.53322E-07,4.44785E-05,2.12232E-05,2.72945E-07,0.00000E+00
533 nm,3.06674E-05,2.20649E-07,4.50598E-05,2.10447E-05,1.51181E-07,5.45112E-08,3.06674E-05,2.20649E-07,4.50598E-05,2.10447E-05,1.51181E-07,5.45112E-08
534 nm,3.12402E-05,3.48492E-07,4.53262E-05,2.15822E-05,3.14790E-08,1.41839E-07,3.12402E-05,3.48492E-07,4.53262E-05,2.15822E-05,3.14790E-08,1.41839E-07
535 nm,3.02228E-05,1.44431E-07,4.41899E-05,2.09893E-05,2.08144E-08,2.50641E-07,3.02228E-05,1.44431E-07,4.41899E-05,2.09893E-05,2.08144E-08,2.50641E-07
536 nm,3.11549E-05,3.35702E-07,4.40536E-05,2.17124E-05,2.09122E-07,1.49922E-07,3.11549E-05,3.35702E-07,4.40536E-05,2.17124E-05,2.09122E-07,1.49922E-07
537 nm,3.09936E-05,2.37366E-07,4.53277E-05,2.14871E-05,3.96213E-07,4.10638E-07,3.09936E-05,2.37366E-07,4.53277E-05,2.14871E-05,3.96213E-07,4.10638E-07
538 nm,3.11867E-05,6.34529E-07,4.54488E-05,2.18786E-05,1.25132E-07,3.94460E-07,3.11867E-05,6.34529E-07,4.54488E-05,2.18786E-05,1.25132E-07,3.94460E-07
539 nm,3.14451E-05,4.00177E-07,4.59935E-05,2.16245E-05,6.07237E-07,8.86159E-07,3.14451E-05,4.00177E-07,4.59935E-05,2.16245E-05,6.07237E-07,8.86159E-07
540 nm,3.13549E-05,8.72582E-07,4.58879E-05,2.33109E-05,1.20149E-06,1.07263E-06,3.13549E-05,8.72582E-07,4.58879E-05,2.33109E-05,1.20149E-06,1.07263E-06
541 nm,3.23300E-05,1.21220E-06,4.63598E-05,2.27856E-05,1.34523E-06,1.31024E-06,3.23300E-05,1.21220E-06,4.63598E-05,2.27856E-05,1.34523E-06,1.31024E-06
542 nm,3.25297E-05,1.84412E-06,4.64751E-05,2.29149E-05,1.57835E-06,1.86388E-06,3.25297E-05,1.84412E-06,4.64751E-05,2.29149E-05,1.57835E-06,1.86388E-06
543 nm,3.27938E-05,2.38583E-06,4.79213E-05,2.35024E-05,1.97329E-06,1.95415E-06,3.27938E-05,2.38583E-06,4.79213E-05,2.35024E-05,1.97329E-06,1.95415E-06
544 nm,3.33369E-05,2.08201E-06,4.70069E-05,2.37585E-05,1.74518E-06,2.23709E-06,3.33369E-05,2.08201E-06,4.70069E-05,2.37585E-05,1.74518E-06,2.23709E-06
545 nm,3.25912E-05,2.09947E-06,4.62631E-05,2.35761E-05,1.53033E-06,1.83336E-06,3.25912E-05,2.09947E-06,4.62631E-05,2.35761E-05,1.53033E-06,1.83336E-06
546 nm,3.20017E-05,2.10762E-06,4.67101E-05,2.34280E-05,1.91717E-06,1.80474E-06,3.20017E-05,2.10762E-06,4.67101E-05,2.34280E-05,1.91717E-06,1.80474E-06
547 nm,3.18911E-05,1.60219E-06,4.67664E-05,2.34380E-05,1.27139E-06,1.65942E-06,3.18911E-05,1.60219E-06,4.67664E-05,2.34380E-05,1.27139E-06,1.65942E-06
548 nm,3.20091E-05,1.02706E-06,4.58795E-05,2.27536E-05,9.91923E-07,1.08566E-06,3.20091E-05,1.02706E-06,4.58795E-05,2.27536E-05,9.91923E-07,1.08566E-06
549 nm,3.18670E-05,9.98465E-07,4.49528E-05,2.17279E-05,5.06436E-07,9.63598E-07,3.18670E-05,9.98465E-07,4.49528E-05,2.17279E-05,5.06436E-07,9.63598E-07
550 nm,3.12707E-05,4.96274E-07,4.53303E-05,2.22783E-05,9.97635E-07,9.14103E-07,3.12707E-05,4.96274E-07,4.53303E-05,2.22783E-05,9.97635E-07,9.14103E-07
551 nm,3.10403E-05,4.47759E-07,4.55107E-05,2.21789E-05,8.59165E-07,7.61602E-07,3.10403E-05,4.47759E-07,4.55107E-05,2.21789E-05,8.59165E-07,7.61602E-07
552 nm,3.09687E-05,7.33034E-07,4.48280E-05,2.13074E-05,1.61936E-07,4.04423E-07,3.09687E-05,7.33034E-07,4.48280E-05,2.13074E-05,1.61936E-07,4.04423E-07
553 nm,3.07949E-05,1.23629E-07,4.49269E-05,2.15549E-05,5.41647E-07,2.89264E-07,3.07949E-05,1.23629E-07,4.49269E-05,2.15549E-05,5.41647E-07,2.89264E-07
554 nm,3.13053E-05,2.53871E-07,4.39142E-05,2.20658E-05,4.55719E-07,4.00336E-07,3.13053E-05,2.53871E-07,4.39142E-05,2.20658E-05,4.55719E-07,4.00336E-07
555 nm,3.05981E-05,2.54415E-07,4.47997E-05,2.10825E-05,9.35087E-08,1.45041E-07,3.05981E-05,2.54415E-07,4.47997E-05,2.10825E-05,9.35087E-08,1.45041E-07
556 nm,3.06305E-05,1.03528E-07,4.44882E-05,2.16045E-05,4.04751E-07,6.62109E-08,3.06305E-05,1.03528E-07,4.44882E-05,2.16045E-05,4.04751E-07,6.62109E-08
557 nm,2.99956E-05,9.00571E-08,4.41664E-05,2.09413E-05,3.23758E-07,0.00000E+00,2.99956E-05,9.00571E-08,4.41664E-05,2.09413E-05,3.23758E-07,0.00000E+00
558 nm,3.05845E-05,0.00000E+00,4.43306E-05,2.07882E-05,3.31960E-07,2.64186E-07,3.05845E-05,0.00000E+00,4.43306E-05,2.07882E-05,3.31960E-07,2.64186E-07
559 nm,3.02734E-05,2.32821E-08,4.42763E-05,2.11280E-05,0.00000E+00,4.15038E-07,3.02734E-05,2.32821E-08,4.42763E-05,2.11280E-05,0.00000E+00,4.15038E-07
560 nm,2.97023E-05,4.02067E-07,4.44802E-05,2.12092E-05,3.47743E-07,2.26269E-07,2.97023E-05,4.02067E-07,4.44802E-05,2.12092E-05,3.47743E-07,2.26269E-07
561 nm,3.00875E-05,1.62763E-07,4.29579E-05,2.10564E-05,2.46319E-07,1.25993E-07,3.00875E-05,1.62763E-07,4.29579E-05,2.10564E-05,2.46319E-07,1.25993E-07
562 nm,3.00198E-05,5.08994E-08,4.44311E-05,2.09277E-05,1.74248E-07,1.96619E-08,3.00198E-05,5.08994E-08,4.44311E-05,2.09277E-05,1.74248E-07,1.96619E-08
563 nm,2.95156E-05,0.00000E+00,4.26752E-05,2.12147E-05,7.39546E-08,4.63016E-09,2.95156E-05,0.00000E+00,4.26752E-05,2.12147E-05,7.39546E-08,4.63016E-09
564 nm,2.99102E-05,1.03816E-08,4.31862E-05,2.10538E-05,8.07585E-08,2.16511E-08,2.99102E-05,1.03816E-08,4.31862E-05,2.10538E-05,8.07585E-08,2.16511E-08
565 nm,2.93624E-05,0.00000E+00,4.37266E-05,2.05825E-05,1.99957E-07,2.96186E-07,2.93624E-05,0.00000E+00,4.37266E-05,2.05825E-05,1.99957E-07,2.96186E-07
566 nm,2.94314E-05,2.52654E-07,4.29274E-05,2.06444E-05,4.83368E-07,1.08719E-07,2.94314E-05,2.52654E-07,4.29274E-05,2.06444E-05,4.83368E-07,1.08719E-07
567 nm,2.96424E-05,0.00000E+00,4.27051E-05,2.04369E-05,8.85605E-08,0.00000E+00,2.96424E-05,0.00000E+00,4.27051E-05,2.04369E-05,8.85605E-08,0.00000E+00
568 nm,2.92422E-05,3.19807E-07,4.18063E-05,2.04075E-05,2.58383E-08,1.86329E-08,2.92422E-05,3.19807E-07,4.18063E-05,2.04075E-05,2.58383E-08,1.86329E-08
569 nm,2.88262E-05,0.00000E+00,4.23924E-05,2.05828E-05,5.50037E-08,4.57917E-08,2.88262E-05,0.00000E+00,4.23924E-05,2.05828E-05,5.50037E-08,4.57917E-08
570 nm,2.90405E-05,7.82901E-09,4.25891E-05,2.04495E-05,7.31301E-08,1.07982E-07,2.90405E-05,7.82901E-09,4.25891E-05,2.04495E-05,7.31301E-08,1.07982E-07
571 nm,2.87513E-05,3.40705E-07,4.14820E-05,2.05663E-05,0.00000E+00,0.00000E+00,2.87513E-05,3.40705E-07,4.14820E-05,2.05663E-05,0.00000E+00,0.00000E+00
572 nm,2.89506E-05,3.77175E-07,4.14360E-05,2.02264E-05,2.46789E-07,2.23409E-07,2.89506E-05,3.77175E-07,4.14360E-05,2.02264E-05,2.46789E-07,2.23409E-07
573 nm,2.91226E-05,9.96398E-08,4.27149E-05,2.05974E-05,3.49426E-08,9.72623E-08,2.91226E-05,9.96398E-08,4.27149E-05,2.05974E-05,3.49426E-08,9.72623E-08
