,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Name,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33
Date,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015
Time,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm
T_int [ms],5060,5932,3613,7193,4712,14365,5060,5932,3613,7193,4712,14365
350 nm,0.00000E+00,3.81145E-07,0.00000E+00,3.14894E-06,6.29059E-06,6.25939E-06,0.00000E+00,3.81145E-07,0.00000E+00,3.14894E-06,6.29059E-06,6.25939E-06
351 nm,6.42839E-06,4.48538E-06,1.82195E-07,1.57879E-06,7.09892E-06,2.35125E-07,6.42839E-06,4.48538E-06,1.82195E-07,1.57879E-06,7.09892E-06,2.35125E-07
352 nm,2.58653E-07,3.48568E-06,5.67737E-07,8.12308E-07,9.48953E-06,3.68538E-06,2.58653E-07,3.48568E-06,5.67737E-07,8.12308E-07,9.48953E-06,3.68538E-06
353 nm,3.85908E-06,2.91499E-06,5.21605E-06,4.88817E-07,3.72167E-06,1.08038E-06,3.85908E-06,2.91499E-06,5.21605E-06,4.88817E-07,3.72167E-06,1.08038E-06
354 nm,0.00000E+00,3.42121E-06,0.00000E+00,7.25167E-07,5.82583E-06,1.01225E-06,0.00000E+00,3.42121E-06,0.00000E+00,7.25167E-07,5.82583E-06,1.01225E-06
355 nm,7.18366E-07,4.39500E-06,1.10515E-06,2.18669E-06,4.50589E-06,2.09869E-06,7.18366E-07,4.39500E-06,1.10515E-06,2.18669E-06,4.50589E-06,2.09869E-06
356 nm,3.23220E-06,7.36107E-07,2.47004E-06,2.86950E-07,3.83230E-06,2.65047E-06,3.23220E-06,7.36107E-07,2.47004E-06,2.86950E-07,3.83230E-06,2.65047E-06
357 nm,8.04655E-07,5.00024E-06,2.49657E-06,2.40713E-06,3.63641E-06,2.45945E-06,8.04655E-07,5.00024E-06,2.49657E-06,2.40713E-06,3.63641E-06,2.45945E-06
358 nm,5.27321E-07,8.93029E-06,1.57878E-07,2.97178E-07,6.08481E-06,1.83928E-06,5.27321E-07,8.93029E-06,1.57878E-07,2.97178E-07,6.08481E-06,1.83928E-06
359 nm,1.51119E-06,9.55497E-06,1.64377E-06,8.89573E-07,1.14045E-05,4.45341E-06,1.51119E-06,9.55497E-06,1.64377E-06,8.89573E-07,1.14045E-05,4.45341E-06
360 nm,0.00000E+00,1.40819E-05,0.00000E+00,0.00000E+00,1.85101E-05,7.07166E-06,0.00000E+00,1.40819E-05,0.00000E+00,0.00000E+00,1.85101E-05,7.07166E-06
361 nm,1.29536E-06,2.23634E-05,2.71507E-07,1.12456E-06,2.38033E-05,1.07428E-05,1.29536E-06,2.23634E-05,2.71507E-07,1.12456E-06,2.38033E-05,1.07428E-05
362 nm,2.67895E-07,3.30344E-05,0.00000E+00,1.62837E-07,3.69830E-05,1.55176E-05,2.67895E-07,3.30344E-05,0.00000E+00,1.62837E-07,3.69830E-05,1.55176E-05
363 nm,5.74891E-09,4.59430E-05,2.05833E-06,0.00000E+00,4.96980E-05,2.13809E-05,5.74891E-09,4.59430E-05,2.05833E-06,0.00000E+00,4.96980E-05,2.13809E-05
364 nm,9.06145E-08,6.23061E-05,1.89374E-06,3.89007E-07,6.60666E-05,2.87833E-05,9.06145E-08,6.23061E-05,1.89374E-06,3.89007E-07,6.60666E-05,2.87833E-05
365 nm,5.71867E-07,8.41670E-05,6.19540E-07,1.28292E-06,9.10003E-05,3.53168E-05,5.71867E-07,8.41670E-05,6.19540E-07,1.28292E-06,9.10003E-05,3.53168E-05
366 nm,9.98211E-08,1.07747E-04,1.67955E-06,0.00000E+00,1.16512E-04,4.42519E-05,9.98211E-08,1.07747E-04,1.67955E-06,0.00000E+00,1.16512E-04,4.42519E-05
367 nm,2.36440E-07,1.25291E-04,5.38848E-07,3.85994E-08,1.41117E-04,5.34363E-05,2.36440E-07,1.25291E-04,5.38848E-07,3.85994E-08,1.41117E-04,5.34363E-05
368 nm,1.69974E-07,1.48506E-04,0.00000E+00,9.33437E-08,1.67429E-04,6.14140E-05,1.69974E-07,1.48506E-04,0.00000E+00,9.33437E-08,1.67429E-04,6.14140E-05
369 nm,8.83149E-07,1.63080E-04,2.84626E-06,9.21386E-07,1.89889E-04,6.65176E-05,8.83149E-07,1.63080E-04,2.84626E-06,9.21386E-07,1.89889E-04,6.65176E-05
370 nm,1.92564E-06,1.64052E-04,0.00000E+00,1.26538E-07,1.93408E-04,6.51321E-05,1.92564E-06,1.64052E-04,0.00000E+00,1.26538E-07,1.93408E-04,6.51321E-05
371 nm,0.00000E+00,1.62829E-04,4.63182E-07,9.81070E-07,1.98115E-04,6.34987E-05,0.00000E+00,1.62829E-04,4.63182E-07,9.81070E-07,1.98115E-04,6.34987E-05
372 nm,1.92704E-07,1.52056E-04,0.00000E+00,1.88035E-07,1.90577E-04,5.79460E-05,1.92704E-07,1.52056E-04,0.00000E+00,1.88035E-07,1.90577E-04,5.79460E-05
373 nm,1.78757E-08,1.41317E-04,2.43467E-06,3.75114E-07,1.77957E-04,5.13628E-05,1.78757E-08,1.41317E-04,2.43467E-06,3.75114E-07,1.77957E-04,5.13628E-05
374 nm,0.00000E+00,1.18841E-04,6.59538E-07,2.81332E-07,1.51118E-04,4.15897E-05,0.00000E+00,1.18841E-04,6.59538E-07,2.81332E-07,1.51118E-04,4.15897E-05
375 nm,1.30147E-07,1.03445E-04,1.28230E-08,0.00000E+00,1.35980E-04,3.70096E-05,1.30147E-07,1.03445E-04,1.28230E-08,0.00000E+00,1.35980E-04,3.70096E-05
376 nm,1.16026E-06,8.49577E-05,7.33031E-08,3.04577E-07,1.12904E-04,3.09057E-05,1.16026E-06,8.49577E-05,7.33031E-08,3.04577E-07,1.12904E-04,3.09057E-05
377 nm,1.73806E-06,7.02550E-05,0.00000E+00,3.49251E-07,9.34922E-05,2.52717E-05,1.73806E-06,7.02550E-05,0.00000E+00,3.49251E-07,9.34922E-05,2.52717E-05
378 nm,8.65120E-07,5.86528E-05,4.00327E-07,0.00000E+00,7.81532E-05,2.13966E-05,8.65120E-07,5.86528E-05,4.00327E-07,0.00000E+00,7.81532E-05,2.13966E-05
379 nm,2.39698E-08,4.80496E-05,2.90126E-08,1.87266E-07,6.63566E-05,1.77083E-05,2.39698E-08,4.80496E-05,2.90126E-08,1.87266E-07,6.63566E-05,1.77083E-05
380 nm,8.63358E-08,4.04738E-05,8.63360E-09,1.54322E-07,5.38670E-05,1.49025E-05,8.63358E-08,4.04738E-05,8.63360E-09,1.54322E-07,5.38670E-05,1.49025E-05
