,,,,
,,,,
,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
704 nm,1.51645E-06,1.81505E-06,3.61754E-04,1.51645E-06
705 nm,1.70581E-06,1.13276E-06,3.65233E-04,1.70581E-06
706 nm,2.12735E-06,1.18737E-06,3.53081E-04,2.12735E-06
707 nm,1.75279E-06,1.32809E-06,3.33809E-04,1.75279E-06
708 nm,1.42413E-06,1.49924E-06,3.26177E-04,1.42413E-06
709 nm,1.76732E-06,1.99294E-06,3.08956E-04,1.76732E-06
710 nm,1.60323E-06,1.57546E-06,3.07980E-04,1.60323E-06
711 nm,1.69155E-06,1.49815E-06,3.09128E-04,1.69155E-06
712 nm,1.37968E-06,1.43215E-06,2.99995E-04,1.37968E-06
713 nm,1.36797E-06,1.33749E-06,2.97188E-04,1.36797E-06
714 nm,1.76896E-06,1.56917E-06,2.74797E-04,1.76896E-06
715 nm,1.16763E-06,1.50802E-06,2.66308E-04,1.16763E-06
716 nm,1.79117E-06,1.13053E-06,2.54359E-04,1.79117E-06
717 nm,1.27270E-06,1.11261E-06,2.56929E-04,1.27270E-06
718 nm,1.42030E-06,1.53386E-06,2.32102E-04,1.42030E-06
719 nm,1.30037E-06,1.26305E-06,2.40331E-04,1.30037E-06
720 nm,1.46818E-06,1.56690E-06,2.39618E-04,1.46818E-06
721 nm,8.03149E-07,1.27389E-06,2.26616E-04,8.03149E-07
722 nm,1.47985E-06,5.81388E-07,2.25958E-04,1.47985E-06
723 nm,8.41573E-07,1.56824E-06,2.07977E-04,8.41573E-07
724 nm,8.99845E-07,9.79025E-07,2.17699E-04,8.99845E-07
725 nm,1.28550E-06,6.57171E-07,2.09374E-04,1.28550E-06
726 nm,8.40620E-07,6.42264E-07,1.98888E-04,8.40620E-07
727 nm,1.13269E-06,1.29489E-06,1.95769E-04,1.13269E-06
728 nm,8.04381E-07,8.97300E-07,1.92866E-04,8.04381E-07
729 nm,1.01322E-06,7.11379E-07,1.89627E-04,1.01322E-06
730 nm,1.59498E-06,8.74108E-07,1.70250E-04,1.59498E-06
731 nm,8.95200E-07,4.59655E-07,1.63443E-04,8.95200E-07
732 nm,8.84554E-07,7.81897E-07,1.70145E-04,8.84554E-07
733 nm,1.13586E-06,8.61556E-07,1.71623E-04,1.13586E-06
734 nm,3.81197E-07,5.53151E-07,1.78927E-04,3.81197E-07
735 nm,5.44354E-07,3.51911E-07,1.77619E-04,5.44354E-07
736 nm,6.91497E-07,7.93523E-07,1.46006E-04,6.91497E-07
737 nm,9.84297E-07,1.05898E-06,1.39476E-04,9.84297E-07
738 nm,4.73767E-07,8.96165E-07,1.41678E-04,4.73767E-07
739 nm,5.10306E-07,7.03021E-07,1.36984E-04,5.10306E-07
740 nm,1.54983E-07,6.76431E-07,1.42221E-04,1.54983E-07
741 nm,6.78590E-07,3.74450E-07,1.43123E-04,6.78590E-07
742 nm,8.64019E-07,3.27491E-07,1.33327E-04,8.64019E-07
743 nm,8.47656E-07,6.83827E-07,1.26483E-04,8.47656E-07
744 nm,9.00571E-07,4.23358E-07,1.16950E-04,9.00571E-07
745 nm,5.43802E-07,6.93639E-07,1.22574E-04,5.43802E-07
746 nm,5.54373E-07,3.44682E-07,1.19432E-04,5.54373E-07
747 nm,4.01980E-07,1.19270E-06,1.22034E-04,4.01980E-07
748 nm,2.63309E-07,7.86543E-08,1.20186E-04,2.63309E-07
749 nm,4.94542E-07,4.53523E-07,1.11639E-04,4.94542E-07
750 nm,3.19830E-07,5.56691E-07,1.09725E-04,3.19830E-07
751 nm,5.94599E-07,1.24353E-07,1.25619E-04,5.94599E-07
752 nm,4.92344E-07,5.08733E-07,7.74350E-05,4.92344E-07
753 nm,6.12976E-07,2.65159E-07,1.03033E-04,6.12976E-07
754 nm,5.68326E-07,3.12594E-07,8.29318E-05,5.68326E-07
755 nm,4.44157E-07,3.69407E-07,1.02413E-04,4.44157E-07
756 nm,8.07572E-07,4.67470E-07,7.48896E-05,8.07572E-07
757 nm,5.07898E-07,8.37239E-07,7.27899E-05,5.07898E-07
758 nm,5.80115E-07,2.36635E-07,7.63752E-05,5.80115E-07
759 nm,1.06937E-06,1.04584E-07,8.78588E-05,1.06937E-06
760 nm,4.10776E-07,1.25916E-07,7.89259E-05,4.10776E-07
761 nm,7.88507E-07,1.19701E-07,8.23491E-05,7.88507E-07
762 nm,8.20081E-07,5.66109E-08,7.61001E-05,8.20081E-07
763 nm,7.94624E-07,4.23665E-08,7.26066E-05,7.94624E-07
764 nm,6.61443E-07,2.46449E-07,6.99804E-05,6.61443E-07
765 nm,0.00000E+00,5.66320E-07,7.78264E-05,0.00000E+00
766 nm,3.53317E-07,5.29608E-07,4.99110E-05,3.53317E-07
767 nm,6.77904E-07,2.01640E-08,6.38700E-05,6.77904E-07
768 nm,4.59582E-07,3.87590E-07,5.92831E-05,4.59582E-07
769 nm,2.73081E-07,2.95660E-07,6.44432E-05,2.73081E-07
770 nm,2.66576E-07,3.45342E-07,4.24591E-05,2.66576E-07
771 nm,5.76589E-07,6.58955E-10,6.31679E-05,5.76589E-07
772 nm,7.33708E-07,6.76928E-08,4.77871E-05,7.33708E-07
773 nm,4.01721E-08,1.45432E-07,5.50797E-05,4.01721E-08
774 nm,4.06434E-07,0.00000E+00,5.64092E-05,4.06434E-07
775 nm,7.94336E-07,1.05698E-10,3.51393E-05,7.94336E-07
776 nm,3.21932E-07,3.97273E-07,5.04114E-05,3.21932E-07
777 nm,0.00000E+00,5.21185E-07,5.40536E-05,0.00000E+00
778 nm,0.00000E+00,2.81409E-08,4.68074E-05,0.00000E+00
779 nm,5.13619E-07,6.28725E-07,5.63935E-05,5.13619E-07
780 nm,4.47882E-07,2.23829E-07,5.53978E-05,4.47882E-07
