,,,,
,,,,
,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
431 nm,2.33865E-05,2.50540E-05,5.76145E-03,2.33865E-05
432 nm,2.52268E-05,2.77873E-05,6.30624E-03,2.52268E-05
433 nm,2.83460E-05,3.11837E-05,6.85748E-03,2.83460E-05
434 nm,3.10161E-05,3.32773E-05,7.43922E-03,3.10161E-05
435 nm,3.43291E-05,3.61401E-05,7.94417E-03,3.43291E-05
436 nm,3.70560E-05,3.98244E-05,8.63727E-03,3.70560E-05
437 nm,3.98369E-05,4.23939E-05,9.16402E-03,3.98369E-05
438 nm,4.26108E-05,4.60817E-05,9.66208E-03,4.26108E-05
439 nm,4.56728E-05,4.99242E-05,1.03789E-02,4.56728E-05
440 nm,4.94616E-05,5.32971E-05,1.08817E-02,4.94616E-05
441 nm,5.19260E-05,5.60926E-05,1.13184E-02,5.19260E-05
442 nm,5.45199E-05,5.77425E-05,1.18991E-02,5.45199E-05
443 nm,5.58681E-05,6.01569E-05,1.20506E-02,5.58681E-05
444 nm,5.82519E-05,6.12397E-05,1.22230E-02,5.82519E-05
445 nm,5.95379E-05,6.18546E-05,1.22803E-02,5.95379E-05
446 nm,5.95274E-05,6.19779E-05,1.21427E-02,5.95274E-05
447 nm,5.88449E-05,6.10671E-05,1.19146E-02,5.88449E-05
448 nm,5.77318E-05,5.99372E-05,1.14022E-02,5.77318E-05
449 nm,5.55809E-05,5.68917E-05,1.09619E-02,5.55809E-05
450 nm,5.23903E-05,5.42019E-05,1.02541E-02,5.23903E-05
451 nm,4.98737E-05,5.14957E-05,9.71480E-03,4.98737E-05
452 nm,4.60602E-05,4.75089E-05,8.84238E-03,4.60602E-05
453 nm,4.32778E-05,4.28333E-05,8.11378E-03,4.32778E-05
454 nm,3.99746E-05,4.04288E-05,7.43451E-03,3.99746E-05
455 nm,3.64788E-05,3.64178E-05,6.74915E-03,3.64788E-05
456 nm,3.40239E-05,3.37305E-05,6.24040E-03,3.40239E-05
457 nm,3.04225E-05,3.08675E-05,5.63800E-03,3.04225E-05
458 nm,2.87160E-05,2.76106E-05,5.13697E-03,2.87160E-05
459 nm,2.63049E-05,2.56526E-05,4.68293E-03,2.63049E-05
460 nm,2.42520E-05,2.32829E-05,4.26473E-03,2.42520E-05
461 nm,2.26531E-05,2.16451E-05,3.88634E-03,2.26531E-05
462 nm,2.08941E-05,2.04069E-05,3.61376E-03,2.08941E-05
463 nm,1.99460E-05,1.89216E-05,3.39530E-03,1.99460E-05
464 nm,1.85269E-05,1.74798E-05,3.07551E-03,1.85269E-05
465 nm,1.70891E-05,1.61180E-05,2.85312E-03,1.70891E-05
466 nm,1.61972E-05,1.52825E-05,2.63737E-03,1.61972E-05
467 nm,1.49786E-05,1.40176E-05,2.42907E-03,1.49786E-05
468 nm,1.46588E-05,1.28027E-05,2.23617E-03,1.46588E-05
469 nm,1.32908E-05,1.23443E-05,2.10962E-03,1.32908E-05
470 nm,1.21654E-05,1.14710E-05,1.93147E-03,1.21654E-05
471 nm,1.11723E-05,1.06173E-05,1.82615E-03,1.11723E-05
472 nm,1.08772E-05,1.00371E-05,1.64282E-03,1.08772E-05
473 nm,1.04391E-05,9.07697E-06,1.61036E-03,1.04391E-05
474 nm,9.59508E-06,9.24182E-06,1.52031E-03,9.59508E-06
475 nm,9.15275E-06,8.59523E-06,1.41049E-03,9.15275E-06
