Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
470 nm,1.89E-07,1.71E-05,1.59E-05,1.41E-05,1.22E-05,1.06E-05,9.18E-06,7.74E-06,5.93E-06,2.73E-06,4.53E-06,1.28E-06
471 nm,4.00E-08,1.60E-05,1.50E-05,1.35E-05,1.15E-05,1.04E-05,8.30E-06,7.10E-06,5.60E-06,2.46E-06,4.25E-06,1.18E-06
472 nm,6.31E-08,1.57E-05,1.37E-05,1.25E-05,1.11E-05,9.45E-06,8.37E-06,6.64E-06,5.51E-06,2.31E-06,3.72E-06,9.82E-07
473 nm,2.91E-08,1.42E-05,1.29E-05,1.16E-05,1.00E-05,8.72E-06,7.36E-06,6.04E-06,5.25E-06,2.32E-06,3.56E-06,7.17E-07
474 nm,8.91E-08,1.36E-05,1.19E-05,1.06E-05,1.00E-05,8.63E-06,7.20E-06,5.60E-06,4.56E-06,2.34E-06,3.61E-06,9.48E-07
475 nm,4.05E-08,1.30E-05,1.17E-05,1.06E-05,9.74E-06,8.20E-06,6.92E-06,5.87E-06,4.60E-06,2.21E-06,3.46E-06,8.19E-07
476 nm,0.00E+00,1.25E-05,1.12E-05,9.98E-06,8.79E-06,7.73E-06,6.61E-06,5.54E-06,4.34E-06,2.01E-06,2.90E-06,6.98E-07
477 nm,1.47E-10,1.21E-05,1.11E-05,9.95E-06,8.63E-06,7.12E-06,6.76E-06,5.37E-06,4.25E-06,1.82E-06,3.20E-06,7.82E-07
478 nm,5.93E-08,1.10E-05,1.03E-05,9.16E-06,8.21E-06,7.21E-06,5.64E-06,4.96E-06,3.86E-06,1.80E-06,2.61E-06,6.07E-07
479 nm,9.21E-08,1.13E-05,1.01E-05,8.85E-06,7.97E-06,7.36E-06,5.95E-06,5.08E-06,3.93E-06,1.81E-06,2.93E-06,8.32E-07
480 nm,3.52E-08,1.07E-05,9.94E-06,8.56E-06,7.50E-06,6.74E-06,5.84E-06,4.95E-06,3.36E-06,1.71E-06,2.70E-06,6.57E-07
481 nm,4.59E-09,1.06E-05,9.25E-06,8.35E-06,7.83E-06,6.24E-06,5.71E-06,4.54E-06,3.66E-06,1.72E-06,2.83E-06,7.98E-07
482 nm,1.45E-07,1.05E-05,9.39E-06,8.71E-06,7.28E-06,6.79E-06,5.81E-06,4.48E-06,3.73E-06,1.78E-06,2.94E-06,8.56E-07
483 nm,2.08E-07,1.06E-05,9.65E-06,8.72E-06,7.49E-06,6.48E-06,5.84E-06,4.51E-06,3.77E-06,1.83E-06,2.78E-06,7.81E-07
484 nm,3.18E-07,1.07E-05,9.21E-06,8.50E-06,7.72E-06,6.78E-06,5.81E-06,5.08E-06,3.95E-06,2.02E-06,3.09E-06,9.57E-07
485 nm,5.95E-07,1.06E-05,9.74E-06,8.84E-06,7.77E-06,6.92E-06,5.97E-06,4.89E-06,4.03E-06,2.19E-06,2.99E-06,1.21E-06
486 nm,6.80E-07,1.11E-05,9.82E-06,8.71E-06,7.93E-06,6.98E-06,5.49E-06,5.21E-06,4.28E-06,2.11E-06,3.51E-06,1.23E-06
487 nm,7.60E-07,1.13E-05,1.00E-05,9.22E-06,8.66E-06,7.51E-06,6.51E-06,5.61E-06,4.26E-06,2.31E-06,3.13E-06,1.62E-06
488 nm,7.79E-07,1.13E-05,1.04E-05,9.36E-06,8.18E-06,7.41E-06,5.96E-06,4.93E-06,4.20E-06,2.40E-06,3.31E-06,1.40E-06
489 nm,8.38E-07,1.14E-05,1.03E-05,9.40E-06,8.42E-06,7.34E-06,6.49E-06,5.44E-06,4.39E-06,2.43E-06,3.24E-06,1.35E-06
490 nm,5.17E-07,1.18E-05,1.09E-05,9.25E-06,8.84E-06,7.75E-06,6.32E-06,6.03E-06,4.52E-06,2.55E-06,3.36E-06,1.38E-06
491 nm,5.27E-07,1.17E-05,1.07E-05,9.46E-06,8.73E-06,7.77E-06,6.77E-06,5.40E-06,4.66E-06,2.41E-06,3.57E-06,1.52E-06
492 nm,5.22E-07,1.24E-05,1.17E-05,1.01E-05,9.42E-06,8.11E-06,6.80E-06,5.56E-06,4.86E-06,2.32E-06,3.39E-06,1.16E-06
493 nm,4.34E-07,1.29E-05,1.13E-05,1.09E-05,9.11E-06,8.38E-06,7.00E-06,5.87E-06,4.71E-06,2.35E-06,3.51E-06,1.38E-06
494 nm,4.40E-07,1.35E-05,1.23E-05,1.09E-05,9.67E-06,8.29E-06,7.03E-06,5.86E-06,4.79E-06,2.40E-06,3.73E-06,1.32E-06
495 nm,3.69E-07,1.42E-05,1.27E-05,1.12E-05,1.04E-05,8.66E-06,7.64E-06,6.30E-06,5.14E-06,2.28E-06,3.78E-06,1.31E-06
496 nm,3.20E-07,1.47E-05,1.30E-05,1.19E-05,1.04E-05,9.11E-06,8.16E-06,6.65E-06,4.88E-06,2.69E-06,3.59E-06,1.17E-06
497 nm,2.82E-07,1.52E-05,1.38E-05,1.24E-05,1.10E-05,9.71E-06,8.14E-06,6.84E-06,5.33E-06,2.39E-06,3.92E-06,1.14E-06
498 nm,1.57E-07,1.61E-05,1.44E-05,1.30E-05,1.16E-05,9.95E-06,8.35E-06,6.86E-06,5.58E-06,2.49E-06,4.03E-06,1.31E-06
499 nm,1.04E-07,1.71E-05,1.48E-05,1.38E-05,1.19E-05,1.05E-05,8.56E-06,7.16E-06,5.92E-06,2.37E-06,4.50E-06,1.10E-06
500 nm,1.26E-07,1.84E-05,1.56E-05,1.44E-05,1.27E-05,1.10E-05,9.38E-06,7.70E-06,5.97E-06,2.93E-06,4.24E-06,1.02E-06
501 nm,6.15E-08,1.85E-05,1.73E-05,1.46E-05,1.33E-05,1.10E-05,9.96E-06,8.17E-06,5.97E-06,2.79E-06,4.47E-06,1.23E-06
502 nm,0.00E+00,1.98E-05,1.77E-05,1.61E-05,1.36E-05,1.27E-05,1.03E-05,8.20E-06,6.65E-06,2.83E-06,4.84E-06,9.97E-07
503 nm,0.00E+00,2.09E-05,1.85E-05,1.68E-05,1.50E-05,1.25E-05,1.06E-05,8.81E-06,6.89E-06,3.01E-06,4.93E-06,1.15E-06
504 nm,7.14E-08,2.14E-05,1.95E-05,1.74E-05,1.60E-05,1.34E-05,1.10E-05,9.07E-06,7.40E-06,3.12E-06,5.14E-06,9.79E-07
505 nm,2.62E-08,2.31E-05,2.03E-05,1.82E-05,1.62E-05,1.39E-05,1.17E-05,9.38E-06,7.76E-06,3.29E-06,5.40E-06,1.05E-06
506 nm,0.00E+00,2.36E-05,2.16E-05,1.91E-05,1.68E-05,1.46E-05,1.25E-05,1.02E-05,8.41E-06,3.63E-06,5.65E-06,1.14E-06
507 nm,0.00E+00,2.48E-05,2.18E-05,1.99E-05,1.74E-05,1.50E-05,1.29E-05,1.06E-05,8.09E-06,3.63E-06,6.11E-06,1.17E-06
508 nm,1.60E-09,2.60E-05,2.33E-05,2.12E-05,1.80E-05,1.58E-05,1.34E-05,1.08E-05,8.68E-06,3.95E-06,6.14E-06,1.24E-06
509 nm,0.00E+00,2.70E-05,2.41E-05,2.13E-05,1.92E-05,1.65E-05,1.38E-05,1.13E-05,9.03E-06,3.92E-06,6.36E-06,1.30E-06
510 nm,4.14E-08,2.79E-05,2.54E-05,2.30E-05,1.97E-05,1.68E-05,1.39E-05,1.21E-05,9.55E-06,4.11E-06,6.59E-06,1.53E-06
511 nm,0.00E+00,2.85E-05,2.61E-05,2.31E-05,2.04E-05,1.77E-05,1.51E-05,1.20E-05,9.69E-06,4.20E-06,6.54E-06,1.41E-06
512 nm,1.44E-09,3.02E-05,2.65E-05,2.38E-05,2.10E-05,1.86E-05,1.57E-05,1.28E-05,9.93E-06,4.29E-06,7.24E-06,1.49E-06
513 nm,0.00E+00,3.10E-05,2.81E-05,2.48E-05,2.21E-05,1.90E-05,1.63E-05,1.31E-05,1.03E-05,4.55E-06,7.44E-06,1.55E-06
514 nm,0.00E+00,3.18E-05,2.82E-05,2.54E-05,2.22E-05,1.94E-05,1.66E-05,1.35E-05,1.05E-05,4.61E-06,7.46E-06,1.40E-06
515 nm,7.37E-10,3.24E-05,2.94E-05,2.61E-05,2.31E-05,1.98E-05,1.69E-05,1.38E-05,1.09E-05,4.62E-06,7.75E-06,1.38E-06
516 nm,1.91E-09,3.32E-05,2.94E-05,2.66E-05,2.37E-05,2.03E-05,1.70E-05,1.44E-05,1.12E-05,4.97E-06,7.73E-06,1.28E-06
517 nm,2.36E-08,3.40E-05,3.03E-05,2.76E-05,2.43E-05,2.10E-05,1.77E-05,1.41E-05,1.11E-05,4.79E-06,8.11E-06,1.69E-06
518 nm,4.65E-09,3.51E-05,3.14E-05,2.79E-05,2.46E-05,2.16E-05,1.82E-05,1.50E-05,1.15E-05,5.03E-06,8.31E-06,1.53E-06
519 nm,5.39E-09,3.54E-05,3.20E-05,2.86E-05,2.48E-05,2.16E-05,1.85E-05,1.52E-05,1.17E-05,5.16E-06,8.17E-06,1.83E-06
520 nm,0.00E+00,3.58E-05,3.17E-05,2.85E-05,2.54E-05,2.24E-05,1.86E-05,1.58E-05,1.20E-05,5.20E-06,8.47E-06,1.62E-06
521 nm,0.00E+00,3.71E-05,3.29E-05,2.92E-05,2.59E-05,2.24E-05,1.90E-05,1.53E-05,1.24E-05,5.19E-06,8.69E-06,1.76E-06
522 nm,8.59E-11,3.80E-05,3.36E-05,2.99E-05,2.65E-05,2.30E-05,1.95E-05,1.58E-05,1.24E-05,5.34E-06,8.99E-06,1.68E-06
523 nm,3.40E-11,3.81E-05,3.37E-05,3.09E-05,2.67E-05,2.37E-05,1.97E-05,1.60E-05,1.25E-05,5.52E-06,8.80E-06,1.71E-06
524 nm,4.54E-11,3.82E-05,3.37E-05,3.04E-05,2.73E-05,2.32E-05,1.99E-05,1.61E-05,1.27E-05,5.15E-06,8.97E-06,1.76E-06
525 nm,4.38E-11,3.94E-05,3.49E-05,3.14E-05,2.75E-05,2.39E-05,2.02E-05,1.65E-05,1.28E-05,5.58E-06,9.13E-06,1.93E-06
526 nm,4.37E-11,3.94E-05,3.47E-05,3.10E-05,2.76E-05,2.38E-05,2.01E-05,1.67E-05,1.31E-05,5.49E-06,9.31E-06,1.85E-06
527 nm,4.36E-11,3.90E-05,3.52E-05,3.16E-05,2.78E-05,2.39E-05,2.01E-05,1.69E-05,1.31E-05,5.60E-06,9.14E-06,1.93E-06
528 nm,4.41E-11,3.98E-05,3.57E-05,3.19E-05,2.79E-05,2.44E-05,2.07E-05,1.70E-05,1.32E-05,5.70E-06,9.33E-06,1.94E-06
529 nm,4.22E-11,4.05E-05,3.63E-05,3.20E-05,2.80E-05,2.46E-05,2.10E-05,1.69E-05,1.33E-05,5.78E-06,9.17E-06,1.89E-06
530 nm,4.26E-11,4.02E-05,3.64E-05,3.20E-05,2.85E-05,2.48E-05,2.11E-05,1.74E-05,1.34E-05,5.70E-06,9.48E-06,1.76E-06
531 nm,8.47E-11,4.09E-05,3.64E-05,3.28E-05,2.82E-05,2.49E-05,2.10E-05,1.70E-05,1.34E-05,5.76E-06,9.39E-06,2.00E-06
532 nm,0.00E+00,4.10E-05,3.65E-05,3.25E-05,2.88E-05,2.48E-05,2.13E-05,1.73E-05,1.35E-05,5.68E-06,9.55E-06,1.90E-06
533 nm,1.26E-09,4.05E-05,3.67E-05,3.24E-05,2.87E-05,2.52E-05,2.13E-05,1.73E-05,1.35E-05,5.88E-06,9.75E-06,2.01E-06
534 nm,0.00E+00,4.10E-05,3.69E-05,3.28E-05,2.84E-05,2.51E-05,2.11E-05,1.72E-05,1.36E-05,6.12E-06,9.71E-06,2.10E-06
535 nm,4.42E-08,4.15E-05,3.67E-05,3.33E-05,2.93E-05,2.50E-05,2.14E-05,1.73E-05,1.35E-05,5.97E-06,9.79E-06,1.86E-06
536 nm,4.37E-08,4.07E-05,3.72E-05,3.34E-05,2.96E-05,2.53E-05,2.15E-05,1.77E-05,1.39E-05,6.26E-06,1.00E-05,2.08E-06
537 nm,2.54E-07,4.19E-05,3.69E-05,3.33E-05,2.97E-05,2.55E-05,2.21E-05,1.78E-05,1.42E-05,6.27E-06,1.03E-05,2.34E-06
538 nm,5.26E-07,4.23E-05,3.70E-05,3.37E-05,2.96E-05,2.57E-05,2.18E-05,1.81E-05,1.43E-05,6.77E-06,1.04E-05,2.82E-06
539 nm,1.06E-06,4.26E-05,3.83E-05,3.39E-05,3.01E-05,2.66E-05,2.25E-05,1.90E-05,1.47E-05,6.92E-06,1.11E-05,3.10E-06
540 nm,2.09E-06,4.32E-05,3.93E-05,3.53E-05,3.08E-05,2.74E-05,2.37E-05,1.93E-05,1.58E-05,8.00E-06,1.18E-05,4.25E-06
541 nm,2.76E-06,4.46E-05,4.00E-05,3.64E-05,3.20E-05,2.81E-05,2.44E-05,2.08E-05,1.68E-05,8.74E-06,1.28E-05,4.84E-06
542 nm,3.71E-06,4.41E-05,4.08E-05,3.74E-05,3.24E-05,2.92E-05,2.52E-05,2.15E-05,1.75E-05,9.68E-06,1.36E-05,5.88E-06
543 nm,4.48E-06,4.53E-05,4.11E-05,3.76E-05,3.34E-05,2.96E-05,2.60E-05,2.21E-05,1.78E-05,1.05E-05,1.40E-05,6.33E-06
544 nm,4.83E-06,4.51E-05,4.16E-05,3.73E-05,3.39E-05,3.02E-05,2.62E-05,2.23E-05,1.84E-05,1.05E-05,1.44E-05,6.90E-06
545 nm,4.64E-06,4.55E-05,4.15E-05,3.74E-05,3.32E-05,2.93E-05,2.57E-05,2.24E-05,1.84E-05,1.03E-05,1.44E-05,6.68E-06
546 nm,4.19E-06,4.51E-05,4.05E-05,3.75E-05,3.29E-05,2.96E-05,2.52E-05,2.15E-05,1.80E-05,1.01E-05,1.40E-05,6.07E-06
547 nm,3.42E-06,4.40E-05,4.05E-05,3.64E-05,3.25E-05,2.86E-05,2.48E-05,2.10E-05,1.71E-05,9.18E-06,1.33E-05,5.33E-06
548 nm,2.94E-06,4.34E-05,3.91E-05,3.56E-05,3.13E-05,2.79E-05,2.40E-05,1.98E-05,1.65E-05,8.59E-06,1.25E-05,4.64E-06
549 nm,2.16E-06,4.32E-05,3.88E-05,3.49E-05,3.17E-05,2.73E-05,2.37E-05,1.93E-05,1.58E-05,8.04E-06,1.19E-05,4.23E-06
550 nm,1.68E-06,4.22E-05,3.81E-05,3.41E-05,3.04E-05,2.70E-05,2.27E-05,1.93E-05,1.51E-05,7.78E-06,1.14E-05,3.68E-06
551 nm,1.36E-06,4.25E-05,3.81E-05,3.43E-05,3.01E-05,2.64E-05,2.22E-05,1.85E-05,1.52E-05,7.10E-06,1.09E-05,3.35E-06
552 nm,9.45E-07,4.22E-05,3.72E-05,3.36E-05,2.96E-05,2.57E-05,2.19E-05,1.81E-05,1.46E-05,6.83E-06,1.04E-05,3.12E-06
553 nm,7.51E-07,4.15E-05,3.71E-05,3.30E-05,2.96E-05,2.53E-05,2.17E-05,1.83E-05,1.42E-05,6.47E-06,1.03E-05,2.83E-06
554 nm,4.44E-07,4.15E-05,3.67E-05,3.29E-05,2.94E-05,2.54E-05,2.16E-05,1.76E-05,1.41E-05,6.45E-06,1.03E-05,2.50E-06
555 nm,3.98E-07,4.07E-05,3.68E-05,3.23E-05,2.88E-05,2.51E-05,2.14E-05,1.74E-05,1.36E-05,6.36E-06,9.91E-06,2.30E-06
556 nm,3.05E-07,4.05E-05,3.64E-05,3.24E-05,2.87E-05,2.49E-05,2.10E-05,1.71E-05,1.36E-05,6.09E-06,9.71E-06,2.35E-06
557 nm,4.62E-08,4.03E-05,3.63E-05,3.23E-05,2.84E-05,2.50E-05,2.09E-05,1.73E-05,1.36E-05,5.88E-06,9.53E-06,2.07E-06
558 nm,4.19E-08,4.02E-05,3.64E-05,3.25E-05,2.80E-05,2.46E-05,2.11E-05,1.72E-05,1.35E-05,5.94E-06,9.63E-06,2.10E-06
559 nm,5.92E-08,4.04E-05,3.53E-05,3.19E-05,2.83E-05,2.45E-05,2.07E-05,1.70E-05,1.35E-05,5.94E-06,9.43E-06,1.93E-06
560 nm,1.65E-09,4.00E-05,3.60E-05,3.20E-05,2.84E-05,2.44E-05,2.07E-05,1.68E-05,1.34E-05,5.79E-06,9.63E-06,2.02E-06
561 nm,1.54E-09,3.97E-05,3.56E-05,3.21E-05,2.80E-05,2.42E-05,2.05E-05,1.67E-05,1.35E-05,5.82E-06,9.23E-06,2.03E-06
562 nm,0.00E+00,3.97E-05,3.54E-05,3.21E-05,2.82E-05,2.46E-05,2.03E-05,1.68E-05,1.31E-05,5.83E-06,9.24E-06,2.15E-06
563 nm,4.15E-08,3.95E-05,3.59E-05,3.19E-05,2.79E-05,2.41E-05,2.06E-05,1.67E-05,1.33E-05,5.79E-06,9.54E-06,1.90E-06
564 nm,0.00E+00,3.99E-05,3.51E-05,3.17E-05,2.75E-05,2.42E-05,2.04E-05,1.72E-05,1.30E-05,5.76E-06,9.40E-06,2.08E-06
565 nm,8.83E-08,3.90E-05,3.47E-05,3.11E-05,2.74E-05,2.42E-05,2.02E-05,1.68E-05,1.31E-05,5.64E-06,9.33E-06,2.00E-06
566 nm,3.98E-08,3.96E-05,3.49E-05,3.13E-05,2.78E-05,2.42E-05,2.03E-05,1.65E-05,1.30E-05,5.55E-06,9.02E-06,2.07E-06
567 nm,0.00E+00,3.84E-05,3.46E-05,3.18E-05,2.72E-05,2.36E-05,2.03E-05,1.65E-05,1.27E-05,5.70E-06,9.16E-06,1.90E-06
568 nm,1.06E-08,3.89E-05,3.47E-05,3.13E-05,2.78E-05,2.41E-05,2.01E-05,1.66E-05,1.27E-05,5.54E-06,9.30E-06,1.97E-06
569 nm,5.27E-08,3.89E-05,3.45E-05,3.09E-05,2.76E-05,2.36E-05,2.01E-05,1.63E-05,1.29E-05,5.52E-06,9.17E-06,1.90E-06
570 nm,0.00E+00,3.83E-05,3.47E-05,3.05E-05,2.73E-05,2.35E-05,2.01E-05,1.61E-05,1.29E-05,5.70E-06,9.24E-06,1.87E-06
571 nm,3.18E-09,3.82E-05,3.41E-05,3.08E-05,2.71E-05,2.33E-05,1.96E-05,1.64E-05,1.27E-05,5.58E-06,9.23E-06,1.95E-06
572 nm,2.30E-09,3.84E-05,3.46E-05,3.03E-05,2.70E-05,2.31E-05,2.01E-05,1.64E-05,1.24E-05,5.54E-06,8.77E-06,1.98E-06
573 nm,5.28E-08,3.76E-05,3.43E-05,3.05E-05,2.70E-05,2.34E-05,1.98E-05,1.62E-05,1.25E-05,5.44E-06,9.38E-06,2.01E-06
574 nm,6.79E-08,3.77E-05,3.42E-05,3.04E-05,2.68E-05,2.32E-05,1.94E-05,1.59E-05,1.29E-05,5.60E-06,9.07E-06,1.91E-06
575 nm,1.94E-07,3.81E-05,3.38E-05,3.05E-05,2.64E-05,2.32E-05,1.95E-05,1.62E-05,1.28E-05,5.73E-06,9.00E-06,1.92E-06
576 nm,2.73E-07,3.75E-05,3.35E-05,3.00E-05,2.70E-05,2.31E-05,1.96E-05,1.64E-05,1.32E-05,5.73E-06,9.10E-06,2.33E-06
577 nm,3.09E-07,3.75E-05,3.34E-05,3.05E-05,2.62E-05,2.30E-05,1.94E-05,1.62E-05,1.27E-05,5.65E-06,9.22E-06,2.19E-06
578 nm,4.23E-07,3.72E-05,3.31E-05,2.99E-05,2.63E-05,2.31E-05,1.97E-05,1.60E-05,1.28E-05,5.88E-06,9.24E-06,2.27E-06
579 nm,5.51E-07,3.72E-05,3.30E-05,3.03E-05,2.63E-05,2.26E-05,1.99E-05,1.61E-05,1.31E-05,5.89E-06,9.47E-06,2.34E-06
580 nm,6.59E-07,3.77E-05,3.34E-05,3.03E-05,2.62E-05,2.32E-05,1.98E-05,1.63E-05,1.25E-05,5.98E-06,9.44E-06,2.61E-06
581 nm,6.60E-07,3.65E-05,3.34E-05,2.98E-05,2.65E-05,2.29E-05,1.96E-05,1.61E-05,1.32E-05,6.03E-06,9.60E-06,2.60E-06
582 nm,9.01E-07,3.72E-05,3.33E-05,2.94E-05,2.63E-05,2.30E-05,1.95E-05,1.62E-05,1.29E-05,6.08E-06,9.40E-06,2.74E-06
583 nm,9.54E-07,3.69E-05,3.26E-05,2.97E-05,2.66E-05,2.28E-05,1.93E-05,1.60E-05,1.31E-05,6.09E-06,9.57E-06,2.73E-06
584 nm,1.03E-06,3.66E-05,3.27E-05,2.91E-05,2.59E-05,2.24E-05,1.95E-05,1.59E-05,1.28E-05,6.13E-06,9.51E-06,2.98E-06
585 nm,1.16E-06,3.66E-05,3.27E-05,2.91E-05,2.62E-05,2.28E-05,1.99E-05,1.63E-05,1.30E-05,6.27E-06,9.33E-06,2.75E-06
586 nm,1.06E-06,3.58E-05,3.25E-05,2.91E-05,2.56E-05,2.24E-05,1.91E-05,1.62E-05,1.29E-05,6.17E-06,9.60E-06,2.95E-06
587 nm,1.11E-06,3.60E-05,3.22E-05,2.85E-05,2.53E-05,2.22E-05,1.91E-05,1.60E-05,1.28E-05,6.07E-06,9.31E-06,3.00E-06
588 nm,1.11E-06,3.49E-05,3.12E-05,2.82E-05,2.52E-05,2.22E-05,1.92E-05,1.57E-05,1.26E-05,5.93E-06,9.28E-06,2.75E-06
589 nm,1.02E-06,3.53E-05,3.11E-05,2.83E-05,2.50E-05,2.20E-05,1.84E-05,1.52E-05,1.21E-05,5.95E-06,9.04E-06,2.59E-06
590 nm,9.20E-07,3.42E-05,3.10E-05,2.77E-05,2.45E-05,2.10E-05,1.81E-05,1.51E-05,1.22E-05,5.74E-06,8.67E-06,2.59E-06
591 nm,7.84E-07,3.40E-05,3.04E-05,2.72E-05,2.41E-05,2.12E-05,1.82E-05,1.50E-05,1.17E-05,5.66E-06,8.92E-06,2.45E-06
592 nm,7.47E-07,3.35E-05,3.00E-05,2.69E-05,2.41E-05,2.10E-05,1.77E-05,1.46E-05,1.16E-05,5.52E-06,8.53E-06,2.44E-06
593 nm,6.06E-07,3.32E-05,2.98E-05,2.68E-05,2.40E-05,2.09E-05,1.74E-05,1.43E-05,1.16E-05,5.53E-06,8.45E-06,2.27E-06
594 nm,4.06E-07,3.30E-05,2.95E-05,2.62E-05,2.31E-05,2.04E-05,1.76E-05,1.43E-05,1.13E-05,5.37E-06,8.28E-06,2.17E-06
595 nm,4.16E-07,3.21E-05,2.91E-05,2.60E-05,2.30E-05,2.00E-05,1.67E-05,1.40E-05,1.12E-05,5.20E-06,8.04E-06,1.90E-06
596 nm,4.01E-07,3.23E-05,2.83E-05,2.56E-05,2.27E-05,1.94E-05,1.69E-05,1.38E-05,1.09E-05,4.60E-06,7.89E-06,2.03E-06
597 nm,2.72E-07,3.13E-05,2.82E-05,2.52E-05,2.21E-05,1.95E-05,1.64E-05,1.35E-05,1.08E-05,4.99E-06,7.73E-06,1.90E-06
598 nm,2.04E-07,3.08E-05,2.81E-05,2.50E-05,2.19E-05,1.94E-05,1.62E-05,1.36E-05,1.06E-05,4.99E-06,7.84E-06,1.96E-06
599 nm,2.63E-07,3.04E-05,2.75E-05,2.48E-05,2.22E-05,1.88E-05,1.64E-05,1.33E-05,1.05E-05,4.87E-06,7.63E-06,1.76E-06
600 nm,4.10E-07,3.03E-05,2.72E-05,2.42E-05,2.13E-05,1.86E-05,1.56E-05,1.31E-05,1.03E-05,4.52E-06,7.67E-06,1.98E-06
601 nm,1.13E-07,3.01E-05,2.66E-05,2.39E-05,2.15E-05,1.83E-05,1.57E-05,1.27E-05,9.95E-06,4.47E-06,7.44E-06,1.67E-06
602 nm,1.24E-07,2.94E-05,2.68E-05,2.36E-05,2.13E-05,1.79E-05,1.58E-05,1.25E-05,9.76E-06,4.42E-06,7.02E-06,1.66E-06
603 nm,2.56E-07,2.90E-05,2.61E-05,2.37E-05,2.06E-05,1.78E-05,1.53E-05,1.30E-05,9.55E-06,4.33E-06,7.13E-06,1.70E-06
604 nm,9.31E-08,2.87E-05,2.64E-05,2.30E-05,2.07E-05,1.78E-05,1.49E-05,1.23E-05,9.64E-06,4.05E-06,6.95E-06,1.40E-06
605 nm,1.91E-07,2.79E-05,2.52E-05,2.29E-05,1.97E-05,1.75E-05,1.46E-05,1.21E-05,9.31E-06,4.47E-06,7.26E-06,1.65E-06
606 nm,1.44E-07,2.82E-05,2.52E-05,2.24E-05,1.97E-05,1.75E-05,1.45E-05,1.22E-05,9.30E-06,4.27E-06,7.10E-06,1.81E-06
607 nm,5.14E-07,2.79E-05,2.49E-05,2.19E-05,1.99E-05,1.70E-05,1.46E-05,1.21E-05,9.58E-06,4.47E-06,7.08E-06,1.97E-06
608 nm,1.37E-06,2.79E-05,2.62E-05,2.32E-05,2.04E-05,1.82E-05,1.54E-05,1.27E-05,1.01E-05,5.32E-06,7.82E-06,2.91E-06
609 nm,3.02E-06,3.01E-05,2.61E-05,2.40E-05,2.14E-05,1.94E-05,1.68E-05,1.44E-05,1.21E-05,6.95E-06,9.38E-06,4.31E-06
610 nm,4.37E-06,3.04E-05,2.80E-05,2.53E-05,2.28E-05,2.03E-05,1.78E-05,1.56E-05,1.28E-05,8.20E-06,1.06E-05,5.76E-06
611 nm,5.03E-06,3.03E-05,2.72E-05,2.54E-05,2.33E-05,2.06E-05,1.82E-05,1.60E-05,1.37E-05,8.62E-06,1.11E-05,6.33E-06
612 nm,4.71E-06,2.96E-05,2.72E-05,2.45E-05,2.23E-05,2.01E-05,1.76E-05,1.54E-05,1.31E-05,8.24E-06,1.08E-05,5.98E-06
613 nm,4.00E-06,2.93E-05,2.59E-05,2.38E-05,2.13E-05,1.94E-05,1.69E-05,1.47E-05,1.25E-05,7.53E-06,9.99E-06,5.26E-06
614 nm,3.23E-06,2.69E-05,2.47E-05,2.24E-05,2.03E-05,1.77E-05,1.60E-05,1.35E-05,1.10E-05,6.40E-06,8.91E-06,4.39E-06
615 nm,2.45E-06,2.64E-05,2.31E-05,2.14E-05,1.93E-05,1.70E-05,1.49E-05,1.27E-05,1.00E-05,5.78E-06,8.03E-06,3.60E-06
616 nm,1.76E-06,2.45E-05,2.24E-05,2.05E-05,1.80E-05,1.61E-05,1.37E-05,1.16E-05,9.54E-06,4.87E-06,7.20E-06,2.74E-06
617 nm,1.44E-06,2.46E-05,2.12E-05,1.97E-05,1.75E-05,1.55E-05,1.32E-05,1.10E-05,8.95E-06,4.43E-06,6.73E-06,2.50E-06
618 nm,9.50E-07,2.36E-05,2.13E-05,1.93E-05,1.69E-05,1.48E-05,1.26E-05,1.05E-05,8.39E-06,4.20E-06,6.32E-06,2.11E-06
619 nm,9.86E-07,2.29E-05,2.05E-05,1.84E-05,1.63E-05,1.44E-05,1.23E-05,1.06E-05,8.53E-06,4.13E-06,6.01E-06,1.95E-06
620 nm,8.67E-07,2.25E-05,2.01E-05,1.80E-05,1.60E-05,1.42E-05,1.19E-05,1.03E-05,8.08E-06,3.99E-06,6.17E-06,2.25E-06
621 nm,8.24E-07,2.23E-05,1.97E-05,1.77E-05,1.60E-05,1.39E-05,1.19E-05,9.74E-06,7.74E-06,3.80E-06,6.14E-06,2.16E-06
622 nm,7.59E-07,2.15E-05,1.85E-05,1.73E-05,1.54E-05,1.40E-05,1.16E-05,9.69E-06,7.64E-06,3.84E-06,5.60E-06,1.70E-06
623 nm,8.16E-07,2.07E-05,1.91E-05,1.71E-05,1.50E-05,1.33E-05,1.12E-05,9.38E-06,7.60E-06,3.62E-06,5.88E-06,1.70E-06
624 nm,6.75E-07,2.05E-05,1.84E-05,1.65E-05,1.46E-05,1.30E-05,1.11E-05,9.39E-06,7.36E-06,3.76E-06,5.59E-06,1.74E-06
625 nm,5.61E-07,2.00E-05,1.79E-05,1.59E-05,1.50E-05,1.22E-05,1.07E-05,8.92E-06,6.88E-06,3.56E-06,5.28E-06,1.68E-06
