Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
353 nm,1.63E-06,7.93E-06,0.00E+00,1.93E-06,4.93E-06,5.27E-06,3.13E-06,1.62E-06,1.12E-06,0.00E+00,0.00E+00,1.00E-08
354 nm,0.00E+00,2.56E-06,8.50E-07,7.74E-06,2.38E-06,1.47E-06,2.22E-06,3.07E-06,2.25E-06,4.62E-07,5.17E-07,0.00E+00
355 nm,4.09E-08,3.50E-06,0.00E+00,3.55E-06,1.43E-06,4.34E-07,7.57E-07,2.76E-06,1.81E-06,6.38E-07,3.28E-07,2.84E-07
356 nm,0.00E+00,2.86E-06,4.17E-06,3.17E-06,4.08E-06,1.44E-06,1.80E-06,1.67E-06,8.20E-07,2.15E-07,3.38E-07,1.11E-07
357 nm,4.79E-10,5.41E-06,4.59E-06,1.02E-06,2.32E-06,1.65E-06,3.08E-06,3.05E-06,2.27E-06,0.00E+00,1.78E-06,0.00E+00
358 nm,4.09E-10,6.76E-06,2.75E-06,7.11E-06,3.99E-06,3.30E-06,1.67E-06,2.26E-06,2.18E-06,1.15E-06,1.74E-06,9.87E-07
359 nm,2.12E-10,9.03E-06,6.59E-06,5.30E-06,4.71E-06,4.83E-06,2.79E-06,4.17E-06,2.77E-06,2.05E-06,2.52E-06,3.12E-07
360 nm,2.52E-10,1.26E-05,1.09E-05,1.05E-05,6.64E-06,5.17E-06,5.17E-06,3.32E-06,4.51E-06,2.06E-06,2.45E-06,3.41E-07
361 nm,2.33E-10,1.92E-05,1.28E-05,1.24E-05,1.26E-05,9.02E-06,9.70E-06,6.65E-06,5.06E-06,1.54E-06,3.86E-06,1.25E-06
362 nm,2.01E-10,2.45E-05,2.31E-05,2.06E-05,1.50E-05,1.28E-05,1.15E-05,1.07E-05,7.87E-06,3.40E-06,5.07E-06,1.42E-06
363 nm,1.87E-10,3.82E-05,3.06E-05,2.72E-05,2.51E-05,2.14E-05,1.73E-05,1.40E-05,1.14E-05,6.13E-06,9.15E-06,2.03E-06
364 nm,6.03E-10,5.37E-05,4.38E-05,3.67E-05,3.31E-05,2.85E-05,2.38E-05,2.01E-05,1.63E-05,8.17E-06,1.14E-05,2.93E-06
365 nm,0.00E+00,6.93E-05,5.50E-05,4.90E-05,4.40E-05,3.74E-05,3.19E-05,2.61E-05,2.21E-05,9.80E-06,1.57E-05,3.80E-06
366 nm,1.22E-08,9.01E-05,7.25E-05,6.55E-05,5.71E-05,4.93E-05,4.23E-05,3.39E-05,2.75E-05,1.27E-05,2.03E-05,5.53E-06
367 nm,0.00E+00,1.10E-04,9.02E-05,7.91E-05,6.72E-05,6.02E-05,5.15E-05,4.17E-05,3.39E-05,1.53E-05,2.43E-05,6.22E-06
368 nm,3.00E-07,1.31E-04,1.09E-04,9.67E-05,8.45E-05,7.37E-05,6.36E-05,5.12E-05,4.04E-05,1.85E-05,2.92E-05,7.67E-06
369 nm,0.00E+00,1.54E-04,1.25E-04,1.11E-04,9.93E-05,8.50E-05,7.30E-05,6.05E-05,4.88E-05,2.13E-05,3.47E-05,8.15E-06
370 nm,9.70E-09,1.60E-04,1.31E-04,1.16E-04,1.03E-04,8.94E-05,7.54E-05,6.16E-05,4.97E-05,2.22E-05,3.58E-05,8.40E-06
371 nm,0.00E+00,1.67E-04,1.38E-04,1.23E-04,1.08E-04,9.58E-05,8.08E-05,6.64E-05,5.15E-05,2.34E-05,3.76E-05,8.74E-06
372 nm,6.12E-10,1.64E-04,1.37E-04,1.22E-04,1.08E-04,9.30E-05,7.88E-05,6.50E-05,5.09E-05,2.30E-05,3.70E-05,8.23E-06
373 nm,7.47E-11,1.55E-04,1.31E-04,1.17E-04,1.01E-04,8.75E-05,7.51E-05,6.26E-05,4.91E-05,2.20E-05,3.45E-05,6.78E-06
374 nm,1.24E-10,1.33E-04,1.15E-04,1.00E-04,8.99E-05,7.84E-05,6.56E-05,5.34E-05,4.19E-05,1.85E-05,3.08E-05,6.58E-06
375 nm,1.29E-10,1.20E-04,1.02E-04,9.06E-05,8.19E-05,7.07E-05,6.01E-05,4.98E-05,3.83E-05,1.69E-05,2.73E-05,5.48E-06
376 nm,1.22E-10,1.02E-04,8.66E-05,7.68E-05,6.86E-05,5.93E-05,4.99E-05,4.15E-05,3.18E-05,1.43E-05,2.34E-05,5.19E-06
377 nm,1.19E-10,8.53E-05,7.25E-05,6.39E-05,5.71E-05,4.81E-05,4.12E-05,3.39E-05,2.73E-05,1.15E-05,1.90E-05,4.44E-06
