,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:31am,11:32am,11:32am,11:32am,11:32am,11:33am,11:33am,11:33am,11:33am,11:33am
T_int [ms],6817,3891,2676,2116,1689,1481,1280,1000,1000,920
387 nm,7.67569E-07,1.12023E-06,2.47948E-06,2.28042E-06,2.33789E-06,3.63730E-06,3.89308E-06,4.22786E-06,4.40929E-06,6.54288E-06
388 nm,5.60888E-07,1.38357E-06,1.40257E-06,2.62880E-06,3.58897E-06,3.89796E-06,3.92045E-06,5.81475E-06,6.03174E-06,4.24878E-06
389 nm,5.00234E-07,1.43681E-06,1.22322E-06,3.43880E-06,1.63967E-06,3.83746E-06,3.14606E-06,5.49222E-06,5.47490E-06,4.93977E-06
390 nm,5.32650E-07,6.29482E-07,1.85178E-06,1.82984E-06,3.26426E-06,2.12581E-06,9.44921E-07,2.87143E-06,4.52237E-06,5.25719E-06
391 nm,3.93091E-07,1.03875E-06,8.04625E-07,1.88737E-06,2.25889E-06,2.28619E-06,3.47455E-06,1.96703E-06,3.96834E-06,2.06430E-06
392 nm,1.44664E-06,1.20100E-06,1.09771E-06,1.49807E-06,1.56639E-06,2.16266E-06,2.12439E-06,3.61377E-06,2.25154E-06,2.29268E-06
393 nm,4.22679E-07,3.08380E-07,3.52400E-07,1.60737E-06,9.67040E-07,4.92251E-07,7.98727E-07,1.51485E-06,2.12480E-06,3.65946E-06
394 nm,1.25441E-07,1.24397E-06,3.08350E-07,6.92869E-07,1.99921E-06,2.03708E-08,3.04630E-07,2.34291E-06,1.01119E-06,1.40775E-06
395 nm,0.00000E+00,1.31266E-07,8.13518E-08,1.42979E-08,6.67537E-07,5.35166E-07,1.38710E-06,1.81522E-06,1.72016E-06,1.77049E-06
396 nm,3.98723E-07,2.02839E-07,5.62192E-07,5.93201E-07,1.24112E-06,1.69133E-06,1.91380E-06,4.38848E-09,1.63803E-06,2.85236E-07
