,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,uv_0,uv_10,uv_20,uv_30,uv_40,uv_50,uv_60,uv_70,uv_80,uv_90,uv_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:43am,11:43am,11:43am,11:43am,11:44am,11:44am,11:44am,11:44am,11:44am,11:44am,11:45am
T_int [ms],1570,1550,1573,1000,904,727,637,543,472,430,395
492 nm,0.00000E+00,0.00000E+00,1.92345E-08,1.11404E-08,8.46765E-07,3.26160E-07,0.00000E+00,0.00000E+00,8.18611E-07,0.00000E+00,1.41208E-06
493 nm,4.55885E-07,6.55695E-07,1.86119E-07,6.63204E-07,2.82870E-07,3.32083E-07,3.22879E-07,1.20250E-07,1.16373E-06,1.30775E-06,8.50032E-07
494 nm,0.00000E+00,6.00269E-07,3.10125E-07,2.70958E-07,7.50559E-07,2.26650E-07,2.78360E-07,1.28173E-06,0.00000E+00,1.25029E-06,1.50254E-06
495 nm,4.74965E-08,4.34157E-07,2.74501E-07,9.01469E-07,1.05993E-06,1.33383E-06,1.93230E-07,7.73150E-07,1.09790E-06,3.58482E-07,2.56781E-06
496 nm,0.00000E+00,6.40110E-08,2.61000E-07,6.42827E-07,5.83382E-07,6.59681E-07,2.50967E-07,1.29757E-06,1.22044E-07,1.58648E-06,2.20006E-06
497 nm,2.58063E-09,0.00000E+00,5.81054E-07,2.06893E-06,1.78482E-06,1.59137E-06,5.33683E-08,1.52270E-06,9.21656E-07,0.00000E+00,1.95531E-06
498 nm,0.00000E+00,6.98656E-07,7.05962E-07,4.03098E-07,1.12613E-06,0.00000E+00,5.50538E-07,1.94119E-08,2.02977E-06,1.55129E-06,1.77835E-06
499 nm,2.28629E-07,8.87409E-07,6.76565E-07,1.59849E-07,8.85197E-07,1.90236E-07,9.39842E-07,1.71631E-06,5.30727E-07,1.98907E-06,4.33108E-07
500 nm,7.10498E-07,0.00000E+00,1.50173E-07,9.51417E-08,0.00000E+00,0.00000E+00,1.46430E-06,1.28243E-06,3.97054E-07,6.93317E-07,4.60501E-07
501 nm,3.27010E-08,6.16576E-07,7.45425E-07,0.00000E+00,7.56375E-07,4.44050E-07,6.13111E-07,5.00037E-07,1.85749E-06,6.05008E-07,3.61526E-07
502 nm,1.20972E-07,8.94702E-08,1.07160E-06,0.00000E+00,8.81958E-07,9.64537E-09,6.60048E-07,1.53739E-07,5.02285E-07,4.33068E-08,2.08264E-06
503 nm,4.89758E-07,3.12876E-09,1.45080E-07,3.05425E-07,4.77549E-07,2.90415E-07,4.27572E-07,8.83748E-07,2.88809E-07,9.16352E-07,7.82634E-07
504 nm,3.51736E-08,4.32460E-09,2.02090E-07,1.70546E-07,1.30490E-06,0.00000E+00,1.22047E-06,7.31353E-07,1.35344E-07,1.10727E-06,2.49224E-06
505 nm,5.04162E-07,1.58246E-07,7.47820E-07,1.15875E-06,4.20696E-07,0.00000E+00,7.53121E-07,1.52098E-06,1.09639E-06,6.89427E-07,2.85609E-07
506 nm,1.07762E-07,4.13375E-09,2.35348E-08,2.42643E-07,4.03213E-07,7.04226E-07,2.18743E-07,4.35094E-07,1.49329E-06,1.25122E-06,2.48739E-06
507 nm,1.83936E-08,1.14747E-08,2.08286E-07,1.04980E-06,7.68457E-07,0.00000E+00,6.13596E-07,4.38988E-07,1.79047E-06,8.67930E-07,1.75891E-06
508 nm,4.06009E-08,0.00000E+00,1.29706E-06,1.31539E-06,5.66730E-07,7.20903E-07,1.52624E-06,8.97039E-07,2.00402E-06,1.37013E-06,1.48374E-06
509 nm,0.00000E+00,3.41319E-07,1.05383E-06,9.40101E-07,1.24838E-06,1.16758E-06,1.49419E-06,8.69790E-07,1.79612E-06,2.16812E-06,2.69959E-06
510 nm,1.13640E-08,8.07661E-08,2.29395E-07,4.32630E-07,9.92850E-07,5.85062E-07,1.04549E-06,1.97418E-06,7.01885E-07,2.91531E-06,1.48554E-06
511 nm,7.06324E-09,5.78411E-08,1.78807E-07,1.70944E-09,4.05014E-07,3.21392E-08,1.22920E-06,1.03972E-06,8.77796E-07,1.90857E-06,1.67491E-08
512 nm,2.71148E-07,3.40893E-07,1.70612E-06,3.43142E-07,1.05479E-06,7.79532E-07,3.40777E-07,1.88511E-06,3.98315E-07,7.13131E-07,4.63214E-07
513 nm,1.07381E-07,8.23924E-07,0.00000E+00,2.28045E-07,7.83189E-08,3.57537E-07,1.50748E-06,1.56057E-06,1.60518E-06,2.11595E-06,9.40258E-07
514 nm,1.44508E-07,5.22464E-07,3.28149E-07,1.33165E-06,2.92924E-07,1.17810E-06,1.13136E-06,1.14788E-06,2.38040E-06,1.47914E-06,3.98160E-06
515 nm,0.00000E+00,7.28170E-08,5.20759E-07,1.18033E-06,5.58769E-07,1.60960E-06,6.28885E-07,9.25032E-07,5.44830E-07,3.00595E-06,1.01383E-06
516 nm,1.50531E-08,1.80623E-08,6.60573E-07,3.66026E-07,1.41827E-07,1.02498E-06,7.96536E-07,3.01530E-06,2.53748E-06,1.42066E-06,1.80344E-06
517 nm,2.11178E-07,9.74361E-07,2.22938E-07,1.67728E-06,5.68044E-07,9.39655E-07,5.44032E-07,2.05214E-06,8.18532E-07,7.12397E-07,2.54136E-06
518 nm,0.00000E+00,9.62965E-07,9.20102E-07,3.29439E-07,8.09499E-07,7.05703E-07,1.69006E-06,6.45076E-07,2.10436E-06,1.02913E-06,2.15139E-06
519 nm,1.57584E-07,1.30199E-07,1.56716E-06,1.18486E-06,1.57691E-06,1.10955E-06,4.93546E-07,1.85120E-06,2.00269E-06,1.79139E-06,3.82227E-06
520 nm,2.05416E-08,9.78012E-07,5.13957E-08,2.96710E-07,1.43589E-06,1.03072E-06,1.08731E-06,9.15324E-07,2.26047E-06,2.04842E-06,2.71353E-06
521 nm,2.57537E-07,3.04824E-07,9.81805E-07,1.59922E-06,6.82484E-07,1.79274E-06,2.20683E-06,1.03870E-06,2.01646E-06,2.57121E-06,1.19664E-06
522 nm,7.40197E-07,4.07921E-07,3.56640E-07,0.00000E+00,1.05034E-06,1.94844E-07,1.00235E-06,1.81391E-06,3.23695E-06,9.34079E-07,2.66576E-06
523 nm,0.00000E+00,1.35893E-08,8.06465E-07,7.52941E-08,1.57661E-06,1.12665E-06,1.79816E-06,9.71633E-07,2.46185E-06,2.23150E-06,3.27168E-06
524 nm,5.38228E-07,5.46407E-07,1.76433E-09,0.00000E+00,7.60199E-07,3.82792E-07,0.00000E+00,1.60047E-06,2.06063E-06,3.20061E-06,1.66731E-06
525 nm,1.56568E-08,3.89404E-07,8.90516E-07,1.38487E-06,4.77227E-07,1.25986E-06,1.83435E-06,1.60234E-06,2.52291E-06,9.34756E-07,2.22038E-06
526 nm,1.61134E-07,1.21626E-07,8.59945E-07,7.69495E-07,6.45017E-07,3.37725E-07,9.47902E-07,1.46293E-06,1.92445E-06,4.89777E-07,1.35963E-06
527 nm,1.96198E-07,2.56217E-07,6.27355E-07,3.28455E-07,2.56253E-07,2.42313E-07,1.62060E-06,6.07889E-07,2.05683E-06,1.24061E-06,1.80984E-06
528 nm,1.81963E-07,2.18802E-07,5.88095E-07,1.97720E-08,1.49449E-07,0.00000E+00,8.96422E-07,2.60994E-06,2.30197E-06,1.98994E-06,1.39016E-06
529 nm,3.34151E-08,5.90692E-07,1.77438E-06,9.31789E-07,1.51029E-06,2.14013E-06,1.38532E-06,1.55008E-06,1.70742E-06,1.00749E-07,1.74883E-06
530 nm,0.00000E+00,4.37494E-07,1.47759E-07,5.78788E-07,7.84642E-07,3.87440E-07,7.32037E-07,1.04633E-06,7.17653E-07,1.92656E-06,2.43243E-06
531 nm,1.77063E-07,5.02608E-09,6.07863E-07,2.45456E-08,1.13543E-06,1.26187E-06,1.73802E-06,7.29946E-07,2.09854E-06,6.51290E-08,1.82345E-07
532 nm,7.44738E-07,4.05737E-07,6.81054E-08,2.99980E-07,1.46776E-06,8.77260E-07,5.56732E-07,2.58767E-06,1.13762E-06,9.00104E-07,1.12296E-06
533 nm,8.67247E-08,1.11820E-06,5.22086E-07,6.50326E-08,5.67423E-07,1.11077E-06,1.39027E-06,2.35251E-06,1.32525E-06,0.00000E+00,7.23701E-08
534 nm,0.00000E+00,8.09447E-07,1.17510E-06,2.69904E-07,1.34102E-06,1.01629E-06,8.03996E-08,3.67395E-07,7.41077E-07,2.97934E-07,1.08684E-06
535 nm,3.32658E-07,2.02254E-07,1.72061E-09,9.12234E-08,6.71832E-07,1.03692E-06,1.22754E-06,5.77672E-07,4.90801E-08,8.29629E-07,1.67876E-06
536 nm,1.61012E-08,9.48301E-08,7.42597E-07,1.54968E-06,1.30446E-07,1.27652E-07,7.42888E-07,1.77516E-06,6.50170E-07,1.45110E-06,1.29111E-07
537 nm,3.55300E-07,2.35507E-07,7.71344E-07,1.68841E-07,8.81833E-07,9.53927E-07,6.90716E-07,9.23518E-07,4.02896E-07,4.76384E-07,2.35972E-06
538 nm,1.75029E-07,0.00000E+00,4.33468E-07,3.81897E-07,6.30406E-08,5.57169E-07,1.00834E-06,3.87017E-07,2.10050E-07,1.28995E-06,2.74185E-06
539 nm,0.00000E+00,1.05907E-06,9.82111E-08,3.79024E-08,1.50150E-06,1.22740E-06,2.68148E-07,9.46362E-07,3.30949E-07,1.17214E-08,1.69828E-07
540 nm,8.15241E-08,2.57595E-07,9.17875E-07,2.48809E-07,3.89780E-07,1.13934E-06,4.20880E-07,0.00000E+00,1.87981E-07,1.03402E-06,2.77110E-06
541 nm,3.11810E-07,8.42006E-08,0.00000E+00,1.14480E-06,7.42323E-07,9.09037E-07,5.58706E-07,9.49733E-07,1.36240E-06,1.27175E-06,1.11758E-06
542 nm,3.62406E-07,5.52985E-07,2.34661E-07,1.63069E-07,6.92039E-07,3.05176E-07,3.35208E-07,1.39416E-06,1.65228E-06,1.96836E-06,0.00000E+00
543 nm,3.05615E-08,8.03664E-07,2.34766E-07,2.47615E-07,8.59224E-08,5.59090E-08,9.96352E-07,2.78617E-06,9.60175E-07,7.99243E-07,1.92480E-06
544 nm,8.64510E-07,1.35276E-06,1.06692E-06,2.37310E-07,1.32388E-09,7.89459E-07,1.11853E-06,8.50103E-07,9.77697E-07,1.07244E-06,4.24058E-07
545 nm,0.00000E+00,0.00000E+00,0.00000E+00,3.80448E-09,0.00000E+00,5.57467E-07,0.00000E+00,1.96497E-06,3.98194E-08,7.92452E-07,1.14020E-06
546 nm,1.09693E-06,1.88067E-07,6.75434E-07,9.20544E-07,2.68021E-07,4.48230E-07,7.51092E-07,0.00000E+00,5.70375E-07,1.57722E-06,4.02065E-07
547 nm,9.24949E-07,1.75856E-08,3.32846E-07,6.24283E-07,1.25683E-07,1.70207E-06,9.17161E-07,8.75912E-08,0.00000E+00,9.22005E-07,8.79490E-07
548 nm,3.42598E-08,7.16083E-07,6.46176E-08,1.19045E-06,5.75482E-07,2.49653E-07,0.00000E+00,7.40482E-07,2.31073E-06,7.10754E-07,3.26613E-07
549 nm,7.00659E-07,2.56397E-07,6.41845E-07,4.94100E-08,1.34460E-08,4.66902E-07,8.32356E-07,2.31566E-07,1.55209E-06,1.64841E-06,0.00000E+00
550 nm,2.80243E-08,5.77161E-08,0.00000E+00,9.05163E-07,4.99159E-07,5.10611E-07,1.08302E-06,1.23453E-06,5.72472E-07,4.69165E-08,2.20700E-07
551 nm,5.43413E-07,1.52087E-07,9.34984E-08,5.30476E-07,3.51705E-07,8.73745E-07,1.51610E-07,4.02709E-07,0.00000E+00,1.18121E-06,0.00000E+00
552 nm,5.18166E-07,1.86298E-07,1.02638E-07,2.73963E-07,2.29483E-07,2.68731E-07,3.90848E-08,8.40302E-07,1.00500E-06,2.26850E-06,1.50651E-06
553 nm,4.10676E-07,2.62127E-07,8.58096E-07,1.87067E-07,2.87999E-07,1.44970E-08,1.05534E-08,1.06045E-06,3.62580E-07,3.96554E-07,8.05276E-07
554 nm,1.12043E-06,0.00000E+00,3.87332E-07,8.83366E-08,1.18755E-06,5.92541E-07,1.16003E-07,1.82143E-06,9.00170E-07,5.78264E-07,1.14432E-06
555 nm,0.00000E+00,3.31275E-08,3.94207E-07,1.40830E-07,1.45253E-06,6.64986E-07,6.75652E-07,0.00000E+00,7.73428E-07,1.31780E-06,7.92645E-07
556 nm,1.87227E-08,1.96551E-07,7.16198E-07,5.02829E-08,1.15240E-06,8.43077E-07,5.90804E-07,3.11906E-07,1.06882E-06,6.47661E-07,5.12954E-07
557 nm,1.45435E-07,6.96358E-07,2.93778E-07,1.02904E-06,1.25110E-06,0.00000E+00,1.27370E-06,1.00917E-07,3.71949E-07,0.00000E+00,1.22692E-06
558 nm,3.26397E-07,6.46208E-08,1.25210E-06,3.05865E-07,1.18080E-07,2.27302E-06,0.00000E+00,1.30628E-06,4.12802E-07,2.78818E-09,5.87676E-09
559 nm,0.00000E+00,1.09637E-06,6.68501E-08,9.73082E-07,1.56039E-07,0.00000E+00,5.67853E-08,6.84625E-07,8.85730E-07,2.45517E-08,1.77040E-06
560 nm,2.65278E-07,1.88329E-07,1.05759E-07,0.00000E+00,0.00000E+00,4.50966E-07,0.00000E+00,0.00000E+00,6.26516E-07,1.74796E-07,6.41175E-07
561 nm,1.99587E-07,0.00000E+00,7.31225E-08,2.58874E-07,1.13588E-06,1.34273E-07,1.43286E-06,7.53474E-07,3.52870E-07,0.00000E+00,3.62919E-07
562 nm,0.00000E+00,1.83037E-10,0.00000E+00,4.00759E-07,8.93534E-07,5.81763E-07,1.36118E-06,8.14469E-08,0.00000E+00,1.31892E-06,1.43065E-06
563 nm,1.57406E-07,0.00000E+00,0.00000E+00,6.14504E-07,0.00000E+00,4.95149E-08,1.81772E-08,4.72788E-07,7.94756E-08,7.10468E-07,6.12121E-07
564 nm,1.14096E-07,1.46388E-07,9.60175E-08,2.52620E-07,6.49075E-07,9.35449E-07,6.09964E-07,0.00000E+00,8.42506E-07,9.25539E-07,1.78261E-06
565 nm,5.10793E-07,7.94725E-07,3.15594E-07,8.90444E-08,5.81307E-07,0.00000E+00,0.00000E+00,6.50616E-07,5.41878E-08,0.00000E+00,0.00000E+00
566 nm,1.09849E-07,8.32979E-08,3.53091E-07,2.84921E-08,0.00000E+00,2.86344E-08,9.17881E-07,8.19339E-07,1.13940E-07,0.00000E+00,1.69775E-06
567 nm,4.69227E-07,5.71798E-07,7.51896E-08,2.94301E-07,5.99590E-10,0.00000E+00,4.37429E-07,1.34787E-06,0.00000E+00,1.07220E-06,8.46591E-08
568 nm,2.80901E-07,0.00000E+00,5.38104E-07,2.79302E-07,4.94405E-07,1.28231E-07,3.50627E-07,9.85343E-07,2.72870E-07,1.93733E-06,2.50663E-08
569 nm,9.16945E-07,7.99173E-07,3.41946E-07,8.58548E-08,5.96583E-07,0.00000E+00,3.94236E-07,5.29270E-07,1.17842E-07,7.82186E-07,2.63271E-07
570 nm,0.00000E+00,6.45248E-07,3.64912E-07,1.41310E-07,1.71899E-07,1.36028E-06,2.81415E-07,2.65256E-07,1.15577E-06,1.65067E-06,1.37971E-07
571 nm,9.88213E-08,8.72973E-07,6.87382E-07,3.58477E-08,7.39410E-08,3.02721E-07,2.27062E-08,0.00000E+00,1.88021E-06,3.79425E-07,8.39582E-07
572 nm,0.00000E+00,0.00000E+00,1.14792E-06,0.00000E+00,0.00000E+00,1.54833E-07,6.37628E-07,2.31294E-06,7.68701E-07,6.05867E-09,1.90746E-08
573 nm,8.23642E-08,5.52483E-08,1.74527E-07,2.30819E-07,1.75102E-07,8.92392E-07,1.95345E-08,5.26140E-09,0.00000E+00,6.84721E-07,1.18963E-06
574 nm,1.63070E-07,4.09789E-07,6.97687E-08,7.85847E-07,5.91165E-07,0.00000E+00,8.99272E-07,1.30534E-06,1.56708E-07,1.27818E-06,6.90775E-08
575 nm,1.19444E-07,6.63266E-07,1.33368E-08,0.00000E+00,2.17859E-07,2.83267E-08,3.01043E-07,1.20641E-07,7.58002E-07,8.00551E-08,0.00000E+00
576 nm,2.44197E-08,3.60210E-08,0.00000E+00,3.85028E-07,7.30116E-08,0.00000E+00,4.70953E-07,1.33691E-06,9.39003E-08,5.08863E-07,1.58052E-06
577 nm,4.10138E-08,1.19162E-08,5.95083E-07,6.49200E-07,5.67705E-08,5.22584E-07,0.00000E+00,2.75486E-07,1.15937E-06,5.57932E-08,1.54946E-08
578 nm,2.62361E-07,0.00000E+00,0.00000E+00,3.86432E-07,8.09456E-07,1.24831E-06,9.15404E-09,2.21596E-07,0.00000E+00,4.36547E-07,1.01967E-06
579 nm,0.00000E+00,2.58045E-07,4.81386E-08,5.53880E-07,3.68701E-07,4.14326E-07,6.91177E-08,0.00000E+00,2.65826E-07,4.27767E-07,0.00000E+00
580 nm,3.93967E-07,4.46548E-08,2.19443E-08,5.30937E-07,0.00000E+00,3.62663E-08,0.00000E+00,1.01144E-06,5.32832E-08,2.03448E-07,7.32783E-09
581 nm,7.47074E-07,3.71194E-07,3.48340E-07,2.80170E-07,2.69401E-09,1.75902E-09,9.25649E-07,1.27865E-06,4.69280E-07,0.00000E+00,1.42572E-07
582 nm,1.28280E-07,0.00000E+00,1.28650E-06,1.47430E-06,1.28115E-07,9.76099E-09,1.45298E-07,5.42773E-08,9.34499E-07,2.85249E-07,1.45085E-07
583 nm,3.15364E-07,2.02420E-07,0.00000E+00,6.77567E-07,3.95052E-07,0.00000E+00,0.00000E+00,8.84610E-07,1.51414E-06,2.66835E-08,3.65998E-07
584 nm,0.00000E+00,4.40961E-07,4.65619E-08,1.92455E-07,0.00000E+00,4.54265E-07,1.46173E-06,0.00000E+00,9.08284E-07,5.99496E-08,4.09173E-07
585 nm,0.00000E+00,6.78740E-07,1.48233E-07,5.85477E-08,0.00000E+00,3.25716E-08,1.36800E-06,8.54572E-07,0.00000E+00,4.55491E-09,0.00000E+00
586 nm,1.46172E-07,0.00000E+00,0.00000E+00,1.16969E-07,4.01091E-07,5.02011E-07,1.47179E-06,8.29277E-08,2.55807E-07,2.43117E-08,1.08938E-06
587 nm,3.16210E-08,3.29907E-07,1.69697E-08,6.23700E-07,3.52139E-07,0.00000E+00,9.12481E-08,1.31492E-07,9.23270E-07,5.76516E-08,0.00000E+00
588 nm,0.00000E+00,6.30841E-07,8.64995E-08,1.27722E-06,0.00000E+00,4.42031E-07,6.41311E-07,0.00000E+00,2.15529E-07,7.86700E-07,4.01723E-07
589 nm,5.74150E-07,2.05229E-07,1.43486E-08,3.10727E-07,6.69119E-07,1.01812E-07,8.36370E-08,3.41136E-07,1.03749E-06,6.57472E-07,1.23668E-07
590 nm,2.34443E-08,0.00000E+00,2.25599E-07,0.00000E+00,3.20424E-07,3.01014E-07,8.87666E-07,1.42648E-08,8.33041E-08,0.00000E+00,2.73360E-07
591 nm,1.11709E-08,8.67658E-08,5.49385E-07,1.59597E-07,3.38036E-08,0.00000E+00,5.70474E-07,4.36434E-07,1.02031E-06,1.27691E-06,0.00000E+00
592 nm,5.87931E-07,7.57948E-08,2.18083E-07,0.00000E+00,1.13550E-07,6.40739E-07,6.95093E-07,5.08996E-07,7.06619E-07,0.00000E+00,3.86843E-07
593 nm,4.04661E-07,1.47949E-08,1.97219E-07,0.00000E+00,2.37450E-07,7.60467E-07,3.18500E-08,3.73293E-07,5.41989E-07,3.18920E-07,3.60661E-07
594 nm,4.22984E-08,4.10598E-07,8.22946E-07,6.44695E-07,2.87700E-07,2.35507E-08,7.94799E-07,1.31610E-07,5.78049E-07,0.00000E+00,0.00000E+00
595 nm,4.36530E-07,1.71660E-07,0.00000E+00,3.17558E-08,1.00208E-07,4.59688E-07,3.04836E-07,5.18090E-08,0.00000E+00,9.51897E-07,0.00000E+00
596 nm,4.84779E-08,8.47807E-07,1.12238E-09,9.75895E-08,1.54517E-08,9.36408E-07,3.56473E-07,1.25825E-06,2.79509E-07,2.41415E-07,1.07252E-06
597 nm,1.07063E-07,3.72335E-07,2.30780E-07,6.67282E-10,0.00000E+00,0.00000E+00,1.00417E-07,4.95747E-07,8.13862E-07,7.51680E-07,1.10281E-06
598 nm,5.20215E-07,3.53075E-07,6.88629E-09,0.00000E+00,1.30465E-06,7.58785E-07,4.09957E-07,1.39792E-07,3.79763E-08,0.00000E+00,4.15912E-07
599 nm,4.43175E-07,2.15599E-08,7.48810E-07,7.48598E-07,5.93291E-07,4.26773E-08,1.21967E-06,1.97213E-06,2.58395E-08,0.00000E+00,5.27923E-09
600 nm,5.09983E-07,1.63165E-08,2.04855E-08,0.00000E+00,4.03220E-09,2.04936E-08,0.00000E+00,0.00000E+00,3.33746E-07,7.03088E-07,9.24542E-07
601 nm,0.00000E+00,3.85053E-07,4.05426E-07,2.86939E-07,0.00000E+00,0.00000E+00,5.38284E-08,2.08152E-08,1.62673E-06,5.24794E-07,1.79460E-08
602 nm,4.87392E-08,6.22781E-07,2.67083E-07,8.94256E-08,5.84183E-07,0.00000E+00,0.00000E+00,4.56008E-07,0.00000E+00,2.98245E-07,3.85958E-07
603 nm,6.39976E-07,1.58405E-08,3.16257E-07,0.00000E+00,3.95517E-07,5.67775E-08,0.00000E+00,5.16354E-07,8.88194E-07,0.00000E+00,8.60666E-07
604 nm,2.43901E-09,4.46308E-07,3.51885E-08,0.00000E+00,2.12780E-08,5.41094E-09,3.55850E-08,9.89323E-07,0.00000E+00,1.36510E-06,4.99404E-09
605 nm,5.03924E-07,4.24865E-07,8.89352E-07,1.49817E-07,5.02020E-07,2.07255E-07,2.15655E-07,5.88295E-07,2.68958E-07,0.00000E+00,9.14070E-07
606 nm,0.00000E+00,1.03398E-07,0.00000E+00,7.22054E-07,0.00000E+00,7.78551E-08,4.38510E-07,1.79554E-07,4.94070E-07,1.31469E-06,2.31260E-07
607 nm,0.00000E+00,1.69086E-07,4.16581E-08,8.05978E-08,1.71346E-08,0.00000E+00,1.37230E-07,2.04221E-07,1.20544E-06,9.54979E-07,5.64271E-07
608 nm,4.15551E-07,3.76196E-07,0.00000E+00,4.50472E-07,0.00000E+00,2.42833E-07,0.00000E+00,3.17697E-07,2.43488E-07,0.00000E+00,1.27090E-06
609 nm,0.00000E+00,3.95904E-07,6.59052E-07,3.15686E-07,0.00000E+00,1.34966E-07,9.84863E-07,4.55014E-07,7.47362E-08,1.96346E-06,1.85777E-07
610 nm,3.21243E-08,3.46201E-07,3.63979E-07,6.64693E-08,5.21027E-07,3.64952E-07,0.00000E+00,5.81549E-07,1.91754E-07,0.00000E+00,5.71958E-07
611 nm,0.00000E+00,4.56481E-07,1.45534E-07,1.21676E-07,4.70741E-07,3.46347E-07,3.42995E-07,5.06527E-07,3.25633E-07,1.18969E-06,0.00000E+00
612 nm,5.19596E-07,0.00000E+00,0.00000E+00,0.00000E+00,5.91973E-07,7.99804E-07,7.70439E-08,1.39904E-07,6.89288E-07,3.22048E-07,1.13083E-08
613 nm,5.84475E-09,6.70547E-09,3.86355E-07,0.00000E+00,0.00000E+00,3.95379E-07,2.20143E-08,1.16598E-06,0.00000E+00,2.99804E-08,1.56117E-09
614 nm,5.78566E-07,2.54663E-07,3.74392E-07,5.00519E-08,4.03516E-07,1.55135E-07,9.09131E-08,8.09030E-07,2.46668E-07,4.66405E-07,8.88811E-08
615 nm,0.00000E+00,0.00000E+00,3.73677E-07,1.24920E-07,3.80373E-08,2.60481E-07,7.57141E-07,0.00000E+00,8.46796E-07,0.00000E+00,6.31292E-07
616 nm,0.00000E+00,7.37552E-09,4.06190E-07,0.00000E+00,1.51631E-07,7.67587E-07,7.05753E-07,8.98141E-07,5.00132E-08,0.00000E+00,6.26686E-07
617 nm,1.16688E-06,4.75084E-10,0.00000E+00,8.48377E-07,1.04858E-08,7.06918E-08,0.00000E+00,7.04368E-08,1.94484E-07,2.01564E-07,3.41866E-07
618 nm,1.56163E-07,4.40861E-10,0.00000E+00,0.00000E+00,3.98714E-07,6.28170E-09,1.50229E-06,0.00000E+00,5.20453E-08,2.27892E-07,0.00000E+00
619 nm,5.96832E-09,4.19213E-09,1.69243E-07,6.74505E-07,5.04242E-07,2.23296E-07,0.00000E+00,4.40661E-07,1.51215E-07,8.12028E-07,0.00000E+00
620 nm,1.37779E-08,0.00000E+00,2.95062E-07,1.12597E-06,2.60752E-07,4.98875E-07,4.12343E-07,5.59319E-07,1.60090E-07,0.00000E+00,1.48908E-07
621 nm,7.09798E-08,1.64236E-07,7.76946E-08,1.64433E-09,7.43655E-07,3.27824E-08,9.76038E-07,9.75967E-07,2.15507E-08,3.98775E-07,4.89609E-08
622 nm,6.33535E-09,3.54866E-07,6.46704E-07,9.80397E-07,3.55429E-07,5.76103E-07,0.00000E+00,1.93325E-08,4.26664E-08,0.00000E+00,1.13584E-08
623 nm,5.09410E-07,0.00000E+00,2.22285E-07,8.26981E-07,0.00000E+00,0.00000E+00,3.23028E-07,1.26978E-06,1.16061E-06,5.65819E-07,0.00000E+00
624 nm,3.34158E-07,3.23049E-07,2.41200E-07,2.44505E-07,0.00000E+00,3.67107E-07,6.35418E-07,0.00000E+00,0.00000E+00,5.34851E-07,1.60215E-06
625 nm,0.00000E+00,5.88528E-07,1.23435E-07,2.38546E-07,3.23670E-07,9.55870E-07,0.00000E+00,7.03631E-07,9.42510E-07,0.00000E+00,9.02450E-07
626 nm,7.40214E-08,5.67932E-08,9.20105E-07,6.02510E-09,8.30614E-08,4.60980E-07,9.44174E-09,6.52225E-08,9.80170E-09,1.22716E-06,0.00000E+00
627 nm,6.71454E-08,0.00000E+00,1.08943E-06,2.60104E-07,1.44545E-07,1.22247E-07,3.57196E-08,1.49952E-08,1.05120E-06,8.73890E-07,0.00000E+00
628 nm,3.02555E-07,2.09178E-07,0.00000E+00,3.44806E-07,9.36441E-07,9.49280E-08,3.92110E-07,9.70028E-09,8.75013E-07,1.36317E-06,8.31905E-07
629 nm,3.31121E-07,7.05698E-07,7.14250E-07,9.19933E-08,1.01411E-07,2.90606E-07,0.00000E+00,0.00000E+00,1.19064E-06,2.66648E-07,6.23775E-07
630 nm,1.14617E-08,5.56721E-07,1.27101E-07,1.24837E-06,2.21011E-08,7.80758E-08,9.01288E-07,4.05284E-07,0.00000E+00,1.35479E-06,0.00000E+00
631 nm,0.00000E+00,0.00000E+00,8.27524E-09,3.60879E-07,3.41748E-07,1.82091E-07,0.00000E+00,1.36223E-08,0.00000E+00,0.00000E+00,7.75544E-07
632 nm,2.57733E-07,3.73479E-07,0.00000E+00,5.18383E-07,0.00000E+00,5.09976E-07,4.96964E-08,3.20049E-07,3.50752E-07,5.50679E-07,0.00000E+00
633 nm,8.16875E-07,7.45476E-07,8.84468E-08,1.99201E-07,2.15260E-07,1.39619E-08,0.00000E+00,8.89128E-07,6.44162E-07,4.41146E-07,0.00000E+00
634 nm,3.62913E-07,0.00000E+00,4.42039E-07,9.22660E-08,1.23720E-07,0.00000E+00,5.88072E-07,5.70460E-07,1.96792E-07,1.25609E-06,4.56395E-07
635 nm,4.49271E-07,5.96046E-07,1.25098E-07,0.00000E+00,0.00000E+00,3.27588E-07,1.29984E-07,0.00000E+00,2.16883E-08,2.97551E-07,2.82327E-08
636 nm,1.41181E-08,2.75960E-07,0.00000E+00,3.17361E-07,5.81829E-07,0.00000E+00,2.98796E-07,6.28263E-08,1.43249E-08,0.00000E+00,1.88707E-08
637 nm,2.33286E-07,8.23147E-07,1.21658E-08,1.08738E-07,2.59678E-07,4.48863E-07,0.00000E+00,5.23058E-09,0.00000E+00,3.96588E-07,0.00000E+00
638 nm,1.71548E-07,3.38780E-07,0.00000E+00,1.41687E-08,4.06328E-07,3.38946E-07,0.00000E+00,0.00000E+00,1.89545E-08,3.15116E-07,4.03165E-08
