,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Name,green_100,green_90,green_80,green_70,green_60,green_50,green_40,green_30,green_20,green_10,green_0,uv_100,uv_90,uv_80,uv_70,uv_60,UV_50,uv_40,uv_30,uv_20,uv_10,uv_0
Date,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015
Time,08:54am,08:54am,08:55am,08:57am,08:58am,08:59am,09:00am,09:01am,09:02am,09:04am,09:06am,09:08am,09:09am,09:09am,09:10am,09:11am,09:13am,09:14am,09:15am,09:17am,09:19am,09:20am
T_int [ms],4564,7968,8263,9653,10937,12166,14348,17708,21220,24683,28764,10105,11535,12819,14198,16307,19902,24007,26646,28978,29131,31228
384 nm,6.53044E-07,1.37167E-07,2.17506E-07,0.00000E+00,2.88759E-07,0.00000E+00,8.94101E-08,1.33520E-07,1.38848E-07,1.84744E-08,3.64117E-07,1.12379E-05,1.03031E-05,8.36087E-06,7.26190E-06,6.39522E-06,5.69551E-06,4.61472E-06,3.77356E-06,2.62418E-06,1.58225E-06,6.91499E-08
385 nm,1.85136E-07,2.17309E-07,8.54188E-07,9.02789E-07,1.22224E-07,1.55916E-09,0.00000E+00,5.41193E-07,0.00000E+00,9.65359E-08,2.25085E-07,9.48354E-06,8.03888E-06,7.30544E-06,6.16314E-06,5.16446E-06,4.10809E-06,3.59456E-06,2.20796E-06,2.13327E-06,9.58500E-07,3.02515E-07
386 nm,5.97117E-07,8.51628E-08,1.25493E-07,0.00000E+00,0.00000E+00,6.86365E-08,4.76065E-09,5.12593E-09,1.03438E-07,1.81453E-08,2.07280E-07,6.20494E-06,6.07197E-06,5.52696E-06,4.51582E-06,3.99055E-06,3.50403E-06,2.82098E-06,2.10766E-06,1.12341E-06,1.09119E-06,4.01920E-07
387 nm,2.19654E-07,3.42684E-07,7.24096E-07,9.09799E-08,0.00000E+00,2.96798E-07,3.15410E-07,3.14190E-07,3.20305E-07,0.00000E+00,1.77577E-07,5.58618E-06,4.82502E-06,4.14666E-06,3.86944E-06,3.48349E-06,2.73309E-06,1.97264E-06,1.41166E-06,9.85678E-07,4.75790E-07,2.22202E-07
388 nm,2.53085E-07,0.00000E+00,0.00000E+00,1.66543E-07,1.40398E-07,4.87690E-07,6.89192E-07,3.75265E-08,0.00000E+00,0.00000E+00,2.62348E-07,3.97433E-06,3.69312E-06,3.69533E-06,2.83959E-06,2.39208E-06,2.62874E-06,1.46552E-06,1.60292E-06,6.91001E-07,3.47989E-07,2.73097E-08
389 nm,3.50975E-07,2.40180E-08,4.42642E-08,2.12608E-07,5.90982E-07,4.23893E-07,9.14218E-08,0.00000E+00,2.85939E-07,7.25582E-08,1.85309E-09,3.40507E-06,2.80908E-06,2.81691E-06,1.97464E-06,1.83157E-06,1.33930E-06,1.35790E-06,9.01481E-07,1.09640E-06,2.04618E-07,0.00000E+00
390 nm,2.27433E-07,0.00000E+00,3.98646E-07,2.14950E-07,3.07685E-07,1.20362E-08,5.40173E-08,8.27021E-08,3.28671E-07,5.19034E-07,5.48552E-08,2.33871E-06,1.66544E-06,2.23187E-06,1.65412E-06,1.71693E-06,1.54924E-06,9.63843E-07,5.06126E-07,4.76829E-07,3.41847E-07,2.01254E-07
391 nm,4.08401E-07,4.09995E-07,2.07408E-07,6.52594E-07,5.91923E-08,4.30225E-08,2.27377E-08,6.10993E-08,2.18934E-08,1.09674E-08,1.73921E-07,1.59356E-06,2.15859E-06,1.15384E-06,9.25569E-07,7.35281E-07,5.94045E-07,6.46132E-07,8.43070E-07,4.94380E-07,3.62425E-07,0.00000E+00
392 nm,7.53426E-07,1.64700E-07,3.89520E-07,2.25701E-07,2.99825E-07,3.29208E-07,2.73616E-07,1.15476E-07,1.62221E-07,1.40791E-08,2.36366E-07,1.40162E-06,1.25536E-06,3.38682E-07,8.23942E-07,1.01438E-06,4.80587E-07,5.62739E-07,3.14610E-07,2.65591E-07,3.33431E-07,8.61747E-08
393 nm,1.29701E-07,5.79827E-07,1.77304E-07,3.31815E-07,3.60268E-07,2.35958E-07,3.77523E-07,1.31898E-07,2.74266E-07,0.00000E+00,0.00000E+00,1.01890E-06,9.81613E-07,6.34089E-07,5.86634E-07,8.04591E-07,7.82880E-07,4.88311E-07,2.64344E-07,4.43737E-07,0.00000E+00,5.38782E-08
394 nm,0.00000E+00,2.74449E-08,4.79771E-08,2.58682E-07,4.26841E-07,5.48995E-08,4.94068E-07,2.30629E-07,1.59684E-07,1.52729E-07,7.06903E-09,8.35355E-07,9.98432E-07,5.98375E-07,4.38871E-07,6.91635E-07,4.56118E-07,1.89215E-07,3.28261E-07,3.04104E-07,2.77179E-09,1.51299E-07
395 nm,5.22796E-08,9.63690E-08,0.00000E+00,9.72416E-08,1.91210E-07,0.00000E+00,1.87096E-07,9.62394E-09,0.00000E+00,2.33696E-08,4.57583E-08,5.92580E-07,5.50060E-07,1.78304E-07,1.47638E-07,2.59350E-07,3.32156E-07,0.00000E+00,1.23609E-07,1.45264E-07,4.25355E-08,9.39744E-08
396 nm,3.49525E-10,0.00000E+00,2.45853E-07,1.30250E-07,1.59672E-08,3.46621E-07,9.67291E-08,3.44585E-07,6.38104E-08,5.40696E-08,4.62353E-08,3.54609E-07,7.03707E-07,1.92114E-07,9.65753E-08,4.09591E-07,4.66832E-07,1.72643E-07,3.35997E-07,0.00000E+00,1.60528E-07,2.21655E-07
397 nm,0.00000E+00,1.22098E-08,1.83553E-07,5.25746E-07,2.89254E-07,2.38699E-07,3.27997E-07,1.93491E-07,2.64014E-07,2.99978E-07,5.81233E-08,8.36845E-07,2.11064E-07,8.70680E-08,4.63773E-07,3.04148E-07,1.62406E-07,2.64476E-07,3.41357E-07,0.00000E+00,1.54229E-07,0.00000E+00
398 nm,4.44285E-07,0.00000E+00,2.25267E-07,2.84076E-07,0.00000E+00,0.00000E+00,9.63439E-08,9.49232E-08,3.65165E-08,0.00000E+00,5.46758E-08,4.09896E-07,3.55035E-07,4.63876E-07,3.67832E-07,2.23830E-07,3.45705E-07,1.78308E-07,5.21710E-07,4.47617E-08,2.70721E-07,8.43345E-08
399 nm,5.63992E-07,3.30129E-07,1.54281E-07,2.96558E-07,0.00000E+00,4.04222E-07,9.58026E-08,1.23532E-07,2.05784E-07,2.55461E-07,1.61694E-07,7.27724E-07,6.17453E-07,0.00000E+00,1.41584E-07,3.02573E-07,1.53713E-07,1.35461E-07,5.45626E-08,1.00757E-08,1.33924E-07,8.52639E-09
400 nm,1.58706E-07,2.48435E-07,0.00000E+00,1.18748E-07,5.34123E-07,7.94536E-08,0.00000E+00,7.25961E-08,3.09434E-07,2.41394E-07,1.66482E-07,1.49797E-07,1.41019E-07,7.36211E-07,2.52850E-07,1.96540E-07,2.23136E-07,0.00000E+00,1.83267E-07,1.64461E-07,0.00000E+00,3.54065E-08
401 nm,1.89661E-08,3.10262E-07,3.19226E-07,9.51529E-07,8.44611E-08,1.78136E-07,2.63065E-07,5.59919E-07,0.00000E+00,1.18037E-07,4.85224E-09,3.47961E-07,1.53464E-07,2.51303E-07,2.82553E-07,2.59639E-09,0.00000E+00,0.00000E+00,1.19839E-10,1.64607E-07,7.15767E-08,9.52381E-08
402 nm,2.05810E-08,2.45913E-08,6.08963E-07,3.96339E-07,2.40802E-07,4.87599E-07,6.70646E-08,1.05971E-07,3.05059E-08,0.00000E+00,2.95390E-07,3.48022E-07,5.61880E-07,3.04691E-07,9.83400E-08,2.27651E-07,2.67287E-09,1.33801E-07,1.83670E-07,2.66917E-08,1.10262E-08,0.00000E+00
403 nm,1.60374E-07,4.04212E-07,9.00563E-07,2.65226E-07,1.02812E-06,4.76206E-07,6.81119E-07,3.63376E-07,4.64455E-07,3.07843E-07,2.62580E-07,1.91477E-07,2.45270E-07,3.97024E-07,4.13428E-07,1.57621E-07,1.94942E-07,4.75874E-07,1.47541E-07,1.66346E-07,1.62268E-07,3.17391E-07
404 nm,1.25616E-06,6.06842E-07,1.13045E-06,3.20169E-07,7.36432E-07,3.93446E-07,4.66129E-07,2.69865E-07,3.81126E-07,4.51442E-07,3.70710E-07,7.52582E-07,0.00000E+00,3.75277E-08,3.89854E-07,0.00000E+00,3.21033E-07,9.89939E-09,2.82700E-07,7.73288E-08,4.47276E-07,3.91176E-07
405 nm,6.67298E-07,9.68175E-07,7.86045E-07,3.99680E-07,4.10058E-07,5.01500E-07,4.73868E-07,4.55555E-07,4.11492E-07,2.25548E-07,2.13856E-07,3.81926E-07,4.27536E-07,5.65143E-07,2.20734E-07,8.39582E-07,2.28694E-07,4.18339E-07,2.40358E-08,2.07740E-07,3.66635E-07,2.82189E-07
406 nm,1.09580E-06,8.70231E-07,4.23930E-07,7.33549E-07,1.29342E-06,5.92920E-07,5.90848E-07,5.66070E-08,1.50730E-07,2.78533E-09,4.70258E-07,1.38093E-07,0.00000E+00,2.49539E-07,4.46935E-07,6.71766E-08,6.99432E-08,1.20279E-08,4.32509E-08,4.51957E-07,2.09692E-07,1.21750E-07
407 nm,4.07629E-07,9.66062E-07,4.69985E-07,2.22041E-07,3.57806E-07,3.10116E-07,2.87122E-07,2.39452E-07,8.29409E-08,2.35773E-08,2.95076E-07,2.24306E-07,5.70439E-07,3.18559E-08,2.88766E-08,2.03638E-07,2.19120E-07,3.40601E-08,2.12912E-07,0.00000E+00,2.55609E-07,5.66691E-08
408 nm,5.75881E-07,9.38403E-07,2.26366E-07,5.24317E-07,5.04569E-07,3.38050E-07,3.26384E-07,2.44495E-07,2.78238E-07,1.12615E-07,2.11210E-07,2.40713E-07,1.97827E-07,2.52592E-07,1.90862E-07,4.55119E-07,7.27486E-08,0.00000E+00,1.63543E-07,1.22451E-07,8.21025E-09,3.23103E-08
409 nm,7.19716E-07,1.05523E-06,5.49645E-07,8.66354E-07,5.25682E-07,5.91362E-07,1.31426E-07,3.46009E-07,2.58344E-07,2.01957E-07,1.71833E-07,1.60489E-07,1.72885E-08,2.55106E-07,2.30128E-07,2.12005E-07,2.65693E-07,7.12041E-09,6.02787E-08,6.29287E-08,0.00000E+00,1.85977E-07
410 nm,9.76347E-07,7.91715E-07,5.81665E-07,1.24995E-06,1.06313E-07,2.96494E-07,2.96949E-07,1.56770E-07,1.28211E-07,2.00785E-07,7.48723E-08,0.00000E+00,4.57223E-08,5.28101E-08,4.03051E-07,1.31907E-08,1.05881E-07,2.06493E-07,1.71576E-07,0.00000E+00,2.07586E-07,1.24093E-07
411 nm,1.35634E-06,9.83922E-07,8.42485E-07,5.13854E-07,6.45051E-07,1.02496E-06,4.21275E-07,4.31360E-07,3.13310E-07,2.50177E-07,9.66703E-09,3.15194E-07,2.25681E-07,2.33688E-07,5.37163E-07,0.00000E+00,0.00000E+00,3.52738E-07,0.00000E+00,0.00000E+00,6.89202E-09,1.21109E-07
412 nm,9.28068E-07,1.25998E-06,6.77757E-07,8.23631E-07,1.13169E-06,6.35334E-07,6.81758E-07,4.27418E-07,3.03183E-07,3.10961E-07,1.89762E-07,4.80322E-09,3.22075E-08,2.71364E-07,0.00000E+00,1.50721E-07,1.19484E-07,8.66255E-08,1.07861E-07,9.43902E-08,1.88068E-07,1.97432E-08
413 nm,1.45734E-06,9.73835E-07,1.22944E-06,1.05236E-06,1.05500E-06,1.06633E-06,5.09603E-07,3.25413E-07,4.48234E-07,3.33902E-07,1.50904E-07,2.38180E-07,9.41982E-08,4.01334E-07,2.00779E-07,1.04938E-08,3.14045E-08,1.06632E-07,7.14391E-08,4.32727E-08,6.58260E-08,2.06793E-07
414 nm,1.74805E-06,1.55245E-06,1.27267E-06,1.66740E-06,1.01502E-06,9.58596E-07,7.77978E-07,7.59316E-07,4.12877E-07,1.96371E-07,7.87063E-08,0.00000E+00,2.68793E-07,0.00000E+00,9.15767E-08,1.38092E-07,2.01262E-07,1.25849E-07,1.82706E-07,0.00000E+00,1.40799E-07,0.00000E+00
415 nm,2.53775E-06,2.17790E-06,1.57093E-06,1.51300E-06,1.08891E-06,1.09100E-06,7.58616E-07,7.38581E-07,5.38970E-07,1.75505E-07,1.90829E-07,3.88812E-07,3.98657E-07,1.89402E-07,1.38261E-07,4.87772E-07,3.26719E-07,9.19102E-08,0.00000E+00,5.23231E-09,1.46108E-07,2.67010E-08
416 nm,2.80692E-06,2.57781E-06,2.36058E-06,2.04931E-06,1.59735E-06,1.42998E-06,8.46832E-07,6.69465E-07,4.94613E-07,8.03654E-08,7.32506E-08,3.93715E-07,2.70120E-07,2.47522E-07,2.43825E-07,3.28049E-08,0.00000E+00,0.00000E+00,2.25531E-07,0.00000E+00,3.31774E-08,0.00000E+00
417 nm,3.35897E-06,2.82719E-06,2.21991E-06,1.87856E-06,1.82710E-06,1.42613E-06,1.53597E-06,1.38081E-06,7.70483E-07,4.57910E-07,1.27609E-07,0.00000E+00,1.45576E-12,1.19063E-08,6.99029E-08,2.13757E-07,2.38981E-07,1.28133E-07,9.50053E-08,1.03786E-07,2.11695E-07,8.44912E-08
418 nm,4.30237E-06,3.30254E-06,2.93645E-06,2.69904E-06,2.76390E-06,1.58528E-06,1.28409E-06,1.18724E-06,8.02140E-07,2.91487E-07,5.20849E-08,2.03534E-08,1.29423E-07,4.42742E-07,2.53408E-07,6.34963E-08,1.18403E-07,1.35592E-07,0.00000E+00,2.37690E-08,0.00000E+00,0.00000E+00
419 nm,4.13789E-06,3.64046E-06,2.72863E-06,2.68758E-06,2.68701E-06,2.15155E-06,1.90855E-06,1.38434E-06,9.27243E-07,5.53886E-07,1.34795E-07,1.99185E-07,9.25532E-09,2.69896E-07,3.55531E-07,2.13398E-07,1.20787E-07,1.49541E-07,9.03918E-08,8.70671E-08,0.00000E+00,1.19002E-07
420 nm,4.89480E-06,4.26219E-06,3.94982E-06,3.64837E-06,3.40668E-06,2.50895E-06,1.94030E-06,1.71673E-06,1.10158E-06,2.60548E-07,1.47754E-07,7.35280E-08,6.07667E-10,8.22184E-08,2.46298E-07,1.79488E-07,5.44864E-08,4.85815E-08,1.18594E-07,8.67806E-09,1.27437E-07,1.08167E-07
421 nm,5.97102E-06,5.23955E-06,4.81268E-06,3.96933E-06,3.49292E-06,2.89143E-06,2.31796E-06,1.71898E-06,1.81353E-06,1.01433E-06,7.24558E-08,3.18339E-07,0.00000E+00,2.86209E-08,0.00000E+00,4.11181E-07,1.94273E-08,8.53604E-08,3.33679E-07,3.15925E-07,3.48548E-08,2.17051E-07
422 nm,6.77304E-06,5.57871E-06,5.64810E-06,4.74954E-06,4.53978E-06,3.49799E-06,2.66930E-06,2.19328E-06,1.20781E-06,4.95906E-07,1.07173E-07,2.22876E-07,0.00000E+00,2.54690E-07,3.94896E-07,6.46803E-08,8.10152E-09,8.56491E-09,0.00000E+00,0.00000E+00,1.33003E-08,1.16545E-07
423 nm,7.62447E-06,7.17958E-06,6.39377E-06,5.52635E-06,4.68515E-06,3.86192E-06,3.25552E-06,2.45416E-06,1.49597E-06,1.11749E-06,1.46066E-07,2.33547E-07,8.63370E-08,1.84241E-07,2.29896E-07,6.78460E-07,1.73943E-07,2.67785E-07,1.70871E-07,1.44366E-07,3.44675E-07,2.79787E-08
424 nm,8.73184E-06,7.98711E-06,7.35664E-06,6.26529E-06,5.62578E-06,4.55353E-06,3.65281E-06,2.72089E-06,1.93236E-06,1.00252E-06,0.00000E+00,2.03923E-07,4.56172E-07,3.39515E-08,3.38671E-07,4.52577E-07,1.56361E-07,0.00000E+00,1.03448E-07,2.90736E-08,1.07945E-07,3.15997E-07
425 nm,1.01525E-05,9.34416E-06,7.81606E-06,7.76470E-06,5.74091E-06,5.28590E-06,4.33933E-06,3.22601E-06,2.21350E-06,9.68457E-07,2.35271E-07,2.53360E-07,1.17297E-07,7.28738E-08,1.68205E-07,0.00000E+00,2.77257E-07,3.96767E-08,1.96361E-07,3.64447E-09,2.62138E-07,2.17571E-07
426 nm,1.19422E-05,1.04255E-05,9.24710E-06,8.42055E-06,7.04261E-06,5.93370E-06,4.99047E-06,3.79987E-06,2.48912E-06,1.24138E-06,2.36764E-07,1.43999E-07,2.11808E-07,0.00000E+00,1.04774E-07,7.88221E-08,2.45641E-07,2.48673E-07,1.81385E-07,1.24523E-07,3.33951E-08,9.32572E-09
427 nm,1.29811E-05,1.16725E-05,1.03545E-05,9.48360E-06,8.14786E-06,6.86199E-06,5.61156E-06,4.06619E-06,3.01567E-06,1.48755E-06,1.78632E-07,1.58909E-07,3.36385E-07,1.80644E-08,2.19062E-07,0.00000E+00,3.34655E-07,7.77588E-08,1.18472E-07,2.36925E-07,4.17346E-08,4.07236E-08
428 nm,1.49809E-05,1.29142E-05,1.21557E-05,1.06232E-05,8.99428E-06,7.42235E-06,6.07841E-06,4.73816E-06,3.09989E-06,1.64493E-06,2.87029E-07,3.44978E-07,1.47673E-07,4.23690E-08,2.43369E-07,3.06266E-08,6.99157E-08,2.99700E-08,3.29727E-07,1.62678E-07,2.41248E-07,1.71316E-07
429 nm,1.68804E-05,1.50223E-05,1.33859E-05,1.14961E-05,1.02915E-05,8.48670E-06,6.75025E-06,5.06572E-06,3.39913E-06,2.00172E-06,3.76563E-07,7.50794E-08,2.42310E-09,1.71683E-07,9.54058E-08,1.03406E-07,3.52488E-07,8.29071E-08,5.53193E-07,1.38281E-07,9.81999E-08,2.31405E-09
430 nm,1.83249E-05,1.67404E-05,1.49377E-05,1.32572E-05,1.13058E-05,9.66101E-06,7.79089E-06,5.94225E-06,4.08065E-06,2.23220E-06,6.21341E-07,1.42194E-07,8.29013E-08,2.12577E-07,2.75807E-07,0.00000E+00,1.75253E-07,1.46676E-07,1.48261E-07,1.92648E-07,2.44254E-08,1.29148E-07
431 nm,2.03106E-05,1.83702E-05,1.65011E-05,1.45907E-05,1.23691E-05,1.03487E-05,8.52904E-06,6.44057E-06,4.39627E-06,2.25039E-06,4.76585E-07,4.79161E-07,2.31071E-08,4.09904E-08,2.18732E-07,5.06269E-07,1.94597E-07,1.85201E-07,1.08636E-07,2.13167E-07,1.89609E-07,2.83305E-07
432 nm,2.22645E-05,2.02393E-05,1.80519E-05,1.60709E-05,1.38099E-05,1.18961E-05,9.34061E-06,7.37570E-06,5.14173E-06,2.94410E-06,2.26681E-07,0.00000E+00,0.00000E+00,5.09968E-07,1.09227E-07,1.17278E-07,2.87056E-07,4.20706E-07,9.32153E-08,2.09385E-07,1.91233E-07,1.18983E-10
433 nm,2.57201E-05,2.29937E-05,2.10926E-05,1.78940E-05,1.56906E-05,1.34495E-05,1.08282E-05,8.02229E-06,5.67292E-06,2.97357E-06,8.64936E-07,9.62918E-07,5.50864E-07,5.83769E-07,9.12197E-07,4.79323E-07,4.81165E-07,5.20858E-07,6.09882E-07,4.17895E-07,5.07064E-07,5.58468E-07
434 nm,2.87339E-05,2.54962E-05,2.36784E-05,2.01782E-05,1.79569E-05,1.47775E-05,1.26167E-05,9.81005E-06,6.86436E-06,4.25664E-06,1.56218E-06,1.51898E-06,1.22863E-06,1.34535E-06,1.21378E-06,1.15111E-06,1.23532E-06,1.32238E-06,1.23912E-06,1.11409E-06,1.13176E-06,1.33131E-06
435 nm,3.15904E-05,2.89954E-05,2.62229E-05,2.31225E-05,1.97066E-05,1.66791E-05,1.41890E-05,1.11200E-05,7.84119E-06,4.89125E-06,2.02862E-06,1.51601E-06,1.91628E-06,1.75906E-06,1.63207E-06,1.63785E-06,1.59413E-06,1.58282E-06,1.87013E-06,1.51665E-06,1.79470E-06,1.58627E-06
436 nm,3.52856E-05,3.18259E-05,2.85755E-05,2.50872E-05,2.14104E-05,1.83925E-05,1.54287E-05,1.20284E-05,8.50777E-06,5.67091E-06,2.22079E-06,1.96306E-06,1.59466E-06,1.70034E-06,1.80830E-06,1.76633E-06,1.71516E-06,1.89794E-06,1.62466E-06,1.66929E-06,1.64941E-06,1.81926E-06
437 nm,3.71340E-05,3.33016E-05,3.06161E-05,2.64637E-05,2.33193E-05,1.94674E-05,1.61233E-05,1.22748E-05,9.00361E-06,5.23786E-06,1.91538E-06,1.57970E-06,1.40114E-06,1.55383E-06,1.51744E-06,1.57239E-06,1.21186E-06,1.48624E-06,1.56563E-06,1.40623E-06,1.43346E-06,1.46663E-06
438 nm,4.00901E-05,3.58296E-05,3.25391E-05,2.76131E-05,2.42964E-05,2.05156E-05,1.69182E-05,1.28588E-05,8.99642E-06,5.01626E-06,1.45497E-06,1.13072E-06,1.01448E-06,1.09367E-06,9.31570E-07,1.14116E-06,1.14834E-06,1.02925E-06,1.16616E-06,9.33432E-07,1.08942E-06,9.43938E-07
439 nm,4.30111E-05,3.75165E-05,3.43220E-05,2.99759E-05,2.63155E-05,2.18205E-05,1.76897E-05,1.34536E-05,9.32796E-06,5.27210E-06,1.00949E-06,8.21938E-07,7.10872E-07,7.56519E-07,5.39609E-07,8.86632E-07,6.72767E-07,7.29790E-07,7.07253E-07,5.54352E-07,5.70842E-07,6.13705E-07
440 nm,4.51957E-05,4.03028E-05,3.62025E-05,3.15772E-05,2.72530E-05,2.28538E-05,1.86292E-05,1.44307E-05,9.62396E-06,5.14512E-06,8.46569E-07,2.63500E-07,2.91569E-07,4.28195E-07,3.74162E-07,4.69326E-07,6.42291E-07,4.74110E-07,5.55781E-07,4.01081E-07,4.52902E-07,6.41915E-07
441 nm,4.74175E-05,4.34072E-05,3.84517E-05,3.37229E-05,2.92308E-05,2.40666E-05,2.00733E-05,1.50299E-05,1.03998E-05,5.53355E-06,9.35819E-07,6.14774E-07,3.41714E-07,7.23636E-07,5.85201E-07,2.80001E-07,3.57416E-07,4.66484E-07,1.17948E-07,2.56511E-07,1.45192E-07,3.53940E-07
442 nm,5.03507E-05,4.52004E-05,4.00979E-05,3.51616E-05,2.98520E-05,2.54339E-05,2.06924E-05,1.52549E-05,1.07224E-05,5.80337E-06,8.62912E-07,3.87106E-07,4.84555E-07,1.96672E-08,4.92244E-08,4.36770E-07,3.32807E-07,1.77692E-07,4.17531E-07,2.87483E-07,3.33150E-07,1.68608E-07
443 nm,5.09884E-05,4.63020E-05,4.17866E-05,3.61622E-05,3.14677E-05,2.62682E-05,2.11514E-05,1.61403E-05,1.09247E-05,5.92951E-06,9.66936E-07,5.25281E-07,4.25198E-07,5.06691E-07,5.03726E-07,1.98308E-07,3.28199E-07,2.04494E-07,4.16637E-07,4.70659E-07,2.04532E-07,5.25513E-07
444 nm,5.30430E-05,4.73991E-05,4.26809E-05,3.72202E-05,3.24831E-05,2.65766E-05,2.17083E-05,1.65160E-05,1.13302E-05,6.06847E-06,7.64243E-07,4.96144E-07,3.25049E-07,5.78313E-07,5.79767E-07,3.18375E-07,3.18494E-07,1.75550E-07,3.74432E-07,1.81765E-07,3.01245E-07,1.11386E-07
445 nm,5.29816E-05,4.81521E-05,4.26834E-05,3.77791E-05,3.22757E-05,2.70731E-05,2.20623E-05,1.64679E-05,1.14833E-05,6.11163E-06,7.79651E-07,4.12412E-07,5.83119E-07,2.32205E-07,2.65096E-07,1.33180E-07,5.31491E-07,3.51714E-07,2.49610E-07,3.56374E-07,5.26581E-07,3.17273E-07
446 nm,5.26881E-05,4.79950E-05,4.20777E-05,3.70216E-05,3.21412E-05,2.67378E-05,2.20717E-05,1.64987E-05,1.13842E-05,5.75410E-06,8.91244E-07,4.44115E-07,2.05650E-07,3.46821E-07,1.12188E-07,2.61737E-07,3.65461E-07,4.76608E-07,4.51465E-07,2.91768E-07,2.91690E-07,4.04835E-07
447 nm,5.30495E-05,4.71090E-05,4.22325E-05,3.69595E-05,3.14376E-05,2.65813E-05,2.13108E-05,1.63836E-05,1.12047E-05,5.71377E-06,8.46137E-07,9.13038E-07,7.02649E-07,4.18636E-07,2.70364E-07,1.23786E-07,3.36830E-07,7.30516E-08,2.14657E-07,4.67353E-07,3.72077E-07,4.56330E-07
448 nm,5.01481E-05,4.50094E-05,4.03318E-05,3.53851E-05,3.05650E-05,2.52525E-05,2.05674E-05,1.58551E-05,1.08015E-05,5.93189E-06,7.54465E-07,0.00000E+00,3.61513E-07,2.24253E-07,3.39889E-07,4.02039E-07,3.45352E-07,4.36407E-07,2.51401E-07,2.70343E-07,2.20740E-07,3.01820E-07
449 nm,4.76690E-05,4.31084E-05,3.84646E-05,3.33869E-05,2.88849E-05,2.43183E-05,1.96351E-05,1.47032E-05,1.00592E-05,5.45078E-06,8.20503E-07,3.25889E-07,4.21796E-07,1.23239E-07,4.00427E-07,2.62331E-07,3.86672E-07,2.38491E-07,4.38262E-07,3.72762E-07,3.61974E-07,4.34488E-07
450 nm,4.59631E-05,4.06581E-05,3.56599E-05,3.16009E-05,2.75163E-05,2.31263E-05,1.86261E-05,1.41169E-05,9.71820E-06,5.21293E-06,8.59522E-07,3.98273E-07,4.87067E-07,3.07752E-07,5.12052E-07,3.62750E-07,3.59941E-07,4.64118E-07,3.52224E-07,3.69369E-07,4.91150E-07,5.70396E-07
451 nm,4.16805E-05,3.77543E-05,3.39485E-05,2.97470E-05,2.57944E-05,2.13105E-05,1.71919E-05,1.29948E-05,9.12620E-06,4.56984E-06,7.23120E-07,2.65355E-07,2.76191E-07,2.39775E-07,1.95982E-07,4.18876E-07,3.65281E-07,6.56559E-08,3.92506E-07,4.43775E-07,2.90955E-07,3.47935E-07
452 nm,3.93749E-05,3.52523E-05,3.12918E-05,2.73135E-05,2.33866E-05,1.95038E-05,1.60274E-05,1.17914E-05,8.09164E-06,4.34415E-06,9.40744E-07,0.00000E+00,2.33127E-07,4.98334E-07,4.90795E-07,2.56980E-07,4.91955E-07,4.61561E-07,2.61906E-07,3.20280E-07,3.58611E-07,4.61600E-07
453 nm,3.60167E-05,3.16446E-05,2.85395E-05,2.51890E-05,2.17478E-05,1.82168E-05,1.48604E-05,1.12257E-05,7.83074E-06,3.94562E-06,5.22890E-07,1.77397E-07,4.66843E-07,3.50661E-07,2.05822E-07,4.62776E-08,3.83475E-07,2.80242E-07,2.44126E-07,2.50530E-07,3.97194E-07,2.85691E-07
454 nm,3.24449E-05,3.00024E-05,2.63318E-05,2.31727E-05,1.94672E-05,1.67486E-05,1.35015E-05,1.00523E-05,7.14125E-06,3.57169E-06,5.40233E-07,3.77139E-07,4.52532E-08,3.12051E-07,4.23140E-07,1.24459E-07,1.59764E-07,1.89382E-07,2.40495E-07,3.02000E-07,2.79334E-07,3.11350E-07
455 nm,2.91792E-05,2.72301E-05,2.40932E-05,2.10244E-05,1.80857E-05,1.52462E-05,1.21580E-05,9.35778E-06,6.41395E-06,3.49003E-06,5.55421E-07,4.96699E-07,3.96713E-07,2.77780E-07,4.32159E-07,2.66941E-07,4.58142E-07,4.20381E-07,2.73483E-07,2.47077E-07,1.96469E-07,3.33017E-07
456 nm,2.74267E-05,2.43129E-05,2.14255E-05,1.89800E-05,1.67779E-05,1.38234E-05,1.09021E-05,8.45491E-06,5.88995E-06,3.26083E-06,5.55178E-07,2.52517E-07,5.53889E-07,2.50907E-07,2.62052E-07,3.67220E-07,3.74917E-07,3.74829E-07,5.19697E-07,4.58655E-07,3.27369E-08,2.79292E-07
457 nm,2.48424E-05,2.24883E-05,1.97483E-05,1.73639E-05,1.49346E-05,1.27338E-05,1.03330E-05,7.73686E-06,5.20541E-06,3.06223E-06,7.76625E-07,2.66677E-07,3.47020E-07,5.15889E-07,2.34503E-07,0.00000E+00,1.68842E-07,1.71069E-07,3.15100E-07,2.83032E-07,5.07509E-07,5.25566E-07
