,
,
,
Name,Measurement #1
Date,10/01/2014
Time,11:38am
T_int [ms],604
,
Lv [cd/sqm],8.003E+00
Le [W/(sr*sqm)] (380-780nm),3.741E-02
,
,
Wavelength [nm],Le [W/(sr*sqm*nm)]
586 nm,2.98031E-05
587 nm,3.04897E-05
588 nm,2.90232E-05
589 nm,2.68249E-05
590 nm,2.67824E-05
591 nm,2.69143E-05
592 nm,2.72053E-05
593 nm,2.75608E-05
594 nm,2.82155E-05
595 nm,2.91086E-05
596 nm,2.98880E-05
597 nm,3.12311E-05
598 nm,3.38386E-05
599 nm,3.72217E-05
600 nm,3.94506E-05
601 nm,4.34323E-05
602 nm,4.66106E-05
603 nm,5.27998E-05
604 nm,5.78657E-05
605 nm,6.49837E-05
606 nm,7.12014E-05
607 nm,7.94190E-05
608 nm,8.67433E-05
609 nm,9.66762E-05
610 nm,1.09689E-04
611 nm,1.20584E-04
612 nm,1.33811E-04
613 nm,1.51396E-04
614 nm,1.66874E-04
615 nm,1.84561E-04
616 nm,2.07664E-04
617 nm,2.27080E-04
618 nm,2.53281E-04
619 nm,2.80092E-04
620 nm,3.08068E-04
621 nm,3.36249E-04
622 nm,3.60540E-04
623 nm,3.86344E-04
624 nm,4.08656E-04
625 nm,4.30493E-04
626 nm,4.38018E-04
627 nm,4.36745E-04
628 nm,4.24119E-04
629 nm,4.05244E-04
630 nm,3.70334E-04
631 nm,3.37668E-04
632 nm,2.92624E-04
633 nm,2.53188E-04
634 nm,2.17669E-04
635 nm,1.82229E-04
636 nm,1.51219E-04
637 nm,1.26272E-04
638 nm,1.05696E-04
639 nm,8.90514E-05
640 nm,7.50019E-05
641 nm,6.26441E-05
642 nm,5.33659E-05
643 nm,4.44984E-05
644 nm,3.81227E-05
645 nm,3.09323E-05
646 nm,2.71369E-05
647 nm,2.30703E-05
648 nm,2.07012E-05
649 nm,1.70723E-05
650 nm,1.51845E-05
651 nm,1.18423E-05
652 nm,1.15158E-05
653 nm,9.89280E-06
654 nm,8.28579E-06
655 nm,8.31825E-06
656 nm,7.01585E-06
657 nm,6.21455E-06
658 nm,4.61776E-06
659 nm,4.54357E-06
660 nm,4.58986E-06
661 nm,2.32514E-06
662 nm,3.50964E-06
663 nm,2.50465E-06
664 nm,2.92814E-06
665 nm,1.83881E-06
666 nm,1.27111E-06
667 nm,2.03502E-06
668 nm,2.51866E-06
669 nm,1.47537E-06
670 nm,1.33423E-06
671 nm,1.71428E-06
672 nm,5.86455E-07
673 nm,4.81718E-07
674 nm,9.02070E-07
675 nm,1.20722E-06
676 nm,1.92407E-06
677 nm,1.46189E-06
678 nm,6.96439E-07
679 nm,7.32116E-07
680 nm,0.00000E+00
681 nm,8.75176E-07
682 nm,1.51375E-06
683 nm,5.03709E-07
684 nm,1.43867E-06
685 nm,1.24693E-07
686 nm,8.29782E-07
687 nm,4.50899E-07
688 nm,1.09193E-07
689 nm,1.69304E-06
690 nm,2.13681E-07
691 nm,1.36930E-06
692 nm,1.25854E-06
693 nm,4.67122E-08
694 nm,1.29497E-06
695 nm,2.11603E-07
696 nm,7.53578E-07
697 nm,4.47523E-08
698 nm,7.63253E-07
699 nm,6.89709E-07
700 nm,1.00741E-07
701 nm,2.75164E-07
702 nm,4.34365E-07
703 nm,1.18450E-06
704 nm,2.10574E-07
705 nm,2.18918E-07
706 nm,2.69243E-07
707 nm,1.15830E-06
708 nm,1.84035E-07
709 nm,0.00000E+00
710 nm,2.70159E-06
711 nm,7.99673E-07
712 nm,8.63896E-09
